GRB,z,class,log10Faopt,log10FaErr_opt,log10Taopt,logTaErr_opt,Alpha_opt,AlphaErr_opt,Beta_opt,betaErr_opt,PhotonIndex,PhotonIndexErr,Gamma,log10Fluence,log10FluenceErr,log10NH,log10PeakFlux,log10PeakFluxErr,log10T90
100219A,4.67,L,-12.92,0.1,3.37,0.07,1.67,0.18,1.27,0.08,1.34,0.25,1.58721,-6.431798276,0.070426132,18.42501386,-0.397940009,0.10857362,1.274157849
100316B,1.18,L,-11.7542,0.27115,4.081453,0.206598,1.967914,0.187277,1.14,0.14,2.23,0.18,2.23535,-6.698970004,0.043429448,21.41315218,0.113943352,0.033407268,0.579783597
100316D,0.06,UL-SN-A-XRF-VL,-12.9424,0.105554,6.41,0.06,2.12,0.18,0.94,0.05,2.29,0.41,2.49431,-6.522878745,0.115811862,21.60728985,-1.0,0.0,2.717570654
100418A,0.62,XRF-SN-D,-13.02,0.11,4.86,0.15,1.06,0.12,0.98,0.09,2.16,0.25,2.26662,-6.468521083,0.063866836,15.61943666,0.0,0.086858896,0.84509804
100508A,0.5201,L,-12.8769,0.15766,4.020463,0.387989,0.875389,0.292399,0.4,0.07,1.23,0.25,1.9368495003839028,-6.15490196,0.05809809421491843,20.84356974,-0.397940009,0.10110891033535552,1.716003344
100513A,4.772,L,-13.0903,0.168576,4.323621,0.213691,1.387361,0.282343,1.2,0.1,1.62,0.14,2.25722,-5.853871964,0.031021034,22.05240534,-0.22184875,0.072382414,1.924279286
100621A,0.54,XRR,-11.87,0.03,4.18,0.02,1.55,0.05,0.78,0.09,1.9,0.03,2.3024,-4.677780705,0.0,22.28454803,1.10720997,0.010178777,1.803457116
100814A,1.439,L,-12.9168,0.0267,5.59489,0.013105,2.25952,0.052845,0.41063,0.04311,1.47,0.04,1.89414,-5.045757491,0.009650988,20.89608288,0.397940009,0.034743559,2.241795431
100901A,1.41,L-VL,-12.17,0.02,4.9,0.02,1.6,0.03,0.74,0.02,1.52,0.21,1.98285,-5.677780705,0.062042069,21.53188109,-0.096910013,0.10857362,2.64246452
100906A,1.73,XRR,-10.419,0.019906,2.603734,0.023956,1.09688,0.015473,0.84,0.22,1.78,0.03,2.02817,-4.920818754,0.0,21.96198081,1.004321374,0.017199781,2.058426024
101219B,0.55,XRR-SN-B,-12.03,0.02,3.87,0.02,0.97,0.01,0.58,0.07,1.56,0.16,1.85684,-5.677780705,0.082722758,20.49692965,-0.22184875,0.217147241,1.531478917
101225A,0.33,UL-XRR-SN-D-VL,-14.1,0.06,5.38,0.17,0.7,0.08,0.7,0.0303,1.82,0.32,1.81612,-5.721246399,0.091430417,21.11770968,-0.3386108047086509,0.1093220349114675,3.036628895
110205A,2.21,XRR,-13.04,0.06,4.79,0.03,1.95,0.11,0.74,0.04,1.8,0.04,1.93577,-4.769551079,0.0,21.37042981,0.556302501,0.024127471,2.409933123
110213A,1.4607,L,-11.5304,0.0418,4.36285,0.03889,1.91037,0.065815,0.9,0.06,1.83,0.12,1.96436,-5.229147988,0.029443694,21.56708403,0.204119983,0.162860431,1.681241237
110422A,1.77,L,-12.228,0.131094,3.341312,0.242676,0.628948,0.035661,0.886,0.042,0.86,0.1,1.89199,-4.387216143,0.010592548,22.02088312,1.487138375,0.0141464,1.413299764
