"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"GRB050315",0.4304,0.4697,0.0393,1.69401494106367,1.94917130750827,0.255156366444606,0.0865179875428075,0,0,0.450119402723552,0.403894764383712,1.81915790971152,1.53451440785737
"GRB050318",0.4288,0.3874,-0.0414,1.68410808354523,1.44005715942821,-0.244050924117021,-0.100018527506221,0,0,0.449516821713366,0.402260479298348,1.81524905726376,1.52499474902984
"GRB050319",0.4186,0.6274,0.2088,1.62180266151044,3.24033335385019,1.61853069233975,0.381698927248287,0,0,0.427900658873073,0.41130829302999,1.6785555581962,1.5781506617908
"GRB050401",0.421,0.5911,0.1701,1.63633138582538,2.90031784475066,1.26398645892528,0.324072680544855,0,0,0.433346729436497,0.410676571878197,1.71235624248036,1.57440323136999
"GRB050505",0.6209,0.7218,0.1009,3.17734168724878,4.26987118996723,1.09252950271845,0.207316168334135,0,0,0.628573796124926,0.613263506172235,3.251809482031,3.10453067954167
"GRB050730",0.5028,0.6961,0.1933,2.18273148217078,3.96706679223423,1.78433531006345,0.359233202350564,0,0,0.522632112646462,0.488793637870566,2.3314408953143,2.08172327105531
"GRB050802",0.4766,0.433,-0.0436,1.99640145993444,1.71019163189084,-0.286209828043602,-0.105605015038704,0,0,0.494059405154294,0.463951915675857,2.11931623190307,1.91039486640683
"GRB050803",0.5141,0.6532,0.1391,2.26663040458069,3.49987033872151,1.23323993414082,0.274061215392976,0,0,0.535675912246189,0.495506755554119,2.43301666979076,2.12972915486756
"GRB050824",0.1039,0.2619,0.158,0.270281578388809,0.82767932897041,0.557397750581601,0.304975682411203,0,0,0.175102508539268,0.0518848477782211,0.49658886121321,0.126898621881285
"GRB050904",0.6322,0.8627,0.2305,3.28745919733766,6.28953792855699,3.00207873121933,0.411833885856961,0,0,0.640377431296056,0.623125005700354,3.368953589333,3.19879823238098
"GRB060115",0.5713,0.6561,0.0848,2.72649034199733,3.5300187543224,0.803528412325078,0.17737860611689,0,0,0.58674531657343,0.527188581230566,2.86140466189603,2.36657722615697
"GRB060124",0.4559,0.518,0.0621,1.8569326345837,2.29609712177458,0.43916448719088,0.133237726609961,0,0,0.464794818524614,0.44088485490091,1.91604900755123,1.75984603739808
"GRB060206",0.6485,0.7031,0.0546,3.45143462920113,4.04777513500947,0.596340505808344,0.118139277178246,0,0,0.662305931057408,0.635035183249672,3.59521600705148,3.31554036651209
"GRB060210",0.5953,0.6911,0.0958,2.93822024133837,3.91020924883086,0.971989007492491,0.197952665199335,0,0,0.614905206958524,0.578216246625674,3.12007580781443,2.78631068138201
"GRB060306",0.4041,0.4081,0.004,1.53571243264738,1.55917509090989,0.0234626582625181,0.0091680551072323,0,0,0.423431502337924,0.390197702172501,1.65113291885328,1.45582661757483
"GRB060418",0.3794,0.396,0.0166,1.39552109711983,1.48885731828239,0.0933362211625619,0.0375016359824817,0,0,0.389888667000762,0.367264906809287,1.45407972261269,1.32951175777139
"GRB060526",0.466,0.6254,0.1594,1.92415237784334,3.22085079179884,1.29669841395551,0.307212568725482,0,0,0.47787335983116,0.454707528094841,2.00519985927652,1.84909891998752
"GRB060604",0.522,0.4963,-0.0257,2.32659553294005,2.13545086914429,-0.191144663795754,-0.060962417136493,0,0,0.547181098693459,0.508320949167352,2.52517838627645,2.2234500820417
"GRB060605",0.6348,0.6794,0.0446,3.31320400699416,3.7796929697961,0.466488962801938,0.0975981021688592,0,0,0.6440775034052,0.625282681284417,3.40633491143759,3.21971074066646
"GRB060707",0.5547,0.6459,0.0912000000000001,2.58674085769951,3.42486474355665,0.838123885857141,0.189412317535263,0,0,0.582714368115711,0.496050382211373,2.82573045432253,2.13364923577454
"GRB060708",0.476,0.4654,-0.0106,1.99226463660819,1.92011530139416,-0.0721493352140321,-0.0247077008156444,0,0,0.493001229101961,0.463463788316667,2.11172514362377,1.90712555180791
"GRB060714",0.5727,0.5695,-0.00319999999999998,2.73852251069729,2.71107729492926,-0.0274452157680276,-0.00739548481125095,0,0,0.595950896622034,0.561322564193911,2.94412705397545,2.64185427691212
"GRB060729",0.3232,0.1875,-0.1357,1.10474748865598,0.539926526059492,-0.564820962596484,-0.366784358239351,0,0,0.341652186594562,0.310517674462289,1.19610037748842,1.04417312592801
"GRB060814",0.4725,0.4658,-0.00669999999999998,1.96824674346324,1.92280606593193,-0.0454406775313121,-0.0155469355496987,0,0,0.477863589764415,0.467411731213723,2.00513225382867,1.93367318486963
"GRB060906",0.582,0.6708,0.0888,2.81944270840047,3.68597535308626,0.866532644685793,0.184920444388398,0,0,0.644681574606848,0.546520007044196,3.41246805872635,2.51981637213784
"GRB060908",0.5189,0.4599,-0.0590000000000001,2.30293479396034,1.88336750678026,-0.419567287180076,-0.145512941445536,0,0,0.548575337139817,0.503573318594008,2.53651363743664,2.18840380393078
"GRB060926",0.5524,0.6232,0.0708,2.56779588288562,3.19952334664066,0.631727463755035,0.150428372843879,0,0,0.563101373442149,0.548186111535363,2.65680139067022,2.53334554511195
"GRB060927",0.6057,0.8109,0.2052,3.03366660889927,5.46993622808681,2.43626961918754,0.376552338894994,0,0,0.624412466715218,0.582279346457732,3.21126398979353,2.82190023675899
"GRB061121",0.383,0.3644,-0.0186,1.41546083444494,1.31419526151125,-0.101265572933687,-0.0437584393235501,0,0,0.395505029983166,0.36863006401486,1.48602235708356,1.33684584411611
"GRB070110",0.5268,0.5253,-0.00150000000000006,2.36356635748362,2.35196905022163,-0.0115973072619928,-0.00345984914783924,0,0,0.542215412896545,0.516309272695251,2.48510135473459,2.28329021743074
"GRB070208",0.5865,0.3355,-0.251,2.85922411594729,1.16520987930793,-1.69401423663936,-0.782378767448089,0,0,0.590993197085295,0.580460677673416,2.89935878560025,2.8059289601737
"GRB070223",0.4992,0.4199,-0.0793,2.15645789129907,1.62966242003022,-0.526795471268847,-0.200328174162672,0,0,0.508783385593801,0.489424638469022,2.22688423719961,2.08620406152768
"GRB070306",0.6517,0.3972,-0.2545,3.48435514638966,1.49574379483157,-1.98861135155809,-0.796801080173494,0,0,0.67766789687482,0.642203326528781,3.76066801339175,3.38736055669188
"GRB070508",0.4652,0.2601,-0.2051,1.91877084819714,0.820119908460103,-1.09865093973704,-0.603614594088224,0,0,0.481325959407417,0.457085276343573,2.02918612855265,1.86474042376223
"GRB070521",0.5678,0.4895,-0.0783,2.69657906819327,2.08673964568386,-0.609839422509414,-0.197567495970107,0,0,0.584786320304641,0.543733905599104,2.84402603400969,2.49730819547095
"GRB070529",0.6902,0.544,-0.1462,3.90004422793236,2.49945167028357,-1.40059255764879,-0.40023200478585,0,0,0.731216347614609,0.664896338231803,4.38537993141273,3.62270668824322
"GRB070802",0.5783,0.5378,-0.0405000000000001,2.78704093905005,2.44984831362751,-0.337192625422548,-0.0977412902737137,0,0,0.586949499635462,0.566412365830284,2.86322052378252,2.68478680830703
"GRB071003",0.3848,0.4157,0.0309,1.42549285710942,1.60435390455169,0.178861047442268,0.0686777043356775,0,0,0.398181788332996,0.367112697345517,1.50139218309869,1.32869546462729
"GRB071020",0.3529,0.4976,0.1447,1.25372021414598,2.14485046547696,0.891130251330979,0.283361724544136,0,0,0.36522576574703,0.341526792957862,1.31859964880698,1.19546639001344
"GRB071117",0.4534,0.3675,-0.0859,1.8405340525398,1.33077311528264,-0.509760937257164,-0.21870894850928,0,0,0.470047323650554,0.438081601253363,1.95153082781378,1.7420893451955
"GRB080310",0.4052,0.534,0.1288,1.54214313620494,2.41979442513709,0.87765128893215,0.256638610344821,0,0,0.428798198868111,0.386834331136434,1.68409695187573,1.43688105217751
"GRB080411",0.2149,0.3075,0.0926,0.640212056931852,1.03001851985968,0.389806462927832,0.192021136316912,0,0,0.220482495257043,0.209856811743969,0.661431710484403,0.621275469610205
"GRB080430",0.4393,0.2472,-0.1921,1.74979298689507,0.766851298453881,-0.982941688441186,-0.556323947182951,0,0,0.44616226329494,0.434129781036691,1.79358740049088,1.71725114879565
"GRB080516",0.546,0.6232,0.0771999999999999,2.51560440528298,3.19952334664066,0.683918941357676,0.162856325564844,0,0,0.55196697278181,0.540839165079362,2.56424027068188,2.47407480088947
"GRB080607",0.4528,0.606,0.1532,1.83661241931252,3.03645392967605,1.19984151036353,0.297251382343866,0,0,0.465358741461538,0.43797669428083,1.91983789983412,1.7414270536797
"GRB080710",0.515,0.266,-0.249,2.27340694878838,0.845015419179474,-1.42839152960891,-0.774189480890166,0,0,0.543859510970068,0.488391026302308,2.4983198229298,2.0788676913571
"GRB080721",0.4332,0.5552,0.122,1.71144000868831,2.59087262369451,0.879432615006202,0.244907772334566,0,0,0.453432534571609,0.386334890497016,1.84074685519807,1.43408023861101
"GRB080810",0.4747,0.6385,0.1638,1.98332110176817,3.35010760630697,1.3667865045388,0.314196021854074,0,0,0.48121581263124,0.46696680826897,2.02841795674115,1.93066925506171
"GRB080928",0.4975,0.4301,-0.0674,2.1441264202588,1.69215462407529,-0.451971796183507,-0.167884783489638,0,0,0.523804128892253,0.485694910161356,2.34044348741107,2.05981317408746
"GRB081007",0.3949,0.1845,-0.2104,1.48256140858989,0.529325746418779,-0.953235662171116,-0.623304527765459,0,0,0.413298885510682,0.363545965382305,1.58999476047804,1.30964889738448
"GRB081008",0.4876,0.4725,-0.0151,2.07326492920429,1.96824674346324,-0.10501818574105,-0.0353805444147541,0,0,0.503284850371059,0.469002404287724,2.18628669716369,1.94443793438898
"GRB081029",0.5562,0.6856,0.1294,2.59915043999954,3.84841738708446,1.24926694708492,0.257664892963383,0,0,0.58401169748401,0.537736297621785,2.83717580575967,2.44934232648162
"GRB081221",0.386,0.5132,0.1272,1.43220400907382,2.25986788904468,0.827663879970869,0.253894914806937,0,0,0.419915463086408,0.36395849626082,1.62975605101755,1.31184384620107
"GRB081230",0.4794,0.4914,0.012,2.0157823836532,2.10027344199819,0.0844910583449949,0.0272527762230349,0,0,0.500063767386431,0.453106625115586,2.16274201095988,1.83861586113332
"GRB090102",0.465,0.406,-0.059,1.91742701400117,1.54683025258504,-0.370596761416126,-0.145512941445536,0,0,0.473639251200828,0.449485941910705,1.97604333772345,1.8150488906755
"GRB090205",0.5266,0.752,0.2254,2.36201773454379,4.64936974812302,2.28735201357923,0.404886229006199,0,0,0.532485492574351,0.51709692053184,2.40788940698099,2.28925028151353
"GRB090423",0.7934,0.9666,0.1732,5.21441139166848,8.25976574561247,3.04535435394399,0.328880280301579,0,0,0.817113914391231,0.756092273931876,5.5631739419119,4.70285427144396
"GRB090424",0.3571,0.1886,-0.1685,1.27562135163129,0.54383186282482,-0.731789488806474,-0.474008540973811,0,0,0.372425183390549,0.343783324907491,1.35735605545688,1.20690340586713
"GRB090519",0.7641,0.6857,-0.0784,4.80898158867295,3.84953390498341,-0.959447683689538,-0.197843277825855,0,0,0.800340406103005,0.752354590022988,5.31452091561293,4.6539841934802
"GRB090529",0.3198,0.5593,0.2395,1.08833419593959,2.62493313460957,1.53659893866998,0.423897181440144,0,0,0.343075611201739,0.30156349396301,1.20331002864008,1.00245836010761
"GRB090530",0.4436,0.3553,-0.0883,1.77715423588467,1.26620920889567,-0.510945026988991,-0.22546242640942,0,0,0.455755329655108,0.431204732681442,1.85598110373578,1.69901148552421
"GRB090618",0.3122,0.1875,-0.1247,1.05210699145127,0.539926526059492,-0.512180465391778,-0.332600586277576,0,0,0.325471973871475,0.299812369441822,1.11578714370465,0.994400477349232
"GRB090809",0.6011,0.5725,-0.0286,2.99116791820092,2.73680125382116,-0.254366664379763,-0.0680706965936854,0,0,0.61223408588318,0.593265285990007,3.09481311777,2.91981243213115
"GRB090812",0.5403,0.5381,-0.00219999999999998,2.46976450528852,2.45223220769057,-0.0175322975979508,-0.00507853949073703,0,0,0.554995397051211,0.531170123726525,2.5891813056598,2.39758338142627
"GRB090927",0.4529,0.3747,-0.0782,1.83726564866257,1.36973618438321,-0.467529464279358,-0.197291777608167,0,0,0.470388964888017,0.442379693647007,1.953853586701,1.76936177644112
"GRB091018",0.3233,0.2947,-0.0286,1.10523218047523,0.971060705241034,-0.134171475234198,-0.0680706965936854,0,0,0.341743352210138,0.300541582579549,1.19656142377424,0.997752038904838
"GRB091020",0.4375,0.433,-0.0045,1.73841963426436,1.71019163189084,-0.0282280023735186,-0.0104155005282134,0,0,0.44669291891301,0.430449593513993,1.79700291451824,1.69432259704819
"GRB091029",0.5004,0.5743,0.0739000000000001,2.16519156722626,2.7523211390275,0.587129571801233,0.156471034873471,0,0,0.509410381079236,0.49131272112812,2.23154628823622,2.0996504518568
"GRB091127",0.1584,0.1732,0.0148,0.44012437117557,0.490047111787099,0.0499227406115288,0.0335041356857862,0,0,0.180648377441696,0.147312598666303,0.515822598586469,0.403823792344568
"GRB050416A",0.248,0.2182,-0.0298,0.770108958317421,0.65272272994873,-0.117386228368691,-0.0710259659660712,0,0,0.284237156020162,0.224224734579067,0.92414216207655,0.675809833833161
"GRB050820A",0.4655,0.5581,0.0926,1.92078776020715,2.61493089917358,0.694143138966427,0.192021136316912,0,0,0.473005060403068,0.456117877731578,1.97170065781812,1.85836626589321
"GRB050922C",0.3679,0.5049,0.137,1.33292082556011,2.19815862166661,0.865237796106501,0.270542489745431,0,0,0.377189967309352,0.356289835479842,1.38336176170177,1.2713801991245
"GRB051016B",0.4438,0.287,-0.1568,1.77843345720255,0.936421963946607,-0.842011493255943,-0.434828518232589,0,0,0.463064809884369,0.422156050238169,1.90445605489722,1.6433583954691
"GRB051109A",0.5209,0.5245,0.00359999999999994,2.31818044827247,2.34580017853301,0.0276197302605357,0.00825504476858679,0,0,0.530085985597887,0.512870353013582,2.38911250249395,2.25739445698598
"GRB060223A",0.6177,0.7332,0.1155,3.14667501515699,4.41003406863468,1.26335905347769,0.233521459837409,0,0,0.636655827770761,0.597521322538246,3.33167463246776,2.95841498972371
"GRB060502A",0.5137,0.3984,-0.1153,2.26362311191317,1.50264932573108,-0.76097378618209,-0.304067285159814,0,0,0.524573298623289,0.507151107905501,2.34636491802162,2.21477889041364
"GRB060607A",0.6129,0.6101,-0.00280000000000002,3.10109660874812,3.0747409137987,-0.0263556949494141,-0.00646806643832574,0,0,0.621407463080789,0.598815233226637,3.18222566747186,2.97022603753628
"GRB060904B",0.5054,0.2312,-0.2742,2.20184275820278,0.702942561877549,-1.49890019632523,-0.880182473490265,0,0,0.519954975711065,0.49847421047923,2.31096794151448,2.15118724906335
"GRB060912A",0.2661,0.2871,0.021,0.845440298593701,0.9368678929189,0.091427594325199,0.0472038359763482,0,0,0.285602722494149,0.233601591329605,0.930201827596536,0.712385695708854
"GRB061110A",0.2561,0.245,-0.0111,0.80343294883757,0.757923613958693,-0.0455093348788775,-0.0258881185266033,0,0,0.391324828584326,0.203848132498084,1.46220851328135,0.598998780399904
"GRB061222A",0.5574,0.4897,-0.0677,2.60910901212015,2.08816146918451,-0.520947542935639,-0.168691808421923,0,0,0.575218589383271,0.542665748128015,2.76026618630846,2.48871705327148
"GRB070714B",0.5286,0.284,-0.2446,2.37753610331869,0.923091728910158,-1.45444437440853,-0.756305251873131,0,0,0.541753398660745,0.519364149114876,2.48139578088909,2.30646666884553
"GRB070721B",0.7094,0.6652,-0.0442,4.12153329024499,3.6259400476616,-0.495593242583388,-0.10713352042552,0,0,0.738790732144771,0.665187849286797,4.48012837444255,3.62581062468512
"GRB070810A",0.5093,0.5011,-0.00819999999999999,2.23072505689288,2.17029736695272,-0.0604276899401559,-0.019060574749251,0,0,0.521386394199673,0.501430016013362,2.32189877283738,2.17270735961795
"GRB080319B",0.2739,0.2871,0.0132,0.878884137930438,0.9368678929189,0.0579837549884625,0.0299368662160432,0,0,0.314194418023229,0.22914491745325,1.06155258969536,0.694903269501412
