GRB_Name,Redshift_crosscheck,log10Fluence,log10PeakFlux,PhotonIndex,log10NH,Gamma,log10Fa_X,log10Ta_X,Alpha_X,Beta_X,log10TaErr,BetaErr_X,AlphaErr,T90Err,PhotonIndexErr,log10FaErr_X,logT90err,log10PeakFluxErr,logFluenceErr,log10T90
GRB050315A,1.949,-5.492144128,0.285557309,2.11,21.91683806,1.99544,-11.3757179,4.86356,1.10818,0.856,0.04512,0.001,0.049165,14.02006162,0.09,0.03245,0.063690747,0.04950507,0.019691613,1.980457892
GRB050318A,1.44,-5.966576245,0.499687083,1.9,20.92661714,1.98053,-11.15490196,4.132084541,1.874408221,0.95,0.043780336,0.037,0.085906519,10.96645741,0.1,0.06181969,0.148833498,0.027486993,0.030963588,1.505149978
GRB050319A,3.24,-5.882728704,0.181843588,2.02,20.93735437,2.01045,-10.70553377,3.73997,0.863159,0.971,0.06193,0.009,0.034558,10.95539119,0.19,0.04165,0.031199121,0.060001211,0.049065331,2.183383742
GRB050401A,2.9,-5.085128182,1.029383778,1.4,22.12570242,1.78711,-9.653647026,3.12435,0.984108,0.9995,0.02833,0.0174145,0.0260615,0.6253575,0.07,0.019455,0.008155835,0.037341208,0.016167167,1.506369717
GRB050505A,4.27,-5.603800653,0.267171728,1.41,22.23063027,2.01835,-11.04817696,4.270583544,1.462094791,0.973,0.030067592,0.0005,0.035926291,6.838970679,0.12,0.03272177,0.050426608,0.07277367,0.031220366,1.770115295
GRB050730A,3.967,-5.623423043,-0.259637311,1.53,21.73850309,1.6177,-10.09854168,4.05018,2.38763,0.5615,0.017795,0.000210492,0.0538,18.03329907,0.11,0.0266,0.050043209,0.110547686,0.027736454,2.194514342
GRB050802A,1.7102,-5.698970004,0.439332694,1.54,21.25883595,1.8557,-10.28650946,3.63973,1.44729,0.8585,0.0326,0.002369606,0.03274,10.19803903,0.13,0.0275,0.233102741,0.069487117,0.034092117,1.477121255
GRB050803A,3.5,-5.66756154,-0.017728767,1.38,21.34755638,2.11696,-10.86012091,4.21721,1.52234,1.218,0.04766,0.22485626,0.048695,10.43812723,0.11,0.0489,0.051572481,0.049762909,0.027269654,1.943988875
GRB050824A,0.8278,-6.575118363,-0.301029996,2.76,20.9708274,1.94709,-12.23882419,5.08558,0.954481,0.86,0.12722,0.01,0.0899785,4.070927175,0.38,0.06855,0.078229257,0.130288345,0.084899673,1.353723938
GRB050826A,0.297,-6.384049948,-0.420216403,1.16,21.96085591,2.45742,-12.33348202,4.76235,1.801,1.11,0.13858,0.03,0.23538,5.865069501,0.31,0.23405,0.071751192,0.148574428,0.075712355,1.550228353
GRB060115A,3.53,-5.76700389,-0.060480747,1.0,21.43355223,2.10553,-11.29499204,3.69688,0.889919,1.0,0.123015,0.085,0.053884,15.0870791,0.303030303,0.0812,0.046935782,0.059902687,0.038096007,2.144885418
