"","Redshift_crosscheck","T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","Gamma","log10Fa","log10Ta","Alpha","Beta","log10TaErr","BetaErr","AlphaErr","T90Err","FluenceErr","PeakFluxErr","PhotonIndexErr","log10FaErr"
"GRB050315",1.949,95.6,-5.492144128,0.285557309,2.11,21.91683806,1.99544,-11.3757179,4.86356,1.10818,0.856,0.04512,0.001,0.049165,14.02006162,8.84848484848485e-08,0.133333333,0.054545455,0.03245
"GRB050318",1.44,32,-5.966576245,0.499687083,1.9,20.92661714,1.98053,-11.15490196,4.132084541,1.874408221,0.95,0.043780336,0.037,0.085906519,10.96645741,4.66666666666667e-08,0.121212121,0.060606061,0.06181969
"GRB050319",3.24,152.5,-5.882728704,0.181843588,2.02,20.93735437,2.01045,-10.70553377,3.73997,0.863159,0.971,0.06193,0.009,0.034558,10.95539119,8.96969696969697e-08,0.127272727,0.115151515,0.04165
"GRB050401",2.9,33.3,-5.085128182,1.029383778,1.4,22.12570242,1.78711,-9.653647026,3.12435,0.984108,0.9995,0.02833,0.0174145,0.0260615,0.6253575,1.85454545454545e-07,0.557575758,0.042424242,0.019455
"GRB050505",4.27,58.9,-5.603800653,0.267171728,1.41,22.23063027,2.01835,-11.04817696,4.270583544,1.462094791,0.973,0.030067592,5e-04,0.035926291,6.838970679,1.08484848484848e-07,0.187878788,0.072727273,0.03272177
"GRB050730",3.967,156.5,-5.623423043,-0.259637311,1.53,21.73850309,1.6177,-10.09854168,4.05018,2.38763,0.5615,0.017795,0.000210492,0.0538,18.03329907,9.21212121212121e-08,0.084848485,0.066666667,0.0266
"GRB050802",1.7102,19,-5.698970004,0.439332694,1.54,21.25883595,1.8557,-10.28650946,3.63973,1.44729,0.8585,0.0326,0.002369606,0.03274,10.19803903,9.51515151515152e-08,0.266666667,0.078787879,0.0275
"GRB050803",3.5,87.9,-5.66756154,-0.017728767,1.38,21.34755638,2.11696,-10.86012091,4.21721,1.52234,1.218,0.04766,0.22485626,0.048695,10.43812723,8.18181818181818e-08,0.066666667,0.066666667,0.0489
"GRB050824",0.8278,22.6,-6.575118363,-0.301029996,2.76,20.9708274,1.94709,-12.23882419,5.08558,0.954481,0.86,0.12722,0.01,0.0899785,4.070927175,3.15151515151515e-08,0.090909091,0.23030303,0.06855
"GRB050826",0.297,35.5,-6.384049948,-0.420216403,1.16,21.96085591,2.45742,-12.33348202,4.76235,1.801,1.11,0.13858,0.03,0.23538,5.865069501,4.36363636363636e-08,0.078787879,0.187878788,0.23405
