param,draw,m,b,s
logFa,0,0.4955986428236931,-4.621043784777951,0.7727054291629472
logFa,1,0.3408354549887137,-6.420274686408612,0.724931796028382
logFa,2,0.4109565639835855,-5.4481115491480265,0.7990266655114454
logFa,3,0.47881708204633666,-4.823719529297543,0.7391950375209246
logFa,4,0.3707557939887282,-5.844439200955503,0.778714429735195
logFa,5,0.41881097845668147,-5.5191031585246835,0.6661193501974886
logFa,6,0.16572286210328924,-8.521674718545572,0.7799491756106448
logFa,7,0.38594235772226826,-5.842507667415557,0.7206522839797544
logFa,8,0.6013493687680018,-3.3163435975963487,0.8338148356705318
logFa,9,0.21701477058439725,-7.866537629318977,0.8413028057531391
logFa,10,0.315607384002088,-6.766870434549769,0.8201127990625623
logFa,11,0.6114261592287409,-3.1261627687384435,0.8778505828401101
logTa,0,0.40178731582572197,2.2202573285736813,0.5995533210952293
logTa,1,0.4164303075533094,2.232171284930633,0.5762954410259585
logTa,2,0.40097562691736616,2.204149390230362,0.6357282463536338
logTa,3,0.2998330569807692,2.656997775473699,0.5359578762375851
logTa,4,0.34004098982841524,2.457187716300851,0.7010695409950578
logTa,5,0.5118336836728593,1.8429152518287255,0.6033897769840446
logTa,6,0.360585473386829,2.3158255537252437,0.6645045249305302
logTa,7,0.35591199851997357,2.3904772784730417,0.6504736255492111
logTa,8,0.224973389540391,2.9024665951651807,0.526485030648167
logTa,9,0.25954236308031753,2.9050281949414156,0.637642399598583
logTa,10,0.4770922302966699,1.8033151613117124,0.7144509099115153
logTa,11,0.4065022527893152,2.096346370389715,0.5779656058515106
Alpha,0,0.3858493058145558,0.8613469224833907,0.2717123050134682
Alpha,1,0.4095918199246792,0.8121558997495504,0.27218288940777147
Alpha,2,0.5414993082235401,0.7133428077423615,0.2621080697768447
Alpha,3,0.45819380539134175,0.7842233002138028,0.2889215555183636
Alpha,4,0.34044188011361187,0.9151329400845858,0.2574785043296136
Alpha,5,0.4248989185076555,0.825574290803803,0.3095463996555012
Alpha,6,0.49686581373687255,0.7483561062208078,0.2761989260408036
Alpha,7,0.3361876562396198,0.9393970732924554,0.267415939521536
Alpha,8,0.5000484997789194,0.741714194838961,0.2344241997777118
Alpha,9,0.5136658207819244,0.7806775291639739,0.2747786842136113
Alpha,10,0.25845681071346815,1.0633443658136663,0.3040657333175161
Alpha,11,0.5046326283035334,0.7158582685357173,0.29469304799749835
Beta,0,0.09009794852145797,0.7575254373468336,0.21231884308313684
Beta,1,-0.07429156459588397,0.9510723633588136,0.2009680914423538
Beta,2,0.06441245912753849,0.8556149098427088,0.2232201635859507
Beta,3,0.0025120129893962256,0.8678453779580514,0.2164375189634151
Beta,4,-0.12701331007421404,0.9361168931325236,0.22743572997371755
Beta,5,0.1148068254060765,0.7800302344965095,0.20166017369605319
Beta,6,0.09759786351729749,0.8064754179829453,0.20698322860053187
Beta,7,0.09637451669976285,0.8339639036534661,0.195427209576276
Beta,8,-0.1722503908102867,1.0186881235954754,0.20873664115940516
Beta,9,0.23719626007499917,0.7175651869304507,0.2307983695432057
Beta,10,0.22496378235323544,0.7291371733950756,0.22073817106100754
Beta,11,0.09275393360423087,0.7958332065038884,0.21040270131500793
