"","z","T90","class","logFa","logFaErr","logT_a","logTaErr","Alpha","AlphaErr","Beta","betaErr","Fluence","PhotonIndex","NH","PeakFlux","PhotonIndexErr","PeakFluxErr"
"100219A",4.67,22.17,"L",-12.92,0.1,3.37,0.07,1.67,0.18,1.27,0.08,3.7,1.34,0.00266081,0.4,0.25,0.1
"100316B",1.18,3.8,"L",-11.7542,0.27115,4.081453,0.206598,1.967914,0.187277,1.14,0.14,2,2.23,2.58912,1.3,0.18,0.1
"100316D",0.06,521.88,"UL-SN-A-XRF-VL",-12.9424,0.105554,6.41,0.06,2.12,0.18,0.94,0.05,3,2.29,4.04846,0.1,0.41,0
"100418A",0.62,7.04,"XRF-SN-D",-13.02,0.11,4.86,0.15,1.06,0.12,0.98,0.09,3.4,2.16,4.16329e-06,1,0.25,0.2
"100508A",0.5201,52,"L",-12.8769,0.15766,4.020463,0.387989,0.875389,0.292399,0.4,0.07,7,1.23,0.697541,0.4,0.25,0.2
"100513A",4.772,84,"L",-13.0903,0.168576,4.323621,0.213691,1.387361,0.282343,1.2,0.1,14,1.62,11.2825,0.6,0.14,0.1
"100621A",0.54,63.55,"XRR",-11.87,0.03,4.18,0.02,1.55,0.05,0.78,0.09,210,1.9,19.2552,12.8,0.03,0.3
"100814A",1.439,174.5,"L",-12.9168,0.0267,5.59489,0.013105,2.25952,0.052845,0.41063,0.04311,90,1.47,0.787196,2.5,0.04,0.2
"100901A",1.41,436.53,"L-VL",-12.17,0.02,4.9,0.02,1.6,0.03,0.74,0.02,21,1.52,3.0175,0.8,0.21,0.2
"100906A",1.73,114.34,"XRR",-10.419,0.019906,2.603734,0.023956,1.09688,0.015473,0.84,0.22,120,1.78,9.1618,10.1,0.03,0.4
"101219B",0.55,41.95,"XRR-SN-B",-12.03,0.02,3.87,0.02,0.97,0.01,0.58,0.07,21,1.56,0.314,0.6,0.16,0.3
"101225A",0.33,1088,"UL-XRR-SN-D-VL",-14.1,0.06,5.38,0.17,0.7,0.08,0.7,0.0303,19,1.82,1.311323,0,0.32,0
"110205A",2.21,266.8,"XRR",-13.04,0.06,4.79,0.03,1.95,0.11,0.74,0.04,170,1.8,2.34655,3.6,0.04,0.2
"110213A",1.4607,48,"L",-11.5304,0.0418,4.36285,0.03889,1.91037,0.065815,0.9,0.06,59,1.83,3.69049,1.6,0.12,0.6
"110422A",1.77,25.9,"L",-12.228,0.131094,3.341312,0.242676,0.628948,0.035661,0.886,0.042,410,0.86,10.4926,30.7,0.1,1
"110503A",1.613,10,"L",-12.984,0.066674,4.715862,0.06045,1.398045,0.139784,0.8,0.04,100,0.88,1.36895,1.35,0.25,0.06
"110715A",0.82,13,"XRR",-12.24,0.06,5.19,0.06,1.51,0.09,0.9,0.22,118,1.25,11.8741,53.9,0.12,1.1
"110726A",1.036,5.2,"L",-12.5126,0.032139,3.227677,0.060221,0.695071,0.023294,0.5,0.19,2.2,0.64,0.751502,1,0.87,0.2
"110731A",2.83,38.8,"L",-12.6474,0.14345,4.116949,0.236205,1.162251,0.109516,0.65,0.07,60,1.15,9.11048,11,0.05,0.3
"110801A",1.858,385,"XRF-L",-11.822,0.034931,4.036448,0.030996,1.59481,0.044803,1,0.06,47,1.84,2.45755,1.1,0.1,0.2
"111107A",2.893,26.6,"L-XRF",-12.5259,0.238146,3.190433,0.380189,0.733879,0.082265,1,0.09,8.8,1.49,3.68767,1.2,0.14,0.2
"111209A",0.68,320,"UL-SN-A",-12.22,0.08,4.38,0.08,1.33,0.16,1.05,0.06,360,1.48,1.3807,0.5,0.03,0.1
"111228A",0.714,101.2,"SN-C",-12.0111,0.00575,4.28017,0.008735,0.93593,0.005345,0.69,0.07,85,2.27,2.59076,12.4,0.06,0.5
"011211A",2.14,270,"L",-13.52,0.06,5.23,0.04,1.98,0.11,0.41,0.15,NA,NA,NA,NA,NA,NA
"120119A",3.1,253.8,"L",-12,0.06,3.44,0.05,1.51,0.08,0.89,0.01,170,1.38,10.5203,10.3,0.04,0.3
"120404A",2.87,48,"XRR",-12.1911,0.046053,3.966545,0.034115,1.744036,0.085691,1.05,0.09,16,1.85,5.12667,1.2,0.13,0.2
"120711A",1.405,115,"L",-12.9249,0.108379,4.394018,0.116386,1.107014,0.197821,0.53,0.02,NA,NA,NA,NA,NA,NA
"120729A",0.8,93.8,"SN-D-XRR",-12.03,0.03,3.81,0.02,2.13,0.05,0.89,0.12,24,1.62,2.228028,2.9,0.08,0.2
"120815A",2.36,9.7,"L",-12.3315,0.015728,3.266303,0.033134,0.6555,0.020651,0.78,0.01,4.9,2.29,5.92144,2.2,0.23,0.3
"120907A",0.97,16.9,"L",-12.0278,0.078492,2.844131,0.160635,0.787589,0.055886,0.7,0.06,6.7,1.73,1.10614,2.9,0.25,0.4
"120923A",7.8,27.2,"L",-15.0536,0.23432,5.430818,0.151075,2.311665,0.525029,0.54,0.48,3.2,0.29,1.0172505,0.6,1.66,0.1
"121128A",2.2,23.3,"L",-11.4998,0.117789,3.026683,0.179004,0.954088,0.16947,0.8,0.05,69,1.32,10.9723,12.9,0.18,0.4
"121217A",3.1,778,"L-VL",-12.2295,0.1152,3.47558,0.0991,0.775179,0.028589,0.87,0.04,62,1.53,3.983852,1.8,0.08,0.1
"130215A",0.6,65,"SN-B-XRR",-13.66,0.24,5.96,0.13,2.09,0.54,0.94,0.05,54,1.59,NA,2.5,0.14,0.7
"130420A",1.297,123.5,"L",-12.8688,0.066378,4.259019,0.095952,1.028031,0.061396,1.1,0.06,71,1.52,0.620381,3.4,0.25,0.2
