GRB     		idGRB   	             Author_LC     Author_spectrum                    	z	T90    	Class          	logFa        	logFaErr    	logTa       	logTaErr    	Alpha       	AlphaErr     	beta	betaErr	ktotal	dk	logTarescaled	logTaErr	logLumTa	logLumTaErr
970508A	970508	Kann[52]	Kann[53]	Kann[100]	0.83	13.2	XRF	-13.8798	0.072147	6.247263	0.067354	1.487567	0.155485	0.32	0.15	0.663030122	0.060101953	5.98481191	0.067354	43.46001832	0.082188822
980326A	980326	GCN[49]	[64]	1	5	L	-14.54067462	1.122123125	5.314621786	0.600428192	1.515176062	0.702622638	0.66	0.7	0.790041312	0.383330435	5.01359179	0.600428192	43.074982	1.141737118
990510A	990510	Kann[53]	Kann[100]	1.62	67.58	L	-12.3	0.02	4.83	0.01	1.58	0.01	0.17	0.15	0.449583049	0.064954027	4.411698709	0.01	45.58877911	0.065855595
000301C	000301C	Si[51]	Kann[100]	2.03	2	IS	-13.83	0.12	5.88	0.05	2.85	0.14	0.59	0.12	0.634758496	0.084440345	5.398557371	0.05	44.44922507	0.13318308
000926A	926	Kann[52]	[52] 2.07	25	L	-12.89	0.03	5.12	0.02	2.14	0.04	1.01	0.16	1.01127992	0.181492799	4.632861625	0.02	45.61221602	0.083516329
010222A	10222	Li[54],Watanabe[1]	Kann[53]	1.47688	2	L	-12.6069	0.0213	4.63959	0.020325	1.25902	0.018945	0.76	0.22	0.80438286	0.160506503	4.245685034	0.020325	45.4354404	0.089238379
011211A	11211	Kann[53]	Kann[100]	2.14	270	L	-13.52	0.06	5.23	0.04	1.98	0.11	0.41	0.15	0.509109859	0.087380266	4.733070352	0.04	44.71944954	0.095687665
020124A	20124	GCN[1],	 [56]	3.198	45.91	L	-12.77472256	0.054929545	4.454183614	0.065307118	1.96157201	0.072087664	1.32	0.25	1.58260881	0.567605902	3.83114118	0.065307118	46.37969963	0.165162411
021004A	21004	Li[54]	Kann[100]	2.34	100	L	-12.92	0.02	5.4	0.02	1.33	0.03	0.67	0.14	0.671681932	0.113404032	4.876253533	0.02	45.53438806	0.076003178
030226A	30226	Kann[52]	Kann[100]	1.99	22.09	L	-13.1407481	0.06413609	4.96503549	0.03244248	2.12181578	0.13216194	0.57	0.12	0.624397836	0.08206636	4.489364302	0.03244248	45.11017393	0.085858176
030328A	30328	Kann[52]	Kann[100]	1.52	199.2	L	-12.7	0.02	4.38	0.02	1.25	0.04	0.36	0.45	0.553482194	0.23020238	3.978599459	0.02	45.21083374	0.181734105
030329A	30329	Si[51]	Kann[53]	0.17	62.9	SN-A	-11.76	0.09	5.5	0.05	1.46	0.03	0.41	0.17	0.911528688	0.024329282	5.431814138	0.05	44.10350079	0.090743403
030429A	30429	Li[54],Leven[1]	Kann[53]	2.658	10.3	XRF	-14.0764	0.8207	5.45886	0.28446	3.03421	1.50176	0.22	0.24	0.363638546	0.113186124	4.895616299	0.28446	44.24577888	0.831758206
040924A	40924	Kann[52]	Kann[100]	0.86	2.39	SN-C	-12.2	0.04	3.5	0.04	1.3	0.02	0.63	0.48	0.794840908	0.236764598	3.230487056	0.04	45.25655566	0.135409073
