xray_id,grb_id,z_xray,z_optical,Z1,Z2,Z3
GRB050319,050319,3.24,3.24,-0.8499252591330282,0.3257609473852507,-0.26077642446892113
GRB050401,050401,2.9,2.8992,-0.28410828495015544,1.2709390541384076,-0.7443825841756075
GRB050730,050730,3.967,3.97,-0.0938501424561837,0.4984087682844801,0.2876595995651398
GRB050802,050802,1.7102,1.71,-0.0592323616117447,0.04384420818944702,-0.9401391370380004
GRB050824,050824,0.8278,0.83,-1.355365740234785,1.3234177654454289,0.004349121051776983
GRB050904,050904,6.29,6.295,2.167540460770658,0.5864385317544967,2.0700840871992767
GRB060124,060124,2.296,2.3,-0.7469530538724258,-0.3687425620809431,0.23149769600163278
GRB060206,060206,4.048,4.05,-0.4346666635429032,-0.8270722687775957,0.22913881931465455
GRB060210,060210,3.91,3.91,0.3930346246199635,-0.23945871694854828,-0.011992303123690484
GRB060418,060418,1.489,1.49,0.32799883038620975,-1.1690790754385887,-1.098003342785069
GRB060526,060526,3.221,3.21,-0.5727896668000843,0.8419281197314771,-0.5211630673678768
GRB060605,060605,3.78,3.78,0.412670438379721,-0.3818387988836257,-0.34450674643315576
GRB060614,060614,0.125,0.13,0.03651464467495055,0.7825016264043576,1.6196525028341504
GRB060708,060708,1.92,1.92,0.3767108052801882,-0.6391628204233271,-0.8066725408009653
GRB060714,060714,2.711,2.71,-0.30816289400134705,0.6354839807495132,-0.21110260292599176
GRB060729,060729,0.54,0.54,-1.5443177313730958,-0.6249504474531066,1.3166763523011262
GRB060927,060927,5.47,5.46,1.0769653609607355,0.7300364480081927,-0.9469808754710836
GRB061021,061021,0.3463,0.3463,-0.225592562866644,-0.2481476205330747,-0.00631098715706313
GRB061121,061121,1.314,1.31,-0.34211000777913236,-0.38018833722969336,-0.1079940643768749
GRB070110,070110,2.352,2.35,-0.18920783097143606,-0.24942096306192915,0.3845173651690567
GRB070208,070208,1.165,1.17,0.7630890785788412,0.1817209717455538,-1.128461379067044
GRB071003,071003,1.60435,1.6,-0.011612753710685514,0.9939641495143858,1.593564353298221
