GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
000926A,2.04,1.3979400086720377,-10.853579424272391,4.2374991395703585,1.7581584011543123,0.897068940678609,,,,,,,0.8067568092771671,0.5969961707503355,0.2929362116161962,0.21150164299117552,,,
011211A,2.14,2.4313637641589874,-11.119713285688809,4.277115332216514,1.6909167453795337,0.862656274137229,,,,,,,0.8102102355164504,0.5942644367730283,0.300609156346064,0.20444685785726036,,,
020124A,3.198,1.6619072927660208,-10.861235463697746,4.0031773974993,1.677427314484735,0.9139533686845935,,,,,,,0.795057747814627,0.6075571324889026,0.2948072010939039,0.21861401828981403,,,
021004A,2.34,2.0,-10.882115166574847,4.348760459484341,1.3804236684000608,0.8744530488445712,,,,,,,0.8014932945696129,0.6041602382915392,0.28299234781112104,0.20517987522997527,,,
030226A,1.99,1.3441957158714348,-10.982777523437509,4.1881100559461295,1.7525027808172375,0.8685380131377423,,,,,,,0.8246620800375561,0.6078782199764532,0.28970096122060895,0.207493700362316,,,
030329A,0.17,1.7986506454452689,-10.410352392542041,4.392467909155529,1.446500198714225,0.8656385916850105,,,,,,,0.7903729147292324,0.6090551434491824,0.28621446120304983,0.21306178027272166,,,
050315A,1.949,1.9804578922761,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.02006162,0.03245,0.04512,0.049165,0.001,8.84848484848485e-08,0.054545455,0.133333333
050318A,1.44,1.505149978319906,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.96645741,0.06181969,0.043780336,0.085906519,0.037,4.66666666666667e-08,0.060606061,0.121212121
050319A,3.24,2.1832698436828046,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,10.95539119,0.04165,0.06193,0.034558,0.009,8.96969696969697e-08,0.115151515,0.127272727
050401A,2.9,1.5224442335063197,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.6253575,0.019455,0.02833,0.0260615,0.0174145,1.85454545454545e-07,0.042424242,0.557575758
050416A,0.6528,0.3979400086720376,-10.5559552,2.99481,0.842217,0.9,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.44407209,0.0484,0.070765,0.0149485,0.005,2.24242424242424e-08,0.133333333,0.290909091
050502A,3.79,1.3010299956639813,-10.772678928103536,3.7379441528972093,1.430414245101382,0.880582080639444,,,,,,,0.7967241478927694,0.6032236469955017,0.2862404777205966,0.20376562104175439,,,
050502B,3.793,1.2430380486862944,-10.688123352566173,3.7078929351816647,1.4042114517754003,0.8852906912955665,,,,,,,0.787928370008756,0.5896063250516181,0.2956550244488283,0.2032692530047358,,,
050505A,4.27,1.7701152947871017,-11.04817696,4.270583544,1.462094791,0.973,2.01835,-5.603800653,1.41,22.23063027,0.267171728,6.838970679,0.03272177,0.030067592,0.035926291,0.0005,1.08484848484848e-07,0.072727273,0.187878788
050525A,0.61,0.9459607035775686,-10.39290862785137,3.572519821685459,1.2490632251882845,0.8670761323232157,,,,,,,0.7785749790091163,0.6082882805839303,0.2794648073201977,0.2071886028859944,,,
050603A,2.82,1.3222192947339193,-10.44653213682922,4.002959392747771,1.628368068619543,0.894407944184106,,,,,,,0.77639928355529,0.588269106710906,0.2864318810082064,0.20729101451655324,,,
050730A,3.967,2.194514341882467,-10.09854168,4.05018,2.38763,0.5615,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,18.03329907,0.0266,0.017795,0.0538,0.000210492,9.21212121212121e-08,0.066666667,0.084848485
050801A,1.56,1.287801729930226,-10.10690800463368,3.3572308523470777,1.3296897337519484,0.8753431875843183,,,,,,,0.8072606959864741,0.6035567145947127,0.28163208635087333,0.21432724421092414,,,
050802A,1.7102,1.2787536009528289,-10.28650946,3.63973,1.44729,0.8585,1.8557,-5.698970004,1.54,21.25883595,0.439332694,10.19803903,0.0275,0.0326,0.03274,0.002369606,9.51515151515152e-08,0.078787879,0.266666667
050803A,3.5,1.943988875073772,-10.86012091,4.21721,1.52234,1.218,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,10.43812723,0.0489,0.04766,0.048695,0.22485626,8.18181818181818e-08,0.066666667,0.066666667
050820A,2.6147,1.414973347970818,-10.01818139,3.750945731,1.136499703,0.9,1.96878,-5.463441557,1.25,21.61964524,0.389166084,22.67611617,0.266741013,0.238477529,0.012525701,0.0405,1.46666666666667e-07,0.072727273,0.139393939
050824A,0.8278,1.354108439147401,-12.23882419,5.08558,0.954481,0.86,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,4.070927175,0.06855,0.12722,0.0899785,0.01,3.15151515151515e-08,0.23030303,0.090909091
050826A,0.297,1.550228353055094,-12.33348202,4.76235,1.801,1.11,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,5.865069501,0.23405,0.13858,0.23538,0.03,4.36363636363636e-08,0.187878788,0.078787879
050904A,6.29,2.241048150671644,-11.4544,4.6841,3.44235688,0.848,1.90813,-5.316052869,1.25,22.39388568,-0.207608311,10.75621588,0.29485,0.098475,0.624745,0.0,1.09090909090909e-07,0.042424242,0.103030303
050908A,3.34,1.2397998184470986,-10.7727353538008,3.5824809701699434,1.1626254000927543,0.9258842182137448,,,,,,,0.8063910923859634,0.6076272368454405,0.2900830892881109,0.23801255258845977,,,
050922C,2.198,0.6532125137753437,-9.477555766,2.52429,1.22035,1.064,2.2119,-5.790484985,1.37,21.44930866,0.860936621,0.450457546,0.03194,0.034305,0.013275,0.013,3.27272727272727e-08,0.036363636,0.193939394
051016B,0.9364,0.6020599913279624,-11.59006688,4.25742,1.14771,0.73,1.89482,-6.769551079,2.4,21.71466751,0.113943352,0.469570015,0.04535,0.058175,0.04854,0.005,1.33333333333333e-08,0.139393939,0.096969697
051028A,3.6,1.2041199826559248,-10.936614294610926,3.8363634007889305,1.2541521284917145,0.8972125840682035,,,,,,,0.8061472167214507,0.5949690027630359,0.28609068408429567,0.20921986588634534,,,
051109A,2.346,1.5705429398818975,-10.51999306,3.91123,1.22299,1.06,2.06584,-5.657577319,1.51,21.97057233,0.595496222,7.089588968,0.04815,0.04637,0.019155,0.054794381,1.64848484848485e-07,0.121212121,0.418181818
051109B,0.08,1.1553360374650619,-11.57511836,3.65548,1.251,1.06,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,3.778168861,0.0922,0.126645,0.12217,0.01,2.48484848484848e-08,0.145454545,0.078787879
051111A,1.55,1.7765559107032618,-10.078739583833276,3.3845680509748726,1.2348877542637484,0.8789967651231705,,,,,,,0.7917485018135402,0.6247829019423743,0.283125103699461,0.20871458347782962,,,
051221A,0.5465,0.146128035678238,-11.69464863,4.20075,1.09586,0.89,2.0589,-5.93930216,1.39,21.27394758,1.079181246,0.204978045,0.063,0.085085,0.05576,0.005,2.12121212121212e-08,0.036363636,0.236363636
060115A,3.53,2.144885418287142,-11.29499204,3.69688,0.889919,1.0,2.10553,-5.76700389,1.0,21.43355223,-0.060480747,15.0870791,0.0812,0.123015,0.053884,0.085,9.09090909090909e-08,0.303030303,0.072727273
060124A,2.296,2.8750612633917,-10.6893,4.47599,1.3641,0.99,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,1.306782322,0.04445,0.036665,0.01627,0.076380116,3.21212121212121e-08,0.115151515,0.109090909
060206A,4.048,0.8808135922807914,-10.63078414,3.93814,1.17565,1.265,2.20424,-6.080398976,1.2,22.33966406,0.445604203,1.933560454,0.07055,0.07444,0.02867,0.013041887,2.54545454545455e-08,0.181818182,0.103030303
060210A,3.91,2.406540180433955,-10.66756154,4.15028,1.20511,0.979,2.08163,-5.11577123,1.53,22.3877421,0.434568904,121.976523,0.0292,0.030365,0.02297,0.083622271,2.47878787878788e-07,0.054545455,0.16969697
060218A,0.0331,3.322219294733919,-11.82390874,5.07614,1.3185,3.17,3.52495,-5.804100348,2.26,21.59972155,-0.602059991,,0.1602,0.14064,0.108235,0.02,9.21212121212121e-08,0.103030303,0.066666667
060223A,4.41,1.0530784434834197,-10.9636,2.78682,1.1892,0.81,2.01015,-6.171984936,1.74,22.49782636,0.130333768,1.095536415,0.1982,0.23477,0.18005,0.045,2.90909090909091e-08,0.072727273,0.109090909
060306A,1.559,1.7867514221455612,-10.70553377,3.61496,1.03794,0.76,2.28823,-5.671620397,1.8,21.61973178,0.775974331,3.518840719,0.03495,0.04452,0.02498,0.01,7.15151515151515e-08,0.060606061,0.193939394
060418A,1.489,2.0132586652835167,-9.792961075,3.11887,1.47655,0.98,1.94118,-5.079354999,1.7,21.65363309,0.814247596,45.254834,0.04904,0.057245,0.044705,0.005,1.53333333333333e-07,0.036363636,0.212121212
060502A,1.5026,1.4533183400470377,-10.55284197,3.3865,0.897152,0.87,2.02719,-5.63638802,1.46,21.45692297,0.227886705,9.827838,0.05675,0.075085,0.0205255,0.015,6.18181818181818e-08,0.048484848,0.127272727
060510B,4.9,2.4396484295634737,-12.2656,4.43617,1.00735,1.38,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,21.28954544,0.2206,0.31628,0.2313695,0.03,1.06666666666667e-07,0.048484848,0.066666667
060512A,0.44,0.9289076902439527,-10.673394446796028,3.7174509732294645,1.1028815516513006,0.8786151121625803,,,,,,,0.8127693843333201,0.5954403636595877,0.2976228148795078,0.20105904146085968,,,
060526A,3.221,2.474507639116976,-11.3053948,3.8752,1.05873,0.93,1.90677,-5.899629455,2.01,16.11154478,0.222716471,23.04821868,0.06785,0.09216,0.0623145,0.0305,1e-07,0.145454545,0.109090909
060604A,2.1357,1.9777236052888478,-11.76955108,4.45991,1.21596,1.02,2.1711,-6.395773947,2.01,21.99003057,-0.468521083,17.0,0.04195,0.04994,0.04695,0.0,6.42424242424242e-08,0.254545455,0.078787879
060605A,3.78,1.8981764834976764,-11.26121944,4.04162,1.9179,0.835,2.02128,-6.156767222,1.55,21.77333803,-0.337242168,35.01416491,0.05315,0.037375,0.085,0.10149311,5.45454545454545e-08,0.121212121,0.072727273
060607A,3.0749,2.009450895798694,-11.02273379,4.37412,3.43151,0.564,1.61002,-5.59345982,1.47,21.79614607,0.146128036,31.06976133,0.0761,0.02584,0.163115,0.012077154,6.78787878787879e-08,0.048484848,0.078787879
060614A,0.125,2.0362295440862948,-11.78251606,5.03344,1.9453,0.783,1.89544,-4.690369833,2.02,20.51216256,1.06069784,3.31042292,0.0429,0.0289,0.05983,0.006,2.2e-07,0.024242424,0.448484848
060707A,3.425,1.8208579894397,-10.9132,3.5545,0.861995,1.12,2.09345,-5.795880017,0.6,21.20847898,0.004321374,6.314200491,0.07695,0.127895,0.0364485,0.035,9.15151515151515e-08,0.363636364,0.139393939
060708A,1.92,1.0086001717619175,-10.86966623,3.50569,1.12969,1.485,2.20484,-6.306273051,1.68,20.79066861,0.28780173,3.601244236,0.06115,0.062725,0.028525,0.33410152,2.24242424242424e-08,0.072727273,0.084848485
060714A,2.711,2.060697840353612,-10.86012091,3.73449,1.20488,0.87,2.04425,-5.548213564,1.93,22.0125926,0.10720997,9.129365384,0.0352,0.046765,0.035305,0.005,1.01212121212121e-07,0.066666667,0.078787879
060729A,0.54,2.061829307294699,-11.15058059,5.1057,1.35481,1.317,1.92492,-5.583359493,1.75,20.86562801,0.068185862,33.90346061,0.0116,0.012825,0.013425,0.077392286,1.27878787878788e-07,0.084848485,0.078787879
060814A,1.9229,2.1622656142980214,-10.91009489,4.22387,1.29504,0.97,2.11591,-4.835647144,1.53,22.00679538,0.861534411,4.898458524,0.0353,0.034855,0.024565,0.0,1.44848484848485e-07,0.018181818,0.175757576
060904B,0.703,2.2342641243787895,-11.11633856,3.87074,1.36265,1.58,2.18877,-5.790484985,1.64,21.59122827,0.387389826,11.34305921,0.08665,0.081295,0.04215,0.136141492,8.66666666666667e-08,0.084848485,0.127272727
060906A,3.686,1.6384892569546374,-11.8827287,4.33479,1.71887,1.06,2.07859,-5.655607726,2.03,22.41960057,0.294466226,8.166987204,0.08845,0.072145,0.169635,0.005,8.24242424242424e-08,0.066666667,0.16969697
060908A,1.8836,1.2855573090077739,-9.627087997,2.81918,1.38309,1.185,2.13395,-5.552841969,1.0,21.80952201,0.481442629,1.330335293,0.045185,0.05993,0.04964,0.003474954,6.72727272727273e-08,0.181818182,0.151515152
060912A,0.937,0.6989700043360189,-10.1079054,2.455171016,1.045731532,0.63,1.8948,-5.869666232,1.74,21.36738202,0.933487288,0.58,0.147419953,0.156564864,0.028937785,0.0785,3.75757575757576e-08,0.054545455,0.266666667
060926A,3.2,0.9030899869919435,-10.84771166,3.351,1.45111,1.357,2.00443,-6.659555885,2.54,22.50004427,0.037426498,1.212679677,0.08245,0.09927,0.11561,0.009157091,1.51515151515152e-08,0.139393939,0.084848485
060927A,5.47,1.3521825181113625,-10.77728353,3.15198,1.39098,0.83,1.94856,-5.946921557,0.9,22.10710478,0.431363764,1.294276634,0.08115,0.108435,0.118785,0.178498106,4.12121212121212e-08,0.242424242,0.103030303
061007A,1.26,1.8768526476013434,-9.18075073436846,3.1724164051673744,1.5737231022130211,0.8939776532453179,,,,,,,0.8960817888209061,0.5992603389943569,0.27985308253012786,0.20434495102160782,,,
061021A,0.3463,1.6646419755561255,-10.04095861,3.23849,1.01707,0.785,1.99282,-5.528708289,1.3,20.87141063,0.78604121,5.398832468,0.0264,0.03399,0.010415,0.016800037,6.12121212121212e-08,0.036363636,0.163636364
061110A,0.7578,1.6095944092252201,-8.33235,2.24983,4.46435,1.98,1.82722,-5.974694135,1.67,16.57386563,-0.27572413,4.024501448,0.2103,0.03335,0.11946,0.0015,4.60606060606061e-08,0.072727273,0.072727273
061121A,1.314,1.9100905455940682,-10.03011836,3.78753,1.35185,0.9485,1.90181,-4.863279433,1.41,21.75351565,1.324282455,46.12748458,0.01265,0.01703,0.01585,0.002358211,1.20606060606061e-07,0.018181818,0.278787879
061126A,1.1588,2.2810333672477277,-10.627196083334972,3.6965001759776306,1.2001900395230516,0.883630210508616,,,,,,,0.8035121133385488,0.5996693122525838,0.2863549799234427,0.20830136157015972,,,
061201A,0.111,-0.11918640771920865,-10.4134127,3.49343,1.98937,0.145,1.65934,-6.476253533,0.81,21.16656331,0.586587305,0.098954548,0.09365,0.093885,0.169505,0.061048094,1.63636363636364e-08,0.090909091,0.187878788
061222A,2.088,1.8536982117761744,-9.954677021,3.92091,1.35061,0.86,1.92748,-5.097453221,1.35,22.56660835,0.930949031,16.0,0.02311,0.024435,0.018075,0.005,9.57575757575758e-08,0.024242424,0.157575758
070110A,2.352,1.9464522650130731,-11.04866248,4.26825,1.42725,1.186,2.08596,-5.790484985,1.58,21.3989672,-0.22184875,14.47803302,0.05475,0.053995,0.046555,0.12166788,6.54545454545455e-08,0.072727273,0.072727273
070125A,1.55,1.7781512503836436,-10.813322366919003,4.306290650743052,1.586659803105906,0.8766262879891984,,,,,,,0.7920824301969258,0.6039864682254747,0.2932103778877506,0.2099269904472909,,,
070208A,1.165,1.678518379040114,-10.86327943,3.44468,1.2125,1.14,2.20341,-6.351639989,1.94,21.8647258,-0.045757491,22.627417,0.1619,0.14114,0.06357,0.015,6.12121212121212e-08,0.218181818,0.133333333
070223A,1.6295,1.9469432706978254,-11.86327943,4.22335,0.991734,1.03,2.25837,-5.769551079,1.85,21.70173804,-0.161150909,8.08530616,0.16615,0.203105,0.079308,0.06,7.27272727272727e-08,0.072727273,0.090909091
070306A,1.4959,2.3211840273023143,-11.2737,4.86926,1.89982,0.831,1.94468,-5.269217724,1.66,22.44245468,0.609594409,64.76757163,0.0335,0.02824,0.06188,0.001,1.73333333333333e-07,0.060606061,0.127272727
070411A,2.95,2.089021500795006,-10.681929877694767,3.6045852962737133,1.3842083819039501,0.9001501751923942,,,,,,,0.7863775149922061,0.5967556476993314,0.2978163726880916,0.2128022899655277,,,
