GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,FluenceErr,PhotonIndexErr,PeakFluxErr
000301C,2.03,0.2928916198186878,-11.315646681447696,4.470733599425001,2.5853593034262463,0.7746389225081682,,,,,,,0.8593547291101425,0.6901458017872589,0.6267772592302129,0.30655058659433065,,,
000926A,2.07,1.3866497356247125,-10.874116399544082,4.206776712378813,2.0868105823061702,0.9309479164031924,,,,,,,0.8576199860817123,0.6899622557491657,0.6196569037377176,0.3090704322358218,,,
010222A,1.47688,0.2928916198186878,-10.741140630600555,4.039924701713209,1.4682029029648112,0.8379068486085351,,,,,,,0.8575625755529067,0.6899634013698828,0.6191629428311062,0.3141376680096698,,,
011211A,2.14,2.417104017403878,-11.170035631032675,4.2449809986618146,1.9744615747298147,0.707649353696015,,,,,,,0.8579672152886907,0.6900671451774764,0.6238203213911063,0.3083750358309469,,,
020124A,3.198,1.6498585274683768,-10.819969079777776,3.9755308958092046,1.961521784804021,1.0463188404685675,,,,,,,0.8578922841765333,0.6903000318333967,0.6210861681373542,0.31723085050703154,,,
021004A,2.34,1.986979748030413,-10.88820779151973,4.304023986553725,1.518043731450872,0.8044120642024586,,,,,,,0.8575556689478993,0.6899622557491657,0.6193783474967213,0.3077230810550067,,,
030226A,1.99,1.333059873437464,-10.991896058352374,4.152955725981132,2.0740419631152314,0.7671956370845956,,,,,,,0.858033229270356,0.690019292621726,0.6259376402483359,0.30655058659433065,,,
030328A,1.52,2.2854090943310164,-10.784870917031647,3.949766059202262,1.4618692276626941,0.6890411401370835,,,,,,,0.8575556689478993,0.6899622557491657,0.6196569037377176,0.34644810113101127,,,
030329A,0.17,1.7862089573138509,-10.343340635128033,4.338755155901907,1.6093273001066604,0.707649353696015,,,,,,,0.8585456185604159,0.6901458017872589,0.6193783474967213,0.30980897774287636,,,
030429A,2.658,1.0026535186258623,-11.431383980874347,4.324466752832064,2.7147081202114984,0.6369381421720754,,,,,,,0.9401695176283358,0.6969651138977423,1.2227724455073283,0.31615934576440907,,,
