GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
000926A,2.04,1.397940009,-10.942606475247668,4.241654627660687,1.7931607885141068,0.9637602910166165,1.9921534289152856,-5.735553462133477,1.6852847432236138,21.154585675003315,0.4978731730930601,,0.431429698175803,0.35792081341448867,0.23318358821504148,0.10741041807016144,0.0315728375171381,0.1796600888577856,0.0584643654542467,1
011211A,2.14,2.431363764,-11.223342042700978,4.326383543291884,1.7068265660538482,0.8553393241788265,1.9170313579215073,-5.545015193110915,1.730742575865966,20.999710905058464,0.0099540052549258,,0.4813691811657037,0.3679634219173846,0.2237554163126424,0.10551568660559324,0.040345966847899,0.1714213955860267,0.0900586582057859,1
020124A,3.198,1.661907293,-10.87517524014675,3.946671798103144,1.6984698442623687,1.0236004751425938,2.0223621522445168,-5.790453301133065,1.6600194741877357,21.118196542364263,0.2860685550626316,,0.4410764913621019,0.32005126707337417,0.22217888345590187,0.1309124068617603,0.0323124845604323,0.1627886143529108,0.0687137148382266,1
021004A,2.34,2.0,-10.946778643923036,4.377959651630995,1.3828830516644866,0.9036979497352985,1.964380804036829,-5.4654758030823825,1.671868878836442,21.08107527177258,0.3554293181530976,,0.4478105316383294,0.37625229904157087,0.19356083943144575,0.09936457682902572,0.036356115947561,0.1938197041913752,0.062431543050404,1
030226A,1.99,1.344195716,-10.997735676071654,4.1914402914129845,1.809053623150691,0.8816723756925258,1.9460271678025596,-5.889071811324594,1.6936423720497529,21.05118687251175,0.3204644694374678,,0.42663566105331885,0.3240013690828556,0.2431494065615094,0.10381828229910256,0.0369501006956046,0.1993986519486976,0.0723940497319666,1
030329A,0.17,1.798650645,-10.39862837650713,4.408881554536236,1.45254718231352,0.8595172147946551,1.9492449337212887,-5.1536155408659505,1.633617447071938,21.20678392008461,0.7803767981078531,,0.4420272933773184,0.352314126443261,0.19291261619304523,0.10679920170299317,0.0273643578404255,0.1645582665787907,0.0358944155859398,1
040924A,0.86,0.378397901,-10.569413080064827,3.5627255991089974,1.3729977602435768,0.892161619743632,2.0163743128455134,-6.342455717185209,1.9102829721285488,20.870879862299898,0.6338588617081715,,0.3916870481144681,0.287417217905503,0.18379070523795737,0.1415374836147839,0.045383068838583,0.2410392078027989,0.0538869202071245,1
041006A,0.72,1.240549248,-10.714117149748976,3.8072650505800416,1.322904535268182,0.8428132000308199,1.9667196956617856,-5.868707585670798,1.8315922738031924,20.908138889373173,0.5259018527890582,,0.3855390443015114,0.27708984832026373,0.18403008447674984,0.12391644166581567,0.0429893296335705,0.2098531427728206,0.0588540164700386,1
050315A,1.949,1.980457892,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.02006162,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,0
050318A,1.44,1.505149978,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.96645741,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,0
