"","log10NH","log10PeakFlux","PhotonIndex","log10Ta","log10Fa","Gamma","Alpha","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","GammaSqr","AlphaSqr","Response"
"GRB050904",22.39388568,-0.207608311,1.25,4.6841,-11.4544,1.90813,1.36946226,501.486115848909,0.0431012107962727,1.5625,21.94079281,131.20327936,3.6409600969,1.87542688156431,0.862727528317975
"GRB060115",21.43355223,-0.060480747,1,3.69688,-11.29499204,2.10553,0.889919,459.397161196138,0.00365792075767801,1,13.6669217344,127.576845183663,4.4332565809,0.791955826561,0.656098202012832
"GRB060124",21.9172644,-0.050609993,1.84,4.47599,-10.6893,2.00895,1.3641,480.366478779507,0.00256137139146005,3.3856,20.0344864801,114.26113449,4.0358801025,1.86076881,0.517987203025078
"GRB060210",22.3877421,0.434568904,1.53,4.15028,-10.66756154,2.08163,1.20511,501.210996336112,0.188850132323761,2.3409,17.2248240784,113.796869209687,4.3331834569,1.4522901121,0.691081492122968
"GRB060218",21.59972155,-0.602059991,2.26,5.07614,-11.82390874,1.87322,1.3185,466.547971037534,0.36247623276292,5.1076,25.7671972996,139.804817891848,3.5089531684,1.73844225,0.0141423615450058
"GRB060306",21.61973178,0.775974331,1.8,3.61496,-10.70553377,2.28823,1.03794,467.412802239142,0.602136162370898,3.24,13.0679358016,114.60845330061,5.2359965329,1.0773194436,0.408070285887185
"GRB060418",21.65363309,0.814247596,1.7,3.11887,-9.792961075,1.94118,1.47655,468.879825996343,0.662999147591779,2.89,9.7273500769,95.9020866164651,3.7681797924,2.1801999025,0.396024896608593
"GRB060526",21.67796993,0.222716471,2.01,3.8752,-11.3053948,1.90677,1.05873,469.934380285984,0.0496026264546938,4.0401,15.01717504,127.811951583867,3.6357718329,1.1209092129,0.625415352154408
"GRB060604",21.99003057,-0.468521083,2.01,4.45991,-11.76955108,2.1711,1.21596,483.561444469534,0.219512005215493,4.0401,19.8907972081,138.522332624729,4.71367521,1.4785587216,0.496334505996816
"GRB060605",21.77333803,-0.337242168,1.55,4.04162,-11.26121944,2.02128,1.9179,474.078248968644,0.11373227987734,2.4025,16.3346922244,126.815063275834,4.0855728384,3.67834041,0.679427896612119
"GRB060614",20.51216256,1.06069784,2.02,5.03344,-11.78251606,1.89544,1.9453,420.748812887866,1.12507990778067,4.0804,25.3355182336,138.827684704158,3.5926927936,3.78419209,0.0511525224473813
"GRB060707",21.20847898,0.004321374,0.6,3.5545,-10.9132,2.09345,0.861995,449.799580645102,1.8674273247876e-05,0.36,12.63447025,119.09793424,4.3825329025,0.743035380025,0.645913275033844
"GRB060708",20.79066861,0.28780173,1.68,3.50569,-10.86966623,2.20484,1.12969,432.251901250839,0.0828298357909929,2.8224,12.2898623761,118.149643951602,4.8613194256,1.2761994961,0.465382851448418
"GRB060714",22.0125926,0.10720997,1.93,3.73449,-10.86012091,2.04425,1.20488,484.554232973575,0.0114939776674009,3.7249,13.9464155601,117.942226179819,4.1789580625,1.4517358144,0.569490954348783
