"","log10PeakFlux","PhotonIndex","log10NH","log10Ta","log10Fa","Alpha","Beta","log10T90","Gamma","log10Fluence","log10PeakFluxSqr","PhotonIndexSqr","log10NHSqr","log10TaSqr","log10FaSqr","AlphaSqr","BetaSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","Response"
"GRB050904",-0.207608311,1.25,22.39388568,4.6841,-11.4544,1.36946226,0.848,2.24104815067164,1.90813,-5.316052869,0.0431012107962727,1.5625,501.486115848909,21.94079281,131.20327936,1.87542688156431,0.719104,5.02229681362878,3.6409600969,28.2604181060031,0.862727528317975
"GRB060115",-0.060480747,1,21.43355223,3.69688,-11.29499204,0.889919,1,2.14488541828714,2.10553,-5.76700389,0.00365792075767801,1,459.397161196138,13.6669217344,127.576845183663,0.791955826561,1,4.6005334575808,4.4332565809,33.2583338672751,0.656098202012832
"GRB060124",-0.050609993,1.84,21.9172644,4.47599,-10.6893,1.3641,0.99,2.8750612633917,2.00895,-6.336299075,0.00256137139146005,3.3856,480.366478779507,20.0344864801,114.26113449,1.86076881,0.9801,8.26597726825548,4.0358801025,40.1486859678459,0.517987203025078
"GRB060210",0.434568904,1.53,22.3877421,4.15028,-10.66756154,1.20511,0.979,2.40654018043396,2.08163,-5.11577123,0.188850132323761,2.3409,501.210996336112,17.2248240784,113.796869209687,1.4522901121,0.958441,5.79143564004312,4.3331834569,26.1711152776957,0.691081492122968
"GRB060218",-0.602059991,2.26,21.59972155,5.07614,-11.82390874,1.3185,0.2529,3.32221929473392,1.87322,-5.804100348,0.36247623276292,5.1076,466.547971037534,25.7671972996,139.804817891848,1.73844225,0.06395841,11.0371410423023,3.5089531684,33.6875808496537,0.0141423615450058
"GRB060306",0.775974331,1.8,21.61973178,3.61496,-10.70553377,1.03794,0.76,1.78675142214556,2.28823,-5.671620397,0.602136162370898,3.24,467.412802239142,13.0679358016,114.60845330061,1.0773194436,0.5776,3.19248064453918,5.2359965329,32.1672779276664,0.408070285887185
"GRB060418",0.814247596,1.7,21.65363309,3.11887,-9.792961075,1.47655,0.98,2.01325866528352,1.94118,-5.079354999,0.662999147591779,2.89,468.879825996343,9.7273500769,95.9020866164651,2.1801999025,0.9604,4.05321045333918,3.7681797924,25.7998472058663,0.396024896608593
"GRB060526",0.222716471,2.01,21.67796993,3.8752,-11.3053948,1.05873,0.93,2.47450763911698,1.90677,-5.899629455,0.0496026264546938,4.0401,469.934380285984,15.01717504,127.811951583867,1.1209092129,0.8649,6.12318805604829,3.6357718329,34.8056277063036,0.625415352154408
"GRB060604",-0.468521083,2.01,21.99003057,4.45991,-11.76955108,1.21596,1.02,1.97772360528885,2.1711,-6.395773947,0.219512005215493,4.0401,483.561444469534,19.8907972081,138.522332624729,1.4785587216,1.0404,3.91139065891673,4.71367521,40.905924381124,0.496334505996816
"GRB060605",-0.337242168,1.55,21.77333803,4.04162,-11.26121944,1.9179,0.835,1.89817648349768,2.02128,-6.156767222,0.11373227987734,2.4025,474.078248968644,16.3346922244,126.815063275834,3.67834041,0.697225,3.60307396250362,4.0855728384,37.9057826258936,0.679427896612119
