"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","Response"
"GRB050904",-0.207608311,22.39388568,1.25,4.6841,-11.4544,1.36946226,2.24104815067164,0.848,1.90813,-5.316052869,0.0431012107962727,501.486115848909,1.5625,21.94079281,131.20327936,1.87542688156431,5.02229681362878,0.719104,3.6409600969,28.2604181060031,0.862727528317975
"GRB060115",-0.060480747,21.43355223,1,3.69688,-11.29499204,0.889919,2.14488541828714,1,2.10553,-5.76700389,0.00365792075767801,459.397161196138,1,13.6669217344,127.576845183663,0.791955826561,4.6005334575808,1,4.4332565809,33.2583338672751,0.656098202012832
"GRB060124",-0.050609993,21.9172644,1.84,4.47599,-10.6893,1.3641,2.8750612633917,0.99,2.00895,-6.336299075,0.00256137139146005,480.366478779507,3.3856,20.0344864801,114.26113449,1.86076881,8.26597726825548,0.9801,4.0358801025,40.1486859678459,0.517987203025078
"GRB060210",0.434568904,22.3877421,1.53,4.15028,-10.66756154,1.20511,2.40654018043396,0.979,2.08163,-5.11577123,0.188850132323761,501.210996336112,2.3409,17.2248240784,113.796869209687,1.4522901121,5.79143564004312,0.958441,4.3331834569,26.1711152776957,0.691081492122968
"GRB060218",-0.602059991,21.59972155,2.26,5.07614,-11.82390874,1.3185,3.32221929473392,0.2529,1.87322,-5.804100348,0.36247623276292,466.547971037534,5.1076,25.7671972996,139.804817891848,1.73844225,11.0371410423023,0.06395841,3.5089531684,33.6875808496537,0.0141423615450058
"GRB060306",0.775974331,21.61973178,1.8,3.61496,-10.70553377,1.03794,1.78675142214556,0.76,2.28823,-5.671620397,0.602136162370898,467.412802239142,3.24,13.0679358016,114.60845330061,1.0773194436,3.19248064453918,0.5776,5.2359965329,32.1672779276664,0.408070285887185
"GRB060418",0.814247596,21.65363309,1.7,3.11887,-9.792961075,1.47655,2.01325866528352,0.98,1.94118,-5.079354999,0.662999147591779,468.879825996343,2.89,9.7273500769,95.9020866164651,2.1801999025,4.05321045333918,0.9604,3.7681797924,25.7998472058663,0.396024896608593
"GRB060526",0.222716471,21.67796993,2.01,3.8752,-11.3053948,1.05873,2.47450763911698,0.93,1.90677,-5.899629455,0.0496026264546938,469.934380285984,4.0401,15.01717504,127.811951583867,1.1209092129,6.12318805604829,0.8649,3.6357718329,34.8056277063036,0.625415352154408
"GRB060604",-0.468521083,21.99003057,2.01,4.45991,-11.76955108,1.21596,1.97772360528885,1.02,2.1711,-6.395773947,0.219512005215493,483.561444469534,4.0401,19.8907972081,138.522332624729,1.4785587216,3.91139065891673,1.0404,4.71367521,40.905924381124,0.496334505996816
"GRB060605",-0.337242168,21.77333803,1.55,4.04162,-11.26121944,1.9179,1.89817648349768,0.835,2.02128,-6.156767222,0.11373227987734,474.078248968644,2.4025,16.3346922244,126.815063275834,3.67834041,3.60307396250362,0.697225,4.0855728384,37.9057826258936,0.679427896612119
"GRB060614",1.06069784,20.51216256,2.02,5.03344,-11.78251606,1.9453,2.03622954408629,0.783,1.89544,-4.690369833,1.12507990778067,420.748812887866,4.0804,25.3355182336,138.827684704158,3.78419209,4.14623075620986,0.613089,3.5926927936,21.9995691703164,0.0511525224473813
"GRB060707",0.004321374,21.20847898,0.6,3.5545,-10.9132,0.861995,1.8208579894397,1.12,2.09345,-5.795880017,1.8674273247876e-05,449.799580645102,0.36,12.63447025,119.09793424,0.743035380025,3.31552381770639,1.2544,4.3825329025,33.5922251714599,0.645913275033844
"GRB060708",0.28780173,20.79066861,1.68,3.50569,-10.86966623,1.12969,1.00860017176192,1.485,2.20484,-6.306273051,0.0828298357909929,432.251901250839,2.8224,12.2898623761,118.149643951602,1.2761994961,1.01727430647817,2.205225,4.8613194256,39.7690797937688,0.465382851448418
"GRB060714",0.10720997,22.0125926,1.93,3.73449,-10.86012091,1.20488,2.06069784035361,0.87,2.04425,-5.548213564,0.0114939776674009,484.554232973575,3.7249,13.9464155601,117.942226179819,1.4517358144,4.24647558923803,0.7569,4.1789580625,30.7826737517536,0.569490954348783
"GRB060729",0.068185862,20.86562801,1.75,5.1057,-11.15058059,1.35481,2.0618293072947,1.317,1.92492,-5.583359493,0.00464931177668304,435.374432251696,3.0625,26.06817249,124.335447494085,1.8355101361,4.25114009241934,1.734489,3.7053170064,31.1739032280732,0.187520720836463
"GRB060814",0.861534411,22.00679538,1.53,4.22387,-10.91009489,1.29504,2.16226561429802,0.97,2.11591,-4.835647144,0.742241541337117,484.299042897189,2.3409,17.8410777769,119.030170508804,1.6771286016,4.67539258677559,0.9409,4.4770751281,23.3834833012754,0.465813957269479
"GRB060906",0.294466226,22.41960057,2.03,4.33479,-11.8827287,1.71887,1.63848925695464,1.06,2.07859,-5.655607726,0.0867103582546831,502.638489718344,4.1209,18.7904043441,141.199241357804,2.9545140769,2.68464704515577,1.1236,4.3205363881,31.9858987503909,0.670802284260944
"GRB060908",0.481442629,21.80952201,1,2.81918,-9.627087997,1.38309,1.28555730900777,1.185,2.13395,-5.552841969,0.231787005018432,475.655250304674,1,7.9477758724,92.6808233019815,1.9129379481,1.6526575947433,1.404225,4.5537426025,30.8340539326878,0.459935016851525
"GRB060927",0.431363764,22.10710478,0.9,3.15198,-10.77728353,1.39098,1.35218251811136,0.83,1.94856,-5.946921557,0.186074696892248,488.724081753899,0.81,9.9349779204,116.149840286009,1.9348253604,1.82839756228598,0.6889,3.7968860736,35.3658760051113,0.8109042806687
