"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
1,8047,0.5737,8047,1.0843,6381,-0.1041,17,9,2.8,"Response ~  (log10T90Sqr+log10FaSqr+log10TaSqr+PhotonIndexSqr+log10T90+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+AlphaSqr"
2,861,0.6696,861,1.1056,720,-0.2355,17,9,2.7,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
3,3100,0.5991,3100,1.0445,9646,-0.1444,17,9,2.8,"Response ~  (AlphaSqr+log10NHSqr+Alpha+log10T90+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
4,211,0.5148,3000,0.9502,55,-2e-04,17,9,2.9,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
5,67,0.3847,67,1.0614,850,0.14,17,9,2.8,"Response ~  (log10FaSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
6,9802,0.5634,9802,0.9611,12640,-0.0711,17,9,2.7,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10T90+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
7,6355,0.514,874,1.0783,1050,0.0096,17,9,2.8,"Response ~  (AlphaSqr+log10T90Sqr+log10FaSqr+log10NHSqr+Alpha+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
8,4329,0.741,4329,0.9769,401,-0.3106,17,9,2.7,"Response ~  (log10FaSqr+log10NHSqr+Alpha+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
9,2016,0.4524,2016,1.1376,8746,-0.0135,17,9,2.8,"Response ~  (log10FaSqr+PhotonIndexSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
10,654,0.5497,654,1.1919,9858,-0.2871,17,9,2.8,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
11,366,0.5811,366,1.2711,7995,-0.1535,17,9,2.8,"Response ~  (PhotonIndexSqr+log10NHSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
12,268,0.5016,268,1.4128,2742,-0.4821,17,9,2.8,"Response ~  (AlphaSqr+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
13,6350,0.57,6350,0.9967,6350,-0.0041,17,9,2.7,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
14,211,0.6574,211,0.9793,2532,-0.3562,17,9,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
15,9381,0.4342,9381,0.9329,3351,-0.0018,17,9,2.8,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+Alpha+log10T90+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
16,2539,0.7585,2539,0.985,3270,0.0023,17,9,2.8,"Response ~  (log10FaSqr+log10TaSqr+log10PeakFluxSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
17,2529,0.5442,2529,1.0589,12643,-0.3321,17,9,2.8,"Response ~  (log10FaSqr+log10TaSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
18,1589,0.4588,1589,1.0062,1792,0.0356,17,9,2.8,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
19,10901,0.5436,10901,1.0447,12341,-0.1381,17,9,2.7,"Response ~  (AlphaSqr+log10FaSqr+log10NHSqr+Alpha+log10Fa+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
20,10850,0.6128,10850,1.06,13781,-0.0168,17,9,2.6,"Response ~  (log10T90Sqr+log10FaSqr+Alpha+log10T90+log10Fa+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
21,132,0.4996,132,1.176,1589,-0.3787,17,9,2.8,"Response ~  (log10NHSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
