"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
1,1454,0.4534,925,1.2307,4251,-0.0677,17,9,2.9,"Response ~  (GammaSqr+log10Ta_optSqr+Beta_optSqr+log10PeakFluxSqr)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta+log10Ta_opt+Gamma+PhotonIndexSqr+log10NHSqr+log10TaSqr"
2,791,0.6998,791,1.0692,2740,-0.0027,15,8,2.8,"Response ~  (log10NHSqr+log10PeakFluxSqr+log10NH+PhotonIndex)^2+log10PeakFlux+Beta_opt+log10Ta+log10Ta_opt+Gamma+PhotonIndexSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
3,1532,0.4828,1532,1.1616,4685,0.0967,17,9,2.7,"Response ~  (log10TaSqr+log10Ta+Beta_opt+PhotonIndex+log10PeakFlux)^2+log10NH+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10Ta_optSqr+GammaSqr"
4,2086,0.3075,1587,1.1843,572,-0.0085,17,9,2.6,"Response ~  (Beta_optSqr+log10NHSqr+log10PeakFluxSqr+log10Ta_opt+log10PeakFlux)^2+PhotonIndex+log10NH+Beta_opt+log10Ta+Gamma+PhotonIndexSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
5,1879,0.3052,1227,1.1124,4819,0.1482,17,9,2.7,"Response ~  (log10TaSqr+PhotonIndexSqr+log10Ta+Beta_opt+log10PeakFlux)^2+PhotonIndex+log10NH+log10Ta_opt+Gamma+log10PeakFluxSqr+log10NHSqr+Beta_optSqr+log10Ta_optSqr+GammaSqr"
6,865,0.5197,865,0.9942,6302,-0.0622,17,9,2.7,"Response ~  (PhotonIndexSqr+Gamma+log10Ta+PhotonIndex)^2+log10PeakFlux+log10NH+Beta_opt+log10Ta_opt+log10PeakFluxSqr+log10NHSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
7,1340,0.3976,1340,1.1663,6137,-0.006,17,9,2.7,"Response ~  (GammaSqr+log10Ta_optSqr+log10NHSqr+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr"
8,1859,0.6275,1859,1.0902,2682,-0.2003,17,9,2.7,"Response ~  (log10NHSqr+log10Ta_opt+log10Ta+Beta_opt+log10PeakFlux)^2+PhotonIndex+log10NH+Gamma+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
9,222,0.4863,5855,1.1183,6304,-0.1521,17,9,2.7,"Response ~  (log10PeakFluxSqr+Gamma+PhotonIndex)^2+log10PeakFlux+log10NH+Beta_opt+log10Ta+log10Ta_opt+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
10,1034,0.5337,1034,1.2678,1034,-0.436,17,9,2.7,"Response ~  (log10Ta_optSqr+Gamma+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+log10Ta_opt+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr+GammaSqr"
11,4629,0.5536,4629,1.297,7767,-0.1742,17,9,2.7,"Response ~  (log10Ta_optSqr+log10TaSqr+Beta_optSqr+log10NHSqr+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr"
12,6372,0.536,6372,1.3682,946,-0.4638,17,9,2.7,"Response ~  (log10Ta_optSqr+Beta_optSqr+log10NHSqr+PhotonIndexSqr+log10PeakFluxSqr+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10TaSqr+GammaSqr"
13,9196,0.5148,48,1.094,474,-0.0343,16,8,2.7,"Response ~  (GammaSqr+log10Ta_optSqr+PhotonIndexSqr+Gamma+log10Ta+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta_opt+log10PeakFluxSqr+log10NHSqr+Beta_optSqr+log10TaSqr"
14,2181,0.6082,2181,0.9909,5541,-0.2721,17,9,2.8,"Response ~  (log10Ta_optSqr+log10TaSqr+Beta_optSqr+log10NHSqr+log10PeakFlux)^2+PhotonIndex+log10NH+Beta_opt+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr"
15,6223,0.3355,6223,0.9981,4554,0.0642,17,9,2.8,"Response ~  (log10Ta_optSqr+log10TaSqr+log10NHSqr+log10PeakFluxSqr+Gamma+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+log10Ta+log10Ta_opt+PhotonIndexSqr+Beta_optSqr+GammaSqr"
16,3219,0.6629,3219,1.1532,3272,-0.0066,16,8,2.7,"Response ~  (GammaSqr+log10Ta_optSqr+log10TaSqr+log10NHSqr+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr"
17,6107,0.5547,6107,1.0569,1882,-0.2542,17,9,2.7,"Response ~  (log10Ta_optSqr+log10NHSqr+PhotonIndexSqr+log10PeakFluxSqr+log10Ta+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+log10Ta_opt+Gamma+Beta_optSqr+log10TaSqr+GammaSqr"
18,1139,0.185,1139,1.4298,1080,0.0015,17,9,2.7,"Response ~  (GammaSqr+log10Ta_optSqr+Beta_optSqr+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10TaSqr"
19,8295,0.495,8295,1.0993,1935,0.1094,17,9,2.7,"Response ~  (GammaSqr+log10TaSqr+Gamma+log10Ta_opt+Beta_opt+log10NH+PhotonIndex)^2+log10PeakFlux+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10Ta_optSqr"
20,3981,0.5593,3090,1.1179,2883,-0.2022,17,9,2.7,"Response ~  (log10Ta_optSqr+Gamma+log10Ta+Beta_opt+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta_opt+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr+GammaSqr"
21,6077,0.3973,6077,1.2804,6271,-0.3443,17,9,2.8,"Response ~  (log10Ta_optSqr+log10NHSqr+log10PeakFluxSqr+Gamma+log10Ta+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+log10Ta_opt+PhotonIndexSqr+Beta_optSqr+log10TaSqr+GammaSqr"
22,1302,0.3935,1302,1.0732,984,-6e-04,17,9,2.7,"Response ~  (log10Ta_optSqr+log10NHSqr+Gamma+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr+GammaSqr"
23,941,0.4337,941,1.0343,8079,0.0831,17,9,2.7,"Response ~  (log10NHSqr+PhotonIndexSqr+log10PeakFluxSqr+PhotonIndex)^2+log10PeakFlux+log10NH+Beta_opt+log10Ta+log10Ta_opt+Gamma+Beta_optSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
24,3269,0.3664,8502,1.2297,9041,0.1722,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+log10NHSqr+log10Ta_opt+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10Ta_optSqr"
25,658,0.7332,658,1.2615,1532,-0.3762,17,9,2.8,"Response ~  (Beta_optSqr+PhotonIndexSqr+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
26,289,0.5,289,1.1338,1131,-0.1835,17,9,2.9,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+log10Ta+log10Ta_opt+Gamma+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr"
27,1507,0.309,1507,1.3419,1551,-0.3708,17,9,2.8,"Response ~  (Beta_optSqr+log10PeakFluxSqr+log10NH+PhotonIndex+log10PeakFlux)^2+Beta_opt+log10Ta+log10Ta_opt+Gamma+PhotonIndexSqr+log10NHSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
