"formula_idx","wins","formula"
144,4,"Response ~  (Beta_optSqr+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
658,4,"Response ~  (Beta_optSqr+PhotonIndexSqr+log10Ta+log10PeakFlux)^2+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+Gamma+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
1018,4,"Response ~  (log10Ta_optSqr+log10TaSqr+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+Beta_optSqr+GammaSqr"
1302,4,"Response ~  (log10Ta_optSqr+log10NHSqr+Gamma+log10Ta)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta_opt+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr+GammaSqr"
1879,3,"Response ~  (log10TaSqr+PhotonIndexSqr+log10Ta+Beta_opt+log10PeakFlux)^2+PhotonIndex+log10NH+log10Ta_opt+Gamma+log10PeakFluxSqr+log10NHSqr+Beta_optSqr+log10Ta_optSqr+GammaSqr"
2845,3,"Response ~  (log10Ta_optSqr+Beta_optSqr+Gamma+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+log10Ta_opt+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10TaSqr+GammaSqr"
3032,3,"Response ~  (GammaSqr+log10NHSqr+log10Ta_opt+log10Ta+Beta_opt)^2+log10PeakFlux+PhotonIndex+log10NH+Gamma+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr"
85,2,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta+log10Ta_opt+Gamma+log10NHSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
129,2,"Response ~  (log10Ta+Beta_opt+log10PeakFlux)^2+PhotonIndex+log10NH+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr+GammaSqr"
258,2,"Response ~  (log10Ta_optSqr+Beta_opt+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr+GammaSqr"
289,2,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+log10Ta+log10Ta_opt+Gamma+PhotonIndexSqr+log10NHSqr+Beta_optSqr+log10TaSqr+log10Ta_optSqr"
461,2,"Response ~  (log10Ta_optSqr+Beta_optSqr+log10NHSqr)^2+log10PeakFlux+PhotonIndex+log10NH+Beta_opt+log10Ta+log10Ta_opt+Gamma+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+GammaSqr"
