"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
1,6341,0.5372,6341,1.1561,5115,0.0549,16,8,2.6,"Response ~  (GammaSqr+Beta_optSqr+log10PeakFluxSqr+log10NHSqr+log10Ta+Beta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta_opt+Gamma+PhotonIndexSqr+BetaSqr+log10TaSqr"
2,887,0.7173,887,1.0377,1943,-0.15,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
3,816,0.5151,2381,1.1224,816,-0.1962,17,9,2.7,"Response ~  (Beta_optSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
4,210,0.3438,210,1.1394,7111,0.0358,17,9,2.8,"Response ~  (Beta_optSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
5,447,0.3083,2781,1.1254,3018,0.1522,17,9,2.7,"Response ~  (GammaSqr+BetaSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+Beta_opt+Beta+Gamma+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr"
6,2906,0.5808,2906,0.9388,2906,-0.0593,17,9,2.7,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+Gamma+PhotonIndex)^2+log10NH+log10PeakFlux+Beta_opt+Beta+log10Ta+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
7,1602,0.403,1972,1.2924,1972,0.0118,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
8,888,0.6794,888,1.0592,5170,0.0717,17,9,2.7,"Response ~  (log10TaSqr+Beta_optSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr"
9,1702,0.5243,1702,1.0768,2376,-0.0681,17,9,2.7,"Response ~  (log10PeakFluxSqr+Gamma+Beta_opt+PhotonIndex+log10NH)^2+log10PeakFlux+Beta+log10Ta+log10NHSqr+PhotonIndexSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
10,687,0.5585,687,1.2182,5326,-0.3052,16,8,2.6,"Response ~  (BetaSqr+log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+Beta+log10Ta+log10NHSqr+PhotonIndexSqr+Beta_optSqr+GammaSqr+log10TaSqr"
11,1015,0.5384,1015,1.3161,8490,-0.1335,17,9,2.6,"Response ~  (BetaSqr+Beta_optSqr+Beta_opt+PhotonIndex)^2+log10NH+log10PeakFlux+Beta+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
12,3623,0.5177,3623,1.3555,6297,-0.3432,17,9,2.7,"Response ~  (GammaSqr+Beta_optSqr+log10PeakFluxSqr+PhotonIndex+log10PeakFlux+log10NH)^2+Beta_opt+Beta+Gamma+log10Ta+log10NHSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
13,2374,0.5647,2374,1.0355,2374,-0.0638,16,8,2.7,"Response ~  (BetaSqr+log10PeakFluxSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+log10NHSqr+PhotonIndexSqr+Beta_optSqr+GammaSqr+log10TaSqr"
