"formula_idx","wins","formula"
210,16,"Response ~  (Beta_optSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
687,4,"Response ~  (BetaSqr+log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+Beta+log10Ta+log10NHSqr+PhotonIndexSqr+Beta_optSqr+GammaSqr+log10TaSqr"
850,4,"Response ~  (BetaSqr+Beta_optSqr+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Beta+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
882,4,"Response ~  (Beta_optSqr+PhotonIndexSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+BetaSqr+GammaSqr+log10TaSqr"
887,4,"Response ~  (GammaSqr+Beta_optSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
1268,4,"Response ~  (log10PeakFluxSqr+log10NHSqr+Gamma+Beta)^2+log10NH+log10PeakFlux+PhotonIndex+Beta_opt+log10Ta+PhotonIndexSqr+Beta_optSqr+BetaSqr+GammaSqr+log10TaSqr"
1575,4,"Response ~  (Beta_optSqr+Gamma+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
1602,4,"Response ~  (GammaSqr+Beta_optSqr+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
2242,4,"Response ~  (Beta_optSqr+log10Ta+Beta+PhotonIndex+log10PeakFlux)^2+log10NH+Beta_opt+Gamma+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
2374,4,"Response ~  (BetaSqr+log10PeakFluxSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+log10NHSqr+PhotonIndexSqr+Beta_optSqr+GammaSqr+log10TaSqr"
2530,4,"Response ~  (GammaSqr+Beta_optSqr+log10NHSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+log10TaSqr"
5396,4,"Response ~  (GammaSqr+Beta_optSqr+log10PeakFluxSqr+log10NHSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+PhotonIndexSqr+BetaSqr+log10TaSqr"
181,3,"Response ~  (GammaSqr+BetaSqr+log10NH)^2+log10PeakFlux+PhotonIndex+Beta_opt+Beta+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr"
447,3,"Response ~  (GammaSqr+BetaSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+Beta_opt+Beta+Gamma+log10Ta+log10PeakFluxSqr+PhotonIndexSqr+Beta_optSqr+log10TaSqr"
816,3,"Response ~  (Beta_optSqr+Beta+Beta_opt+log10PeakFlux)^2+log10NH+PhotonIndex+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
5322,3,"Response ~  (Beta_optSqr+log10PeakFluxSqr+log10NHSqr+Gamma+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+log10Ta+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
867,2,"Response ~  (Beta_optSqr+log10Ta+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
888,2,"Response ~  (log10TaSqr+Beta_optSqr+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+GammaSqr"
972,2,"Response ~  (GammaSqr+BetaSqr+Beta_optSqr+log10PeakFlux)^2+log10NH+PhotonIndex+Beta_opt+Beta+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
1015,2,"Response ~  (BetaSqr+Beta_optSqr+Beta_opt+PhotonIndex)^2+log10NH+log10PeakFlux+Beta+Gamma+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+GammaSqr+log10TaSqr"
1191,2,"Response ~  (Beta_optSqr+log10PeakFluxSqr+Gamma+Beta_opt)^2+log10NH+log10PeakFlux+PhotonIndex+Beta+log10Ta+log10NHSqr+PhotonIndexSqr+BetaSqr+GammaSqr+log10TaSqr"
