"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
1,10865,0.6167,10865,1.0483,6381,-0.0564,17,9,22,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10T90+log10Fa+log10Ta+PhotonIndex+log10NH)^2+log10PeakFlux+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
2,2481,0.7106,2481,1.0346,1601,-0.1239,17,9,2.6,"Response ~  (log10FaSqr+log10NHSqr+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
3,351,0.5832,351,1.0633,9171,-0.1321,17,9,2.7,"Response ~  (log10NHSqr+log10T90+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
4,554,0.4886,554,0.9689,554,0.0054,17,9,2.6,"Response ~  (AlphaSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
5,4294,0.4034,67,1.0945,13743,0.1127,17,9,2.6,"Response ~  (AlphaSqr+log10FaSqr+log10TaSqr+PhotonIndexSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10T90Sqr"
6,2858,0.552,2858,0.9704,4038,-0.0567,17,9,2.7,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10T90+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
7,874,0.4616,874,1.0835,2812,0.0095,17,9,2.7,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
8,6314,0.7635,6314,0.9679,487,-0.3357,17,9,2.7,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+log10T90+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+log10TaSqr+AlphaSqr"
9,4164,0.3834,4164,1.188,6619,-0.0097,17,9,2.6,"Response ~  (AlphaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10FaSqr+log10T90Sqr"
10,497,0.6673,497,1.1075,9457,-0.3747,17,9,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
11,366,0.591,366,1.2632,1286,-0.2412,17,9,2.7,"Response ~  (PhotonIndexSqr+log10NHSqr+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
12,9147,0.5016,9147,1.4203,9147,-0.3117,17,9,2.7,"Response ~  (log10T90Sqr+log10TaSqr+log10NHSqr+log10T90+log10Fa+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
13,550,0.6119,550,0.9569,584,-0.0041,17,9,2.7,"Response ~  (PhotonIndexSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
14,553,0.5958,2532,1.048,2532,-0.3843,17,9,2.7,"Response ~  (log10T90Sqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
15,5795,0.3802,5795,0.9585,5795,-0.0029,17,9,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10T90+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
16,2539,0.7714,2539,0.9591,4905,-0.0026,17,9,2.7,"Response ~  (log10FaSqr+log10TaSqr+log10PeakFluxSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
17,2369,0.5776,2369,1.0352,3254,-0.3023,16,8,2.7,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
18,691,0.4951,691,0.9799,4024,-0.0047,17,9,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
19,5563,0.5274,5563,1.0547,10873,-0.1,17,9,2.7,"Response ~  (log10T90Sqr+log10NHSqr+log10T90+log10Fa+log10Ta+PhotonIndex)^2+log10NH+log10PeakFlux+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
20,874,0.5774,874,1.1032,5404,-0.2152,17,9,2.7,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
21,1269,0.5261,1269,1.1491,211,-0.4212,17,9,2.7,"Response ~  (PhotonIndexSqr+log10NHSqr+log10T90+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
