"formula_idx","wins","formula"
145,19,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
497,7,"Response ~  (log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
670,6,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
67,4,"Response ~  (log10FaSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
291,4,"Response ~  (log10TaSqr+log10NHSqr+PhotonIndex)^2+log10PeakFlux+log10NH+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
597,4,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
769,4,"Response ~  (log10NHSqr+log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
18,3,"Response ~  (log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
64,3,"Response ~  (log10NHSqr+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
523,3,"Response ~  (log10FaSqr+log10NHSqr+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
641,3,"Response ~  (log10FaSqr+Alpha+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
654,3,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
669,3,"Response ~  (AlphaSqr+log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr"
1594,3,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10NH+log10PeakFlux)^2+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr+log10T90Sqr"
2050,3,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
4,2,"Response ~  log10Ta:log10Ta+log10PeakFlux+log10NH+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
8,2,"Response ~  log10PeakFluxSqr:log10PeakFluxSqr+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
55,2,"Response ~  (log10NHSqr+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
59,2,"Response ~  (AlphaSqr+log10Ta)^2+log10PeakFlux+log10NH+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
61,2,"Response ~  (Alpha+log10Fa)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
80,2,"Response ~  (PhotonIndexSqr+log10T90)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+log10NHSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
89,2,"Response ~  (AlphaSqr+log10PeakFluxSqr)^2+log10PeakFlux+log10NH+PhotonIndex+log10Ta+log10Fa+Alpha+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
185,2,"Response ~  (log10Fa+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
201,2,"Response ~  (log10TaSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+Alpha+log10T90+log10PeakFluxSqr+log10NHSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
