"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
1,953,0.5623,953,1.1159,1732,0.1977,5,3,0.5,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+Gamma+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+log10Fluence+log10NHSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
2,886,0.6165,886,1.1969,2486,-0.0605,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10Fluence+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
3,336,0.4413,249,1.1879,336,-0.1447,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
4,566,0.4503,566,1.0211,566,0.0966,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
5,1786,0.272,1786,1.1786,1786,0.1252,5,3,0.5,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr"
6,336,0.5476,859,0.9679,859,0.0062,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
7,336,0.3398,336,1.4241,336,0.1176,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
8,1102,0.6429,1102,1.0576,2030,-0.0612,5,3,0.5,"Response ~  (GammaSqr+log10T90Sqr+log10PeakFluxSqr+log10Fluence+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10NHSqr+PhotonIndexSqr+log10FluenceSqr"
9,281,0.4601,281,1.1222,455,-0.1763,5,3,0.5,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
10,249,0.5503,249,1.2422,657,-0.425,5,3,0.5,"Response ~  (log10PeakFluxSqr+log10NHSqr+Gamma)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
