"formula_idx","wins","formula"
566,16,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
336,14,"Response ~  (GammaSqr+log10PeakFluxSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
281,10,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
459,10,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr"
784,8,"Response ~  (log10FluenceSqr+GammaSqr+log10PeakFluxSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+PhotonIndexSqr+log10T90Sqr"
886,7,"Response ~  (GammaSqr+log10PeakFluxSqr+log10Fluence+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Gamma+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
126,4,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
372,4,"Response ~  (GammaSqr+log10PeakFluxSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+Gamma+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
422,4,"Response ~  (log10FluenceSqr+log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr"
455,4,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+log10T90Sqr+log10FluenceSqr"
739,4,"Response ~  (PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+Gamma)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10T90Sqr+GammaSqr+log10FluenceSqr"
761,4,"Response ~  (GammaSqr+log10PeakFluxSqr+log10NHSqr+log10Fluence)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
989,4,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10T90+Gamma+log10Fluence+log10NHSqr+log10T90Sqr+log10FluenceSqr"
1320,4,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Gamma+log10Fluence+log10T90Sqr+log10FluenceSqr"
1446,4,"Response ~  (GammaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10NHSqr+PhotonIndex)^2+log10NH+log10PeakFlux+log10T90+Gamma+log10Fluence+log10T90Sqr+log10FluenceSqr"
22,3,"Response ~  (GammaSqr+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
67,3,"Response ~  (GammaSqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+Gamma+log10Fluence+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+log10FluenceSqr"
108,3,"Response ~  (log10PeakFluxSqr+Gamma+log10NH)^2+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+log10NHSqr+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
249,3,"Response ~  (log10PeakFluxSqr+log10NHSqr+Gamma)^2+log10NH+log10PeakFlux+PhotonIndex+log10T90+log10Fluence+PhotonIndexSqr+log10T90Sqr+GammaSqr+log10FluenceSqr"
