"","log10T90","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"000926A",1.397940009,1.99215342891529,-5.73555346213348,1.68528474322361,21.1545856750033,0.49787317309306,14.87086076,0.0315728375171381,0.179660088857786,0.0584643654542467,0.2583333105737,2.04,0.482873583608754
"011211A",2.431363764,1.91703135792151,-5.54501519311092,1.73074257586597,20.9997109050585,0.0099540052549258,5.171156949,0.040345966847899,0.171421395586027,0.0900586582057859,0.00831779603269816,2.14,0.496929648073215
"020124A",1.661907293,2.02236215224452,-5.79045330113306,1.66001947418774,21.1181965423643,0.286068555062632,4.129211073,0.0323124845604323,0.162788614352911,0.0687137148382266,0.0390610669277185,3.198,0.623042434246382
"021004A",2,1.96438080403683,-5.46547580308238,1.67186887883644,21.0810752717726,0.355429318153098,14.87086076,0.036356115947561,0.193819704191375,0.062431543050404,0.064583327692196,2.34,0.523746466811564
"030226A",1.344195716,1.94602716780256,-5.88907181132459,1.69364237204975,21.0511868725117,0.320464469437468,29.55180898,0.0369501006956046,0.199398651948698,0.0723940497319666,0.580995362900572,1.99,0.47567118832443
"030329A",1.798650645,1.94924493372129,-5.15361554086595,1.63361744707194,21.2067839200846,0.780376798107853,17.43704666,0.0273643578404255,0.164558266578791,0.0358944155859398,0.120394485737547,0.17,0.0681858617461616
"050315A",1.980457892,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.02006162,0.019691613,0.09,0.04950507,0.0636907468763651,1.949,0.469674772551798
"050318A",1.505149978,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.96645741,0.030963588,0.1,0.027486993,0.148833498209321,1.44,0.387389826338729
"050319A",2.183383742,2.01045,-5.882728704,2.02,20.93735437,0.181843588,10.95539119,0.049065331,0.19,0.060001211,0.0311909396976911,3.24,0.627365856592733
"050401A",1.506369717,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.6253575,0.016167167,0.07,0.037341208,0.00846336277739286,2.9,0.591064607026499
"050416A",0.397940009,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.44407209,0.043784457,0.22,0.04271749,0.0771432232434421,0.6528,0.218220304175545
"050502A",1.301029996,1.96705146522392,-5.95905698874291,1.5837013438142,21.0181637594417,0.330571846807332,29.55180898,0.0347486663233463,0.18713159391256,0.0657749268162652,0.64170937801715,3.79,0.680335513414563
"050502B",1.243038049,1.97812318786123,-5.90726604152399,1.49398169361224,21.0347201497492,0.300152911468348,31.02460027,0.0295798799821603,0.14,0.0671099909495084,0.769932153759003,3.793,0.680607428991788
"050505A",1.770115295,2.01835,-5.603800653,1.41,22.23063027,0.267171728,6.838970679,0.031220366,0.12,0.07277367,0.0504266082569071,4.27,0.721810615212547
