"GRB","Redshift_crosscheck","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","is_optical"
"000926A",2.04,1.397940009,-10.8792661195892,4.19980078435077,1.76313604780331,0.925203457906517,1.99215342891529,-5.73555346213348,1.68528474322361,21.1545856750033,0.49787317309306,NA,0.792179837099609,0.611120307084276,0.284668965555007,0.19913803127911,0.0315728375171381,0.179660088857786,0.0584643654542467,1
"011211A",2.14,2.431363764,-11.1529559715848,4.24278583701089,1.69088856995137,0.872983806791216,1.91703135792151,-5.54501519311092,1.73074257586597,20.9997109050585,0.0099540052549258,NA,0.806282966221722,0.614755037255583,0.286316626099964,0.203766580484484,0.040345966847899,0.171421395586027,0.0900586582057859,1
"020124A",3.198,1.661907293,-10.8264958606406,3.96857517247054,1.68458775460362,0.953545627671712,2.02236215224452,-5.79045330113306,1.66001947418774,21.1181965423643,0.286068555062632,NA,0.79751717350202,0.606548929361635,0.281976201037069,0.208651788128638,0.0323124845604323,0.162788614352911,0.0687137148382266,1
"021004A",2.34,2,-10.8897727648793,4.30609630793056,1.37611805683753,0.892266462963456,1.96438080403683,-5.46547580308238,1.67186887883644,21.0810752717726,0.355429318153098,NA,0.783162841779521,0.614661918455998,0.274440996356004,0.200668929484627,0.036356115947561,0.193819704191375,0.062431543050404,1
"030226A",1.99,1.344195716,-10.9876452521376,4.13686610710775,1.75786653252766,0.884632029078898,1.94602716780256,-5.88907181132459,1.69364237204975,21.0511868725117,0.320464469437468,NA,0.802275496971677,0.612218233631067,0.291751546104305,0.20185296957271,0.0369501006956046,0.199398651948698,0.0723940497319666,1
"030329A",0.17,1.798650645,-10.3925037009879,4.34643196252873,1.44306231652272,0.870859009747759,1.94924493372129,-5.15361554086595,1.63361744707194,21.2067839200846,0.780376798107853,NA,0.791771276887651,0.627665431318139,0.276882645207824,0.204369920115094,0.0273643578404255,0.164558266578791,0.0358944155859398,1
"050315A",1.949,1.980457892,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.02006162,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,0
"050318A",1.44,1.505149978,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.96645741,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,0
"050319A",3.24,2.183383742,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,10.95539119,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,0
"050401A",2.9,1.506369717,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.6253575,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,0
"050416A",0.6528,0.397940009,-10.5559552,2.99481,0.842217,0.9,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.44407209,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,0
"050502A",3.79,1.301029996,-10.7556755275606,3.71368113429314,1.42039705936706,0.902063169278433,1.96705146522392,-5.95905698874291,1.5837013438142,21.0181637594417,0.330571846807332,NA,0.797162205572665,0.606709245811458,0.276988111557627,0.199821821617147,0.0347486663233463,0.18713159391256,0.0657749268162652,1
