"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_mad_idx","best_mad_val","n_candidates","minutes","best_r_formula"
1,3541,0.5208,817,0.167,817,0.107,17,2.8,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+PhotonIndex+log10PeakFlux+log10Ta)^2+log10NH+Alpha+log10T90+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2,883,0.578,883,0.1757,883,0.1359,16,2.8,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
3,353,0.524,353,0.1441,1354,0.0968,17,2.7,"Response ~  (PhotonIndexSqr+Alpha+log10Fa)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
4,2378,0.393,2363,0.1767,5171,0.1009,17,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
5,8490,0.5858,1339,0.1641,5133,0.1085,17,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10T90+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
6,889,0.5109,889,0.1647,4667,0.1059,17,2.7,"Response ~  (AlphaSqr+log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10T90Sqr"
7,879,0.4141,879,0.1589,879,0.1133,16,2.7,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
8,1025,0.3816,1025,0.1779,504,0.1276,17,2.7,"Response ~  (log10NHSqr+Alpha+log10Fa+PhotonIndex)^2+log10Ta+log10PeakFlux+log10NH+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
9,211,0.5148,211,0.1575,1583,0.0981,17,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
10,8739,0.6242,8739,0.1495,8739,0.1098,17,2.7,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr"
11,2385,0.5768,2385,0.1647,2378,0.1039,17,2.7,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
12,2828,0.5386,211,0.1652,1394,0.1072,17,2.7,"Response ~  (log10T90Sqr+AlphaSqr+Alpha+log10Fa+PhotonIndex)^2+log10Ta+log10PeakFlux+log10NH+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr"
13,817,0.5053,817,0.1645,817,0.1169,17,2.7,"Response ~  (log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
14,5130,0.4934,5130,0.1616,2016,0.1089,17,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
15,883,0.5981,883,0.1757,6445,0.1045,17,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
