"formula_idx","wins","formula"
211,21,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
883,17,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
497,13,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10Ta)^2+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
817,13,"Response ~  (log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
868,13,"Response ~  (log10FaSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2385,10,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
772,8,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1532,8,"Response ~  (log10FaSqr+log10Fa+log10NH+log10PeakFlux+log10Ta)^2+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2381,7,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
2363,6,"Response ~  (log10FaSqr+log10T90+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2378,6,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
983,5,"Response ~  (AlphaSqr+log10Fa+log10NH+PhotonIndex)^2+log10Ta+log10PeakFlux+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+log10T90Sqr"
2261,5,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr+log10T90Sqr"
890,4,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
2249,4,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
5130,4,"Response ~  (log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
5171,4,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
8490,4,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+log10T90+log10Fa+PhotonIndex+log10PeakFlux)^2+log10Ta+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+AlphaSqr"
8739,4,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10NH+log10PeakFlux)^2+log10Ta+PhotonIndex+Alpha+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr"
9007,4,"Response ~  (log10T90Sqr+log10FaSqr+log10NHSqr+PhotonIndexSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+AlphaSqr"
463,3,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+log10Fa+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+log10T90Sqr"
879,3,"Response ~  (log10FaSqr+log10PeakFluxSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1487,3,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux+log10Ta)^2+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1598,3,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux+log10Ta)^2+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2511,3,"Response ~  (log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
2549,3,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr"
2848,3,"Response ~  (log10T90Sqr+log10FaSqr+log10T90+log10Fa+PhotonIndex)^2+log10Ta+log10PeakFlux+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr"
5381,3,"Response ~  (log10FaSqr+log10NHSqr+PhotonIndexSqr+log10T90+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10TaSqr+log10PeakFluxSqr+AlphaSqr+log10T90Sqr"
126,2,"Response ~  (log10FaSqr+PhotonIndex+log10Ta)^2+log10PeakFlux+log10NH+log10Fa+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
223,2,"Response ~  (log10PeakFluxSqr+log10T90+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+log10Fa+Alpha+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
250,2,"Response ~  (log10Fa+log10NH+PhotonIndex)^2+log10Ta+log10PeakFlux+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
353,2,"Response ~  (PhotonIndexSqr+Alpha+log10Fa)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
377,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
391,2,"Response ~  (AlphaSqr+log10T90+Alpha)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+log10Fa+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+log10T90Sqr"
413,2,"Response ~  (log10T90Sqr+AlphaSqr+Alpha)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+log10Fa+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr"
874,2,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
889,2,"Response ~  (AlphaSqr+log10FaSqr+log10Fa+log10PeakFlux)^2+log10Ta+PhotonIndex+log10NH+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+log10T90Sqr"
1025,2,"Response ~  (log10NHSqr+Alpha+log10Fa+PhotonIndex)^2+log10Ta+log10PeakFlux+log10NH+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr+log10T90Sqr"
1354,2,"Response ~  (AlphaSqr+log10PeakFluxSqr+log10T90+Alpha)^2+log10Ta+log10PeakFlux+PhotonIndex+log10NH+log10Fa+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10FaSqr+log10T90Sqr"
1697,2,"Response ~  (log10FaSqr+log10Fa+log10NH+PhotonIndex+log10Ta)^2+log10PeakFlux+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+PhotonIndexSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
1883,2,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10NH+log10Ta)^2+log10PeakFlux+PhotonIndex+Alpha+log10T90+log10TaSqr+log10PeakFluxSqr+log10NHSqr+AlphaSqr+log10T90Sqr"
