"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10Fa_native","log10Ta_native","Alpha_native","Beta_native","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10FaErr_native","log10TaErr_native","AlphaErr_native","BetaErr_native","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"050315A",1.980457892,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,-13.2172,3.47558,0.607458,0.97,14.02006162,0.03245,0.04512,0.049165,0.001,1.45999998955856e-07,0.09,0.219999997880642,0.015728,0.08,0.53173,0.285,0.0636907468763651,0.019691613,0.0495050700000001,1.949,0.469674772551798
"050318A",1.505149978,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,-13.2172,2.77,2.09,1.5,10.96645741,0.06181969,0.043780336,0.085906519,0.037,7.69999997604264e-08,0.1,0.200000003628112,0.2287,0.050707,0.53173,0.285,0.148833498209321,0.030963588,0.027486993,1.44,0.387389826338729
"050319A",2.183383742,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,-12.9424,6.41,0.6555,0.68,10.95539119,0.04165,0.06193,0.034558,0.009,1.48000000781188e-07,0.19,0.209999998922194,0.24,0.14528,0.53173,0.11,0.0311909396976911,0.049065331,0.0600012109999999,3.24,0.627365856592733
"050401A",1.506369717,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,-11.1733,3.5801,1.779596,0.53,0.6253575,0.019455,0.02833,0.0260615,0.0174145,3.0600000326587e-07,0.07,0.920000005845378,0.06,0.020312,0.53173,0.11,0.00846336277739286,0.016167167,0.037341208,2.9,0.591064607026499
"050505A",1.770115295,-11.04817696,4.270583544,1.462094791,0.973,2.01835,-5.603800653,1.41,22.23063027,0.267171728,-11.1733,2.56,1.85,0.68,6.838970679,0.03272177,0.030067592,0.035926291,5e-04,1.78999997840592e-07,0.12,0.309999999965594,0.24,0.01,0.53173,0.09,0.0504266082569071,0.031220366,0.07277367,4.27,0.721810615212547
"050730A",2.194514342,-10.09854168,4.05018,2.38763,0.5615,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,-8.76,5.96,1.851865,1.1,18.03329907,0.0266,0.017795,0.0538,0.000210492,1.51999998300959e-07,0.11,0.139999999457397,0.24,0.384008,0.53173,0.09,0.0500432094216776,0.027736454,0.110547686,3.967,0.696094159995223
"050802A",1.477121255,-10.28650946,3.63973,1.44729,0.8585,1.8557,-5.698970004,1.54,21.25883595,0.439332694,-12.6,3.64,1.95,0.41,10.19803903,0.0275,0.0326,0.03274,0.002369606,1.5700000090709e-07,0.13,0.439999999510133,0.24,0.384008,0.53173,0.285,0.14763173580347,0.0340921169999999,0.069487117,1.7102,0.433001340945038
"050803A",1.943988875,-10.86012091,4.21721,1.52234,1.218,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,-11.3914,2.813159,1.779596,0.87,10.43812723,0.0489,0.04766,0.048695,0.22485626,1.35000002427971e-07,0.11,0.1099999991395,0.24,0.14528,0.53173,0.16,0.0515724807527089,0.0272696540000001,0.0497629089999998,3.5,0.653212513775344
"050824A",1.353723938,-12.23882419,5.08558,0.954481,0.86,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,-13.04,6.247263,1.43,0.57781,4.070927175,0.06855,0.12722,0.0899785,0.01,5.19999999498392e-08,0.38,0.150000000377876,0.2287,0.07,0.53173,0.34,0.0782985476819812,0.084899673,0.130288345,0.8278,0.261928672990642
"050826A",1.550228353,-12.33348202,4.76235,1.801,1.11,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,-11.1733,3.16101,1.034879,1,5.865069501,0.23405,0.13858,0.23538,0.03,7.19999998680733e-08,0.31,0.130000000097611,0.105554,0.033281,0.53173,0.04,0.0717511921291969,0.075712355,0.148574428,0.297,0.11293997608408
"060115A",2.144885418,-11.29499204,3.69688,0.889919,1,2.10553,-5.76700389,1,21.43355223,-0.060480747,-11.6955,5.96,1.487567,0.68,15.0870791,0.0812,0.123015,0.053884,0.085,1.49999999138117e-07,0.303030303,0.119999999786724,0.0492,0.033281,0.53173,0.04,0.0469357822743554,0.0380960069999999,0.0599026869999998,3.53,0.656098202012832
"060124A",1.134495856,-10.6893,4.47599,1.3641,0.99,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,-14.18,2.56,0.607458,1,1.306782322,0.04445,0.036665,0.01627,0.076380116,5.29999995682107e-08,0.19,0.180000000072141,0.06,0.14528,0.53173,0.08,0.0416381769095578,0.049929734,0.0878348390000001,2.296,0.517987203025078
"060206A",0.880241776,-10.63078414,3.93814,1.17565,1.265,2.20424,-6.080398976,1.2,22.33966406,0.445604203,-8.76,2.56,2.09,0.9,1.933560454,0.07055,0.07444,0.02867,0.013041887,4.20000007624568e-08,0.181818182,0.170000001266274,0.24,0.14528,0.53173,0.09,0.110636974360534,0.021949902,0.0264623880000001,4.048,0.703119346236078
"060210A",2.40654018,-10.66756154,4.15028,1.20511,0.979,2.08163,-5.11577123,1.53,22.3877421,0.434568904,-11.1733,5.12,1.33119,0.68,121.976523,0.0292,0.030365,0.02297,0.083622271,4.09000005783714e-07,0.09,0.280000000592948,0.015728,0.384008,0.53173,0.05,0.207740121229715,0.023188831,0.0447067850000001,3.91,0.691081492122968
"060306A",2.13255996245349,-10.70553377,3.61496,1.03794,0.76,2.28823,-5.671620397,1.8,21.61973178,0.775974331,-8.76,2.806841,2.09,1.8,3.518840719,0.03495,0.04452,0.02498,0.01,7.15000009499263e-08,0.060606061,0.671430648835466,0.06,0.384008,0.027284,0.09,0.0112622187283241,0.01457843,0.0488439909307915,1.559,0.408070285887185
"060418A",2.158362492,-9.792961075,3.11887,1.47655,0.98,1.94118,-5.079354999,1.7,21.65363309,0.814247596,-11.1691,6.41,1.19,0.94,45.254834,0.04904,0.057245,0.044705,0.005,2.53000006413989e-07,0.06,0.349999998866414,0.24,0.384008,0.53173,0.08,0.136485588124709,0.013190457,0.023313354,1.489,0.396024896608593
"060526A",2.47444938,-11.3053948,3.8752,1.05873,0.93,1.90677,-5.899629455,2.01,21.01785522,0.222716471,-12.9424,6.41,1.02823,0.32,23.04821868,0.06785,0.09216,0.0623145,0.0305,1.64999998679618e-07,0.24,0.180000001176275,0.24,0.050707,0.53173,0.16,0.0335716198838349,0.0568718959999999,0.046810184,3.221,0.625415352154408
