"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","log10T90Err","Redshift_crosscheck","log10z"
"000926A",1.397940009,-10.8615443013702,4.15427233574693,1.72533482464354,0.97675846456461,1.99215342891529,-5.73555346213348,1.68528474322361,21.1545856750033,0.49787317309306,1.794079127,0.900292283742838,0.550117735141401,0.275376136937381,0.17141455717469,0.0315728375171381,0.179660088857786,0.0584643654542467,0.0311663465746205,2.04,0.482873583608754
"011211A",2.431363764,-11.2395979197538,4.26485949967483,1.64534823442993,0.853438869165362,1.91703135792151,-5.54501519311092,1.73074257586597,20.9997109050585,0.0099540052549258,0.601065704,0.932742339781788,0.506703291736532,0.277356973191311,0.181972895749665,0.040345966847899,0.171421395586027,0.0900586582057859,0.000966813031866871,2.14,0.496929648073215
"020124A",1.661907293,-10.9131476386435,3.91410542926874,1.63426446338123,1.0428136777156,2.02236215224452,-5.79045330113306,1.66001947418774,21.1181965423643,0.286068555062632,2.36485691,0.90257001820039,0.511618682485211,0.272447665371625,0.207238772329055,0.0323124845604323,0.162788614352911,0.0687137148382266,0.0223708191232944,3.198,0.623042434246382
"021004A",2,-10.8684430994752,4.29516508390921,1.35865799629035,0.903350579336548,1.96438080403683,-5.46547580308238,1.67186887883644,21.0810752717726,0.355429318153098,3.688453378,0.883704924196736,0.545930424138197,0.280112623972014,0.176049051708436,0.036356115947561,0.193819704191375,0.062431543050404,0.0160187494882281,2.34,0.523746466811564
"030226A",1.344195716,-10.9834117398215,4.14897881818263,1.73674225636793,0.877629088470607,1.94602716780256,-5.88907181132459,1.69364237204975,21.0511868725117,0.320464469437468,0.150359555,0.874814677487936,0.510509272734197,0.285679143570633,0.179506718198396,0.0369501006956046,0.199398651948698,0.0723940497319666,0.0029561034413127,1.99,0.47567118832443
"030329A",1.798650645,-10.4321304634287,4.34249147238106,1.42397065582587,0.846257054672227,1.94924493372129,-5.15361554086595,1.63361744707194,21.2067839200846,0.780376798107853,0.297321378,0.902603802592917,0.514556015836478,0.267578295140017,0.179043391364791,0.0273643578404255,0.164558266578791,0.0358944155859398,0.00205286222495483,0.17,0.0681858617461616
"050315A",1.980457892,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.02006162,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,0.0636907468763651,1.949,0.469674772551798
"050318A",1.505149978,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.96645741,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,0.148833498209321,1.44,0.387389826338729
"050319A",2.183383742,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,10.95539119,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,0.0311909396976911,3.24,0.627365856592733
"050401A",1.506369717,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.6253575,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,0.00846336277739286,2.9,0.591064607026499
"050416A",0.397940009,-10.5559552,2.99481,0.842217,0.9,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.44407209,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,0.0771432232434421,0.6528,0.218220304175545
"050502A",1.301029996,-10.8012391472323,3.71611876638541,1.41543711565793,0.910598612765318,1.96705146522392,-5.95905698874291,1.5837013438142,21.0181637594417,0.330571846807332,4.875038864,0.914226608823992,0.527817164487351,0.265576074414152,0.177838093573449,0.0347486663233463,0.18713159391256,0.0657749268162652,0.10586012380305,3.79,0.680335513414563
"050502B",1.243038049,-10.7654532007988,3.59575021654063,1.38910843724399,0.943714597586291,1.97812318786123,-5.90726604152399,1.49398169361224,21.0347201497492,0.300152911468348,88.09086218,0.872573324994928,0.521487435474851,0.293343012866626,0.164022539174842,0.0295798799821603,0.14,0.0671099909495084,2.18613573275653,3.793,0.680607428991788
"050505A",1.770115295,-11.04817696,4.270583544,1.462094791,0.973,2.01835,-5.603800653,1.41,22.23063027,0.267171728,6.838970679,0.03272177,0.030067592,0.035926291,5e-04,0.031220366,0.12,0.07277367,0.0504266082569071,4.27,0.721810615212547
"050525A",0.944482672,-10.365041044102,3.52311970886638,1.23753194978319,0.890967133832897,2.08914,-4.815308569,1,21.2788016,1.620136055,23.01198296,0.892985542944693,0.488621967364605,0.27533487659653,0.185359147749356,0.006273143,0.1,0.009789852,1.13567922961765,0.61,0.20682587603185
"050603A",1.322219295,-10.3296348799451,3.99647726613891,1.59836714025114,0.954247297721741,1.90951127022931,-5.196542884,1.16,21.63005546,1.33243846,33.90346061,0.794827940138192,0.503712778593187,0.281347882359374,0.179985544523427,-0.0006217656979968,0.06,0.0038290748542292,0.701146945301247,2.82,0.582063362911709
"050730A",2.194514342,-10.09854168,4.05018,2.38763,0.5615,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,18.03329907,0.0266,0.017795,0.0538,0.000210492,0.027736454,0.11,0.110547686,0.0500432094216776,3.967,0.696094159995223
"050801A",1.28780173,-10.0881189043488,3.2750876496336,1.31174410250412,0.90963767149082,2.07525210781143,-6.508638306,1.99,20.80209017,0.164352856,3.688453378,0.901479710684825,0.52979895070717,0.26605485471443,0.193128427848574,0.0581234535102333,0.25,0.0712796339614364,0.0825708736373944,1.56,0.40823996531185
"050802A",1.477121255,-10.28650946,3.63973,1.44729,0.8585,1.8557,-5.698970004,1.54,21.25883595,0.439332694,10.19803903,0.0275,0.0326,0.03274,0.002369606,0.034092117,0.13,0.069487117,0.14763173580347,1.7102,0.433001340945038
"050803A",1.943988875,-10.86012091,4.21721,1.52234,1.218,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,10.43812723,0.0489,0.04766,0.048695,0.22485626,0.027269654,0.11,0.049762909,0.0515724807527089,3.5,0.653212513775344
"050820A",1.414973348,-10.01818139,3.750945731,1.136499703,0.9,1.96878,-5.463441557,1.25,21.61964524,0.389166084,22.67611617,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,0.378773543191014,2.6147,0.558072259099146
"050824A",1.353723938,-12.23882419,5.08558,0.954481,0.86,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,4.070927175,0.06855,0.12722,0.0899785,0.01,0.084899673,0.38,0.130288345,0.0782985476819812,0.8278,0.261928672990642
"050826A",1.550228353,-12.33348202,4.76235,1.801,1.11,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,5.865069501,0.23405,0.13858,0.23538,0.03,0.075712355,0.31,0.148574428,0.0717511921291969,0.297,0.11293997608408
"050904A",2.259044094,-11.4997477508003,4.3249404214519,1.81956893679898,0.991200955835338,1.90813,-5.316052869,1.25,22.39388568,-0.207608311,11.73673073,0.923771726391381,0.544005995733535,0.277912179796891,0.171430708929668,0.016184888,0.07,0.119080745,0.0280729051420275,6.295,0.86302529622947
"050908A",1.239799818,-10.8138150011819,3.60656050757384,1.11207649813636,1.12756931093764,2.74883,-6.316052869,1.88,21.85427081,-0.15490196,3.817215769,0.879495308597669,0.471688924860416,0.257710537421672,0.205028057998301,0.045857181,0.17,0.086858896,0.0954401696267962,3.34,0.637489729512511
"050922C",0.653212514,-9.477555766,2.52429,1.22035,1.064,2.2119,-5.790484985,1.37,21.44930866,0.860936621,0.450457546,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,0.0434736058796182,2.198,0.504878459410216
"051016B",0.602059991,-11.59006688,4.25742,1.14771,0.73,1.89482,-6.769551079,2.4,21.71466751,0.113943352,0.469570015,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,0.0509829166339321,0.9364,0.286995073968852
"051028A",1.204119983,-10.9952399525978,3.87107851976171,1.24451195805427,0.991434630767032,2.02921982175251,-6.17568341398607,1.6783282458665,20.9024195385481,0.179466033655192,0.621173086,0.870075871523408,0.51056643115906,0.267267276224572,0.187380640211112,0.0451414448022833,0.236991174642203,0.0749534429882672,0.0168607527089302,3.6,0.662757831681574
"051109A",1.57054294,-10.51999306,3.91123,1.22299,1.06,2.06584,-5.657577319,1.51,21.97057233,0.595496222,7.089588968,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,0.0827679937346041,2.346,0.524525936626376
"051109B",1.155336037,-11.57511836,3.65548,1.251,1.06,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,3.778168861,0.0922,0.126645,0.12217,0.01,0.069554976,0.24,0.102651423,0.114743908376789,0.08,0.0334237554869497
