"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
1,6815,0.4933,6815,1.1601,6049,-0.0997,16,8,2.5,"Response ~  (log10TaSqr+log10NHSqr+log10T90+log10Fa+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
2,1601,0.6628,1601,1.1106,1601,-0.1538,17,9,2.7,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
3,1267,0.5102,1267,1.137,497,-0.1898,17,9,2.7,"Response ~  (AlphaSqr+Alpha+log10T90+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
4,1027,0.4776,1027,0.9908,1027,0.0132,17,9,2.7,"Response ~  (log10T90Sqr+log10T90+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
5,1850,0.3991,1850,1.0818,12782,0.1149,17,9,2.7,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr"
6,2858,0.5209,2858,1.0002,3552,-0.0443,17,9,2.7,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10T90+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
7,2074,0.4966,1589,1.0665,5276,-0.0022,17,9,2.8,"Response ~  (AlphaSqr+PhotonIndexSqr+Alpha+log10T90+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
8,3777,0.7437,3777,0.9647,3777,-0.2985,17,9,2.7,"Response ~  (log10FaSqr+PhotonIndexSqr+log10T90+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
9,3285,0.337,875,1.2395,1527,-0.0018,17,9,2.8,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+Alpha+log10Fa)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10T90+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
10,497,0.6886,497,1.0888,1408,-0.4149,17,9,2.7,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
