"formula_idx","wins","formula"
211,14,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
497,14,"Response ~  (log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
817,7,"Response ~  (log10FaSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
2858,6,"Response ~  (AlphaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10T90+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
195,4,"Response ~  (log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
1415,4,"Response ~  (AlphaSqr+log10T90Sqr+log10NHSqr+Alpha)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr"
1487,4,"Response ~  (log10FaSqr+log10Fa+PhotonIndex+log10PeakFlux+log10NH)^2+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
1531,4,"Response ~  (log10TaSqr+log10Fa+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
1589,4,"Response ~  (log10FaSqr+log10NHSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
1598,4,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
2481,4,"Response ~  (log10FaSqr+log10NHSqr+log10T90+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
665,3,"Response ~  (AlphaSqr+PhotonIndexSqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
886,3,"Response ~  (log10FaSqr+log10TaSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10T90Sqr+AlphaSqr"
1350,3,"Response ~  (AlphaSqr+log10NHSqr+Alpha+log10T90)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
1604,3,"Response ~  (log10T90Sqr+log10FaSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
2378,3,"Response ~  (log10FaSqr+PhotonIndexSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+log10T90Sqr+AlphaSqr"
3832,3,"Response ~  (log10FaSqr+log10TaSqr+PhotonIndexSqr+log10Fa+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+log10T90Sqr+AlphaSqr"
11,2,"Response ~  log10TaSqr:log10TaSqr+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
89,2,"Response ~  (log10T90Sqr+log10NHSqr)^2+log10NH+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+log10T90+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
138,2,"Response ~  (AlphaSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr"
146,2,"Response ~  (log10T90Sqr+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
278,2,"Response ~  (log10PeakFluxSqr+Alpha+PhotonIndex)^2+log10NH+log10PeakFlux+log10Ta+log10Fa+log10T90+log10NHSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+log10T90Sqr+AlphaSqr"
588,2,"Response ~  (log10T90Sqr+log10FaSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10T90+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
