"GRB","is_optical","reasons","Alpha","Beta","log10T90","PhotonIndex","log10Fa","log10Ta"
"040924A",1,"err>val:Beta",1.3,0.63,0.378397901,1.91028297212855,-12.2,3.5
"041006A",1,"err>val:Beta",1.24,0.36,1.240549248,1.83159227380319,-12.45,4.08
"050319A",0,"err>val:Beta",0.76,0.74,2.183383742,2.02,-12.83,4.44
"050408A",1,"err>val:Beta",0.83,0.28,1.531478917,1.92628594733718,-13.25,4.36
"060605A",0,"err>val:Beta",1.021558,0.94,2.059904056,1.55,-11.3667,3.218963
"070318A",1,"err>val:Beta",0.999465,0.85,1.872738827,1.42,-11.1627,3.01049
"070419A",1,"err>val:Beta",1.4,0.6,2.062957834,2.35,-12.67,3.27
"071031A",1,"err>val:Beta",0.783822,0.34,2.257414559,2.42,-12.3316,3.545649
"080413A",1,"err>val:Beta",0.95,0.52,1.662757832,1.57,-10.34,1.89
"080605A",1,"err>val:Beta",0.680096,0.57477,1.301029996,1.11,-12.5404,3.52993
"081008A",0,"err>val:Beta",1.29,0.38,2.268297087,1.69,-11.22,3.51
"090529A",0,"err>val:Beta",0.52,0.12,1.837651558,2,-13.09,3.97
"090530A",0,"Alpha>3",3.280375,0.9,1.681241237,1.61,-11.6906,5.143885
"131117A",0,"PhotonIndex<0",0.940580929942425,0.814827537962756,1.041392685,-0.4,-12.3146077422848,3.70047882317375
"150413A",1,"err>val:Beta",2.371952,1.3,2.420945406,1.75,-12.0394,4.502865
"990510A",1,"err>val:Beta",1.58,0.17,1.829818187,1.61379924781311,-12.3,4.83
