"split","best_r_idx","best_r_val","best_rmse_idx","best_rmse_val","best_bias_idx","best_bias_val","n_candidates","n_survivors","minutes","best_r_formula"
1,4296,0.3171,4296,1.4345,4296,-0.3408,14,7,2.5,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+PhotonIndexSqr+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr"
2,115,0.371,115,1.3498,115,-0.2711,17,9,2.5,"Response ~  (BetaSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
3,6595,0.3242,6595,1.1857,8523,-1e-04,17,9,2.5,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10Ta+PhotonIndex+log10PeakFlux+log10NH)^2+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
4,5475,0.4174,5475,1.3694,3967,-0.1797,17,9,2.5,"Response ~  (AlphaSqr+BetaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Beta+Alpha+log10PeakFluxSqr+log10TaSqr+log10FaSqr"
5,3759,0.6703,3759,1.2796,2470,-0.5735,17,9,2.6,"Response ~  (log10PeakFluxSqr+Alpha+log10Fa+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10NHSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr+AlphaSqr"
6,4120,0.5601,4120,1.0707,4120,-0.0379,15,8,2.6,"Response ~  (log10FaSqr+log10NHSqr+Alpha+Beta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
7,11466,0.6944,11466,1.3251,11044,-0.005,17,9,2.6,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+log10FaSqr"
8,9628,0.5883,9628,1.0513,12757,-0.187,14,7,2.5,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+log10NHSqr+log10Fa+Beta+log10Ta)^2+log10NH+log10PeakFlux+PhotonIndex+Alpha+log10PeakFluxSqr+log10TaSqr+BetaSqr"
9,2502,0.3895,2502,1.3623,670,-0.2977,17,9,2.6,"Response ~  (BetaSqr+log10NHSqr+Alpha+Beta+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
10,10102,0.3355,10102,1.3398,3760,-0.3503,17,9,2.6,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10NHSqr+log10Ta+PhotonIndex+log10PeakFlux+log10NH)^2+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
11,2076,0.618,2076,0.97,4328,0.0084,17,9,2.6,"Response ~  (log10FaSqr+log10TaSqr+Alpha+log10Fa+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+Beta+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr+AlphaSqr"
12,3837,0.4147,3837,1.2498,4151,-0.3141,17,9,4.6,"Response ~  (AlphaSqr+log10FaSqr+PhotonIndexSqr+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+log10TaSqr+BetaSqr"
13,3910,0.5903,3910,0.9847,9294,0.0247,15,8,5.5,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
14,7977,0.4459,7977,1.2564,5995,-0.0539,17,9,6.2,"Response ~  (AlphaSqr+BetaSqr+log10TaSqr+PhotonIndexSqr+log10PeakFluxSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+Alpha+log10NHSqr+log10FaSqr"
15,4617,0.5217,4617,1.1237,9717,-0.2175,14,7,6.2,"Response ~  (AlphaSqr+log10FaSqr+log10TaSqr+log10NHSqr+Beta+log10NH)^2+log10PeakFlux+PhotonIndex+log10Ta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+BetaSqr"
16,10060,0.5496,10060,1.0706,10060,-0.2383,14,7,6.1,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10Ta+PhotonIndex+log10PeakFlux+log10NH)^2+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
17,3735,0.5716,3735,0.9769,5438,-0.1461,17,9,6.1,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
