,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
000926A,2.04,1.397940009,-12.89,5.12,2.14,1.01,1.99215342891529,-5.73555346213348,1.68528474322361,21.1545856750033,0.49787317309306,,0.03,0.02,0.04,0.16,0.0315728375171381,0.179660088857786,0.0584643654542467,1
011211A,2.14,2.431363764,-13.52,5.23,1.98,0.41,1.91703135792151,-5.54501519311092,1.73074257586597,20.9997109050585,0.0099540052549258,,0.06,0.04,0.11,0.15,0.040345966847899,0.171421395586027,0.0900586582057859,1
020124A,3.198,1.661907293,-12.7747,4.454184,1.961572,1.32,2.02236215224452,-5.79045330113306,1.66001947418774,21.1181965423643,0.286068555062632,,0.05493,0.065307,0.072088,0.25,0.0323124845604323,0.162788614352911,0.0687137148382266,1
021004A,2.34,2.0,-12.92,5.4,1.33,0.67,1.96438080403683,-5.46547580308238,1.67186887883644,21.0810752717726,0.355429318153098,,0.02,0.02,0.03,0.14,0.036356115947561,0.193819704191375,0.062431543050404,1
030226A,1.99,1.344195716,-13.1407,4.965035,2.121816,0.57,1.94602716780256,-5.88907181132459,1.69364237204975,21.0511868725117,0.320464469437468,,0.064136,0.032442,0.132162,0.12,0.0369501006956046,0.199398651948698,0.0723940497319666,1
030329A,0.17,1.798650645,-11.76,5.5,1.46,0.41,1.94924493372129,-5.15361554086595,1.63361744707194,21.2067839200846,0.780376798107853,,0.09,0.05,0.03,0.17,0.0273643578404255,0.164558266578791,0.0358944155859398,1
050315A,1.949,1.980457892,-12.4358641833968,4.62811363520312,1.04434177453688,0.810885446614251,1.99544,-5.492144128,2.11,21.91683806,0.285557309,14.02006162,0.791538734163206,0.57654657831525,0.340469127823524,0.213424535334977,0.019691613,0.09,0.04950507,0
050318A,1.44,1.505149978,-12.419372600292,4.2983586277082,1.47901644333471,0.833968453887253,1.98053,-5.966576245,1.9,20.92661714,0.499687083,10.96645741,0.750037196575462,0.590543387684169,0.351787262548194,0.213362831257301,0.030963588,0.1,0.027486993,0
050401A,2.8992,1.506369717,-13.6002,4.1414,0.87515,0.39,1.78711,-5.085128182,1.4,22.12570242,1.029383778,0.6253575,0.12095,0.161195,0.047862,0.05,0.016167167,0.07,0.037341208,0
050416A,0.65,0.397940009,-13.54,4.15,0.94,0.92,2.06183,-6.435333936,3.08,21.75162856,0.688419822,0.44407209,0.05,0.06,0.08,0.3,0.043784457,0.22,0.04271749,0
050502A,3.79,1.301029996,-12.6,3.72,1.43,0.76,1.96705146522392,-5.95905698874291,1.5837013438142,21.0181637594417,0.330571846807332,,0.04,0.03,0.02,0.16,0.0347486663233463,0.18713159391256,0.0657749268162652,1
050502B,3.793,1.243038049,-12.4453,3.576116,1.358692,0.9,1.97812318786123,-5.90726604152399,1.49398169361224,21.0347201497492,0.300152911468348,,0.122846,0.139983,0.198462,0.06,0.0295798799821603,0.14,0.0671099909495084,1
050505A,4.27,1.770115295,-12.3200010341223,4.32516649242086,1.24196899523839,0.816421813410317,2.01835,-5.603800653,1.41,22.23063027,0.267171728,6.838970679,0.767396557222176,0.549397954526816,0.329132508095782,0.222906767823737,0.031220366,0.12,0.07277367,0
050525A,0.61,0.944482672,-11.6972,3.22416,1.03423,0.52,2.08914,-4.815308569,1.0,21.2788016,1.620136055,,0.0658,0.10234,0.034343,0.08,0.006273143,0.1,0.009789852,1
050730A,3.97,2.194514342,-12.3658,4.344142,1.574343,0.52,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,18.03329907,0.044456,0.054968,0.069551,0.05,0.027736454,0.11,0.110547686,0
050801A,1.56,1.28780173,-10.98,2.64,1.19,0.69,2.07525210781143,-6.508638306,1.99,20.80209017,0.164352856,,0.02,0.02,0.01,0.34,0.0581234535102333,0.25,0.0712796339614364,1
050802A,1.71,1.477121255,-11.61,2.91,0.91,0.72,1.8557,-5.698970004,1.54,21.25883595,0.439332694,10.19803903,0.08,0.09,0.01,0.03,0.034092117,0.13,0.069487117,0
050803A,3.5,1.943988875,-12.3173477654151,4.34336349215614,1.29176828169763,0.890756203956415,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,10.43812723,0.759036628500768,0.562245301799814,0.347737702187019,0.226001573854393,0.027269654,0.11,0.049762909,0
050820A,2.61,1.414973348,-11.97,4.46,1.02,0.72,1.96878,-5.463441557,1.25,21.61964524,0.389166084,22.67611617,0.01,0.02,0.01,0.03,0.030552112,0.12,0.040770502,0
050824A,0.83,1.353723938,-12.5,3.65,0.65,0.45,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,4.070927175,0.03,0.06,0.01,0.18,0.084899673,0.38,0.130288345,0
050904A,6.295,2.259044094,-14.18,5.539472,2.332396,1.0,1.90813,-5.316052869,1.25,22.39388568,-0.207608311,,0.12808,0.069062,0.187665,0.09,0.016184888,0.07,0.119080745,1
050908A,3.34,1.239799818,-12.61,3.26,0.82,1.8,2.74883,-6.316052869,1.88,14.58600523,-0.15490196,,0.08,0.13,0.08,0.09,0.045857181,0.17,0.086858896,1
050922C,2.2,0.653212514,-11.65,3.77,1.25,0.56,2.2119,-5.790484985,1.37,21.44930866,0.860936621,0.450457546,0.01,0.01,0.01,0.01,0.014476483,0.06,0.019142457,0
051016B,0.9364,0.602059991,-12.5656220306218,4.31791531705185,1.04358723091147,0.795866789323727,1.89482,-6.769551079,2.4,21.71466751,0.113943352,0.469570015,0.794635541205342,0.564080332133073,0.341646081222064,0.209536103078179,0.056202815,0.23,0.053451629,0
051028A,3.6,1.204119983,-13.0714,4.04085,1.02823,1.1,2.02921982175251,-6.17568341398607,1.6783282458665,20.9024195385481,0.179466033655192,,0.2287,0.246865,0.1334,0.18,0.0451414448022833,0.236991174642203,0.0749534429882672,1
051109A,2.35,1.57054294,-12.14,3.74,0.81,0.96,2.06584,-5.657577319,1.51,21.97057233,0.595496222,7.089588968,0.03,0.04,0.02,0.04,0.05369459,0.2,0.076056648,0
