"formula_idx","wins","formula"
1975,5,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
3735,5,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+log10Ta+log10PeakFlux+log10NH)^2+PhotonIndex+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
1584,4,"Response ~  (log10FaSqr+Alpha+Beta+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+log10Fa+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+AlphaSqr"
5204,4,"Response ~  (BetaSqr+log10TaSqr+log10NHSqr+log10Fa+log10Ta+log10PeakFlux)^2+log10NH+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
1690,3,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+Alpha+log10NHSqr+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
1902,3,"Response ~  (BetaSqr+log10NHSqr+log10Fa+log10Ta+log10NH)^2+log10PeakFlux+PhotonIndex+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+log10FaSqr+AlphaSqr"
2585,3,"Response ~  (BetaSqr+log10TaSqr+log10NHSqr+log10Fa+log10PeakFlux)^2+log10NH+PhotonIndex+log10Ta+Beta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10FaSqr+AlphaSqr"
3910,3,"Response ~  (log10FaSqr+BetaSqr+log10NHSqr+Alpha+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+AlphaSqr"
3952,3,"Response ~  (AlphaSqr+log10FaSqr+BetaSqr+log10NHSqr+log10PeakFlux+log10NH)^2+PhotonIndex+log10Ta+Beta+log10Fa+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr"
4100,3,"Response ~  (AlphaSqr+log10NHSqr+log10Fa+Beta+PhotonIndex+log10NH)^2+log10PeakFlux+log10Ta+Alpha+log10PeakFluxSqr+PhotonIndexSqr+log10TaSqr+BetaSqr+log10FaSqr"
