GRB,Redshift_crosscheck,log10T90,log10Fa,log10Ta,Alpha,Beta,Gamma,log10Fluence,PhotonIndex,log10NH,log10PeakFlux,T90Err,log10FaErr,log10TaErr,AlphaErr,BetaErr,log10FluenceErr,PhotonIndexErr,log10PeakFluxErr,is_optical
000926A,2.04,1.397940009,-12.89,5.12,2.14,1.01,1.9921534289152856,-5.735553462133477,1.6852847432236138,21.154585675003315,0.4978731730930601,,0.03,0.02,0.04,0.16,0.0315728375171381,0.1796600888577856,0.0584643654542467,1
011211A,2.14,2.431363764,-13.52,5.23,1.98,0.41,1.9170313579215073,-5.545015193110915,1.730742575865966,20.999710905058464,0.0099540052549258,,0.06,0.04,0.11,0.15,0.040345966847899,0.1714213955860267,0.0900586582057859,1
020124A,3.198,1.661907293,-12.7747,4.454184,1.961572,1.32,2.0223621522445168,-5.790453301133065,1.6600194741877357,21.118196542364263,0.2860685550626316,,0.05493,0.065307,0.072088,0.25,0.0323124845604323,0.1627886143529108,0.0687137148382266,1
021004A,2.34,2.0,-12.92,5.4,1.33,0.67,1.964380804036829,-5.4654758030823825,1.671868878836442,21.08107527177258,0.3554293181530976,,0.02,0.02,0.03,0.14,0.036356115947561,0.1938197041913752,0.062431543050404,1
030226A,1.99,1.344195716,-13.1407,4.965035,2.121816,0.57,1.9460271678025596,-5.889071811324594,1.6936423720497529,21.05118687251175,0.3204644694374678,,0.064136,0.032442,0.132162,0.12,0.0369501006956046,0.1993986519486976,0.0723940497319666,1
030329A,0.17,1.798650645,-11.76,5.5,1.46,0.41,1.9492449337212887,-5.1536155408659505,1.633617447071938,21.20678392008461,0.7803767981078531,,0.09,0.05,0.03,0.17,0.0273643578404255,0.1645582665787907,0.0358944155859398,1
040924A,0.86,0.378397901,-12.2,3.5,1.3,0.63,2.0163743128455134,-6.342455717185209,1.9102829721285488,20.870879862299898,0.6338588617081715,,0.04,0.04,0.02,0.48,0.045383068838583,0.2410392078027989,0.0538869202071245,1
041006A,0.72,1.240549248,-12.45,4.08,1.24,0.36,1.9667196956617856,-5.868707585670798,1.8315922738031924,20.908138889373173,0.5259018527890582,,0.03,0.03,0.01,0.27,0.0429893296335705,0.2098531427728206,0.0588540164700386,1
050315A,1.949,1.980457892,-12.435864183396797,4.628113635203122,1.0443417745368808,0.8108854466142507,1.99544,-5.492144128,2.11,21.91683806,0.285557309,,0.7915387341632059,0.5765465783152504,0.34046912782352384,0.21342453533497746,0.019691613,0.09,0.04950507,0
050318A,1.44,1.505149978,-12.419372600291972,4.298358627708195,1.4790164433347126,0.8339684538872527,1.98053,-5.966576245,1.9,20.92661714,0.499687083,,0.7500371965754624,0.590543387684169,0.35178726254819437,0.21336283125730132,0.030963588,0.1,0.027486993,0
050319A,3.24,2.183383742,-12.83,4.44,0.76,0.74,2.01045,-5.882728704,2.02,20.93735437,0.181843588,,0.02,0.03,0.03,0.42,0.049065331,0.19,0.060001211,0
050401A,2.8992,1.506369717,-13.6002,4.1414,0.87515,0.39,1.78711,-5.085128182,1.4,22.12570242,1.029383778,,0.12095,0.161195,0.047862,0.05,0.016167167,0.07,0.037341208,0
050408A,1.24,1.531478917,-13.25,4.36,0.83,0.28,1.9671673321089769,-5.985291674588619,1.926285947337184,20.75818616770858,0.2216353414959355,,0.03,0.05,0.05,0.27,0.0541910039244246,0.2493739892069496,0.0780516112002839,1
050416A,0.65,0.397940009,-13.54,4.15,0.94,0.92,2.06183,-6.435333936,3.08,21.75162856,0.688419822,,0.05,0.06,0.08,0.3,0.043784457,0.22,0.04271749,0
050502A,3.79,1.301029996,-12.6,3.72,1.43,0.76,1.967051465223916,-5.959056988742906,1.5837013438142045,21.018163759441723,0.3305718468073317,,0.04,0.03,0.02,0.16,0.0347486663233463,0.1871315939125596,0.0657749268162652,1
050502B,3.793,1.243038049,-12.4453,3.576116,1.358692,0.9,1.9781231878612309,-5.907266041523986,1.4939816936122414,21.034720149749216,0.3001529114683485,,0.122846,0.139983,0.198462,0.06,0.0295798799821603,0.14,0.0671099909495084,1
050505A,4.27,1.770115295,-12.320001034122313,4.325166492420857,1.2419689952383945,0.8164218134103168,2.01835,-5.603800653,1.41,22.23063027,0.267171728,,0.7673965572221757,0.5493979545268155,0.3291325080957817,0.22290676782373658,0.031220366,0.12,0.07277367,0
050525A,0.61,0.944482672,-11.6972,3.22416,1.03423,0.52,2.08914,-4.815308569,1.0,21.2788016,1.620136055,,0.0658,0.10234,0.034343,0.08,0.006273143,0.1,0.009789852,1
050603A,2.82,1.322219295,-11.88,4.45,1.85,0.95,1.9095112702293149,-5.196542884,1.16,21.63005546,1.33243846,,0.13,0.08,0.09,0.08,-0.0006217656979968,0.06,0.0038290748542292,1
050730A,3.97,2.194514342,-12.3658,4.344142,1.574343,0.52,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,,0.044456,0.054968,0.069551,0.05,0.027736454,0.11,0.110547686,0
050801A,1.56,1.28780173,-10.98,2.64,1.19,0.69,2.0752521078114348,-6.508638306,1.99,20.80209017,0.164352856,,0.02,0.02,0.01,0.34,0.0581234535102333,0.25,0.0712796339614364,1
050802A,1.71,1.477121255,-11.61,2.91,0.91,0.72,1.8557,-5.698970004,1.54,21.25883595,0.439332694,,0.08,0.09,0.01,0.03,0.034092117,0.13,0.069487117,0
050803A,3.5,1.943988875,-12.31734776541508,4.3433634921561435,1.2917682816976304,0.8907562039564147,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,,0.7590366285007679,0.5622453017998137,0.3477377021870189,0.22600157385439346,0.027269654,0.11,0.049762909,0
050820A,2.61,1.414973348,-11.97,4.46,1.02,0.72,1.96878,-5.463441557,1.25,21.61964524,0.389166084,,0.01,0.02,0.01,0.03,0.030552112,0.12,0.040770502,0
050824A,0.83,1.353723938,-12.5,3.65,0.65,0.45,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,,0.03,0.06,0.01,0.18,0.084899673,0.38,0.130288345,0
050826A,0.297,1.550228353,-12.81889905404562,4.5926681689611515,1.4542513885440926,0.8482675917014486,2.45742,-6.384049948,1.16,21.96085591,-0.420216403,,0.8046581483578858,0.5839155683451929,0.3687830639530508,0.21704200385206268,0.075712355,0.31,0.148574428,0
050904A,6.295,2.259044094,-14.18,5.539472,2.332396,1.0,1.90813,-5.316052869,1.25,22.39388568,-0.207608311,,0.12808,0.069062,0.187665,0.09,0.016184888,0.07,0.119080745,1
050908A,3.34,1.239799818,-12.61,3.26,0.82,1.8,2.74883,-6.316052869,1.88,14.58600523,-0.15490196,,0.08,0.13,0.08,0.09,0.045857181,0.17,0.086858896,1
050922C,2.2,0.653212514,-11.65,3.77,1.25,0.56,2.2119,-5.790484985,1.37,21.44930866,0.860936621,,0.01,0.01,0.01,0.01,0.014476483,0.06,0.019142457,0
051016B,0.9364,0.602059991,-12.565622030621771,4.317915317051849,1.043587230911465,0.7958667893237272,1.89482,-6.769551079,2.4,21.71466751,0.113943352,,0.7946355412053423,0.5640803321330725,0.3416460812220639,0.20953610307817894,0.056202815,0.23,0.053451629,0
051028A,3.6,1.204119983,-13.0714,4.04085,1.02823,1.1,2.029219821752511,-6.175683413986066,1.6783282458665043,20.902419538548095,0.1794660336551921,,0.2287,0.246865,0.1334,0.18,0.0451414448022833,0.2369911746422034,0.0749534429882672,1
051109A,2.35,1.57054294,-12.14,3.74,0.81,0.96,2.06584,-5.657577319,1.51,21.97057233,0.595496222,,0.03,0.04,0.02,0.04,0.05369459,0.2,0.076056648,0
051109B,0.08,1.155336037,-12.541278629265094,4.040302530537051,1.107979634370988,0.8578228367274201,2.12549,-6.591760035,1.97,21.36742302,-0.259637311,,0.8062150750752597,0.5755251120167042,0.34865579761814847,0.2228630750406439,0.069554976,0.24,0.102651423,0
051111A,1.55,1.776555911,-10.91,2.77,1.0,0.76,2.23019,-5.389339837,1.32,21.79196559,0.424881637,,0.03,0.04,0.04,0.07,0.014263593,0.06,0.034286406,1
051221A,0.5465,0.146128036,-12.57361441121863,4.255360029946198,1.0262163339209818,0.8319624383279429,2.0589,-5.93930216,1.39,21.27394758,1.079181246,,0.8473416991215181,0.6085611339608912,0.3452697481538902,0.2221033024242247,0.013217658,0.06,0.014114571,0
060115A,3.53,2.144885418,-12.407116510077142,4.090409046906091,0.9130036415929761,0.8294086610459714,2.10553,-5.76700389,1.0,21.43355223,-0.060480747,,0.7906459053270405,0.5596420898401693,0.3417626379843661,0.22369065035889474,0.038096007,0.303030303,0.059902687,0
060124A,2.3,1.134495856,-11.66,3.63,0.88,0.73,2.00895,-6.336299075,1.84,21.9172644,-0.050609993,,0.03,0.04,0.0,0.08,0.049929734,0.19,0.087834839,0
060206A,4.05,0.880241776,-12.0107,4.293881,1.255402,0.77,2.20424,-6.080398976,1.2,22.33966406,0.445604203,,0.004353,0.004134,0.00376,0.01,0.021949902,0.181818182,0.026462388,0
060210A,3.91,2.40654018,-12.4544,3.243171,1.327381,0.99,2.08163,-5.11577123,1.53,22.3877421,0.434568904,,0.039346,0.035759,0.053451,0.03,0.023188831,0.09,0.044706785,0
060223A,4.41,1.053078443,-12.31598605064136,3.645842933641055,1.09587599814179,0.803074127362611,2.01015,-6.171984936,1.74,22.49782636,0.130333768,,0.7631090963266915,0.6205082767834096,0.3631386822351645,0.21302661789444993,0.030974941,0.12,0.057905931,0
060306A,1.559,2.1325599624534943,-12.264069179178119,4.008020950397767,0.9927952530302812,0.7985090249987202,2.28823,-5.671620397,1.8,21.61973178,0.775974331,,0.7938111526584093,0.5627410807000093,0.3366706457987642,0.20999365668232134,0.01457843,0.060606061,0.0488439909307915,0
060418A,1.49,2.158362492,-10.4315,2.578446,1.179912,0.69,1.94118,-5.079354999,1.7,21.65363309,0.814247596,,0.021082,0.02144,0.0063,0.11,0.013190457,0.06,0.023313354,0
060502A,1.5026,1.45331834,-12.163421333533524,3.875490527578238,0.9200238859558991,0.8140016977470255,2.02719,-5.63638802,1.46,21.45692297,0.227886705,,0.796941708103942,0.5642376835202079,0.3496911431458675,0.21866192881394148,0.019176639,0.08,0.053965586,0
060510B,4.9,2.43964843,-12.797353485204892,4.422596793391799,0.9844125877872998,0.9156245413262771,2.1317,-5.390405591,1.78,22.00215742,-0.244125144,,0.8171750679437713,0.6030115942760659,0.37132295983877706,0.21881784596128573,0.018780302,0.08,0.083811216,0
