"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","Gamma","log10Fa","log10T90","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","GammaSqr","log10FaSqr","log10T90Sqr","Alpha","Beta","log10Fluence","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"GRB050315",0.285557309,21.91683806,2.11,4.86356,1.99544,-11.3757179,1.9804578922761,0.0815429767233215,480.347790548265,4.4521,23.6542158736,3.9817807936,129.40695774038,3.92221346307869,1.10818,0.856,-5.492144128,14.0200616236825,0.0324500000000008,0.04512,0.049165,0.001,8.84848484848485e-08,0.0545454545454545,0.133333333333333,0.0636907468526031,0.0119343109944412,0.0300030730163057,1.949,0.469674772551798
"GRB050318",0.499687083,20.92661714,1.9,4.132084541,1.98053,-11.15490196,1.50514997831991,0.249687180917049,437.923304924142,3.61,17.0741226539712,3.9224990809,124.431837737212,2.26547645723641,1.874408221,0.95,-5.966576245,10.9664574115296,0.0618196900000001,0.043780336,0.0859065194999999,0.037,4.66666666666667e-08,0.0606060606060606,0.121212121212121,0.148833498120448,0.0187658109674778,0.016658783334164,1.44,0.387389826338729
"GRB050319",0.181843588,20.93735437,2.02,3.73997,2.01045,-10.70553377,2.1832698436828,0.0330670904967137,438.372808014958,4.0804,13.9873756009,4.0419092025,114.60845330061,4.76666721033474,0.863159,0.971,-5.882728704,10.9553911899328,0.0416499999999997,0.06193,0.034558,0.00899999999999999,8.96969696969697e-08,0.115151515151515,0.127272727272727,0.0311991209237988,0.0297365640854658,0.036364370489667,3.24,0.627365856592733
"GRB050401",1.029383778,22.12570242,1.4,3.12435,1.78711,-9.653647026,1.52244423350632,1.05963096240955,489.546707578394,1.96,9.7615629225,3.1937621521,93.1929009025986,2.31783644413665,0.984108,0.9995,-5.085128182,0.62535750013415,0.0194550000000007,0.02833,0.0260615,0.0174145,1.85454545454545e-07,0.0424242424242424,0.557575757575758,0.00815583518093314,0.0097982829257281,0.022631035007725,2.9,0.591064607026499
"GRB050505",0.267171728,22.23063027,1.41,4.270583544,2.01835,-11.04817696,1.7701152947871,0.071380732242506,494.20092220144,1.9881,18.2378838062836,4.0737367225,122.062214139475,3.13330815683923,1.462094791,0.973,-5.603800653,6.83897067866905,0.0327217700000002,0.030067592,0.035926291,5e-04,1.08484848484848e-07,0.0727272727272727,0.187878787878788,0.0504266082791868,0.018921434167657,0.0441052545503497,4.27,0.721810615212547
"GRB050730",-0.259637311,21.73850309,1.53,4.05018,1.6177,-10.09854168,2.19451434188247,0.0674115332633107,472.562516593939,2.3409,16.4039580324,2.61695329,101.980544062697,4.81589319672784,2.38763,0.5615,-5.623423043,18.0332990692667,0.0266000000000002,0.017795,0.0538000000000001,0.0002104915,9.21212121212121e-08,0.0666666666666667,0.0848484848484849,0.0500432094331858,0.0168099723091123,0.0669985978354264,3.967,0.696094159995223
"GRB050802",0.439332694,21.25883595,1.54,3.63973,1.8557,-10.28650946,1.27875360095283,0.193013216017298,451.938105949012,2.3716,13.2476344729,3.44362249,105.812276870669,1.63521077194983,1.44729,0.8585,-5.698970004,10.1980390271856,0.0274999999999999,0.0326,0.03274,0.0023696055,9.51515151515152e-08,0.0787878787878788,0.266666666666667,0.233102740828459,0.020661888971532,0.0421134042893105,1.7102,0.433001340945038
"GRB050803",-0.017728767,21.34755638,1.38,4.21721,2.11696,-10.86012091,1.94398887507377,0.000314309179340289,455.718163397279,1.9044,17.7848601841,4.4815196416,117.942226179819,3.77909274641059,1.52234,1.218,-5.66756154,10.4381272282503,0.0489000000000006,0.04766,0.0486949999999999,0.2248562595,8.18181818181818e-08,0.0666666666666667,0.0666666666666667,0.0515724807353036,0.0165270627330643,0.030159339023807,3.5,0.653212513775344
"GRB050824",-0.301029996,20.9708274,2.76,5.08558,1.94709,-12.23882419,1.3541084391474,0.09061905849176,439.775601840591,7.6176,25.8631239364,3.7911594681,149.788817553729,1.83360966497021,0.954481,0.86,-6.575118363,4.07092717497179,0.0685500000000001,0.12722,0.0899785,0.01,3.15151515151515e-08,0.23030303030303,0.0909090909090909,0.0782292570053204,0.0514543473223617,0.0789626331344128,0.8278,0.261928672990642
"GRB050826",-0.420216403,21.96085591,1.16,4.76235,2.45742,-12.33348202,1.55022835305509,0.176581825350258,482.279192299782,1.3456,22.6799775225,6.0389130564,152.114778737663,2.40320794661591,1.801,1.11,-6.384049948,5.86506950125527,0.234050000000001,0.13858,0.23538,0.03,4.36363636363636e-08,0.187878787878788,0.0787878787878788,0.0717511921232175,0.0458862758416538,0.0900451078111771,0.297,0.11293997608408
