"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","Gamma","log10Fa","log10T90","Alpha","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","GammaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","Response"
"GRB060115",-0.060480747,21.43355223,1,3.69688,2.10553,-11.29499204,2.14488541828714,0.889919,0.00365792075767801,459.397161196138,1,13.6669217344,4.4332565809,127.576845183663,4.60053345758081,0.791955826561,0.656098202012832
"GRB060124",-0.050609993,21.9172644,1.84,4.47599,2.00895,-10.6893,2.8750612633917,1.3641,0.00256137139146005,480.366478779507,3.3856,20.0344864801,4.0358801025,114.26113449,8.26597726825548,1.86076881,0.517987203025078
"GRB060206",0.445604203,22.33966406,1.2,3.93814,2.20424,-10.63078414,0.880813592280791,1.17565,0.198563105731265,499.060590313656,1.44,15.5089466596,4.8586739776,113.013571431276,0.775832584346592,1.3821529225,0.703119346236078
"GRB060210",0.434568904,22.3877421,1.53,4.15028,2.08163,-10.66756154,2.40654018043396,1.20511,0.188850132323761,501.210996336112,2.3409,17.2248240784,4.3331834569,113.796869209687,5.79143564004309,1.4522901121,0.691081492122968
"GRB060218",-0.602059991,21.59972155,2.26,5.07614,2.25722,-11.82390874,3.32221929473392,1.3185,0.36247623276292,466.547971037534,5.1076,25.7671972996,5.0950421284,139.804817891848,11.0371410423023,1.73844225,0.0141423615450058
"GRB060306",0.775974331,21.61973178,1.8,3.61496,2.28823,-10.70553377,1.78675142214556,1.03794,0.602136162370898,467.412802239142,3.24,13.0679358016,5.2359965329,114.60845330061,3.19248064453919,1.0773194436,0.408070285887185
"GRB060418",0.814247596,21.65363309,1.7,3.11887,1.94118,-9.792961075,2.01325866528352,1.47655,0.662999147591779,468.879825996343,2.89,9.7273500769,3.7681797924,95.9020866164651,4.05321045333917,2.1801999025,0.396024896608593
"GRB060526",0.222716471,20.842422,2.01,3.8752,1.90677,-11.3053948,2.47450763911698,1.05873,0.0496026264546938,434.406554826084,4.0401,15.01717504,3.6357718329,127.811951583867,6.12318805604827,1.1209092129,0.625415352154408
"GRB060604",-0.468521083,21.99003057,2.01,4.45991,2.1711,-11.76955108,1.97772360528885,1.21596,0.219512005215493,483.561444469534,4.0401,19.8907972081,4.71367521,138.522332624729,3.91139065891672,1.4785587216,0.496334505996816
"GRB060605",-0.337242168,21.77333803,1.55,4.04162,2.02128,-11.26121944,1.89817648349768,1.9179,0.11373227987734,474.078248968644,2.4025,16.3346922244,4.0855728384,126.815063275834,3.6030739625036,3.67834041,0.679427896612119
"GRB060614",1.06069784,20.51216256,2.02,5.03344,1.89544,-11.78251606,2.03622954408629,1.9453,1.12507990778067,420.748812887866,4.0804,25.3355182336,3.5926927936,138.827684704158,4.14623075620988,3.78419209,0.0511525224473813
"GRB060707",0.004321374,21.20847898,0.6,3.5545,2.09345,-10.9132,1.8208579894397,0.861995,1.8674273247876e-05,449.799580645102,0.36,12.63447025,4.3825329025,119.09793424,3.31552381770639,0.743035380025,0.645913275033844
"GRB060708",0.28780173,20.79066861,1.68,3.50569,2.20484,-10.86966623,1.00860017176192,1.12969,0.0828298357909929,432.251901250839,2.8224,12.2898623761,4.8613194256,118.149643951602,1.01727430647817,1.2761994961,0.465382851448418
"GRB060714",0.10720997,22.0125926,1.93,3.73449,2.04425,-10.86012091,2.06069784035361,1.20488,0.0114939776674009,484.554232973575,3.7249,13.9464155601,4.1789580625,117.942226179819,4.24647558923804,1.4517358144,0.569490954348783
"GRB060729",0.068185862,20.86562801,1.75,5.1057,1.92492,-11.15058059,2.0618293072947,1.35481,0.00464931177668304,435.374432251696,3.0625,26.06817249,3.7053170064,124.335447494085,4.25114009241934,1.8355101361,0.187520720836463
"GRB060814",0.861534411,22.00679538,1.53,4.22387,2.11591,-10.91009489,2.16226561429802,1.29504,0.742241541337117,484.299042897189,2.3409,17.8410777769,4.4770751281,119.030170508804,4.6753925867756,1.6771286016,0.465813957269479
"GRB060906",0.294466226,22.41960057,2.03,4.33479,2.07859,-11.8827287,1.63848925695464,1.71887,0.0867103582546831,502.638489718344,4.1209,18.7904043441,4.3205363881,141.199241357804,2.68464704515576,2.9545140769,0.670802284260944
"GRB060908",0.481442629,21.80952201,1,2.81918,2.13395,-9.627087997,1.28555730900777,1.38309,0.231787005018432,475.655250304674,1,7.9477758724,4.5537426025,92.6808233019815,1.65265759474331,1.9129379481,0.459935016851525
"GRB060926",0.037426498,22.50004427,2.54,3.351,2.00443,-10.84771166,0.903089986991944,1.45111,0.001400742752544,506.25199215196,6.4516,11.229201,4.0177396249,117.6728482585,0.815571524605109,2.1057202321,0.6232492903979
"GRB060927",0.431363764,22.10710478,0.9,3.15198,1.94856,-10.77728353,1.35218251811136,1.39098,0.186074696892248,488.724081753899,0.81,9.9349779204,3.7968860736,116.149840286009,1.82839756228599,1.9348253604,0.8109042806687
