"","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","log10T90Sqr","log10FaSqr","log10TaSqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","PhotonIndexSqr","log10NHSqr","log10PeakFluxSqr","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","log10z","Redshift_crosscheck"
"GRB050315",1.9804578922761,-11.3757179,4.86356,1.10818,0.856,1.99544,-5.492144128,2.11,21.91683806,0.285557309,3.92221346307869,129.40695774038,23.6542158736,1.2280629124,0.732736,3.9817807936,30.1636471227249,4.4521,480.347790548265,0.0815429767233215,14.0200616236825,0.0324500000000008,0.04512,0.049165,0.001,8.84848484848485e-08,0.0545454545454545,0.133333333333333,0.0636907468526031,0.0119343109944412,0.0300030730163057,0.469674772551798,1.949
"GRB050318",1.50514997831991,-11.15490196,4.132084541,1.874408221,0.95,1.98053,-5.966576245,1.9,20.92661714,0.499687083,2.26547645723641,124.431837737212,17.0741226539712,3.51340617895238,0.9025,3.9224990809,35.6000320873983,3.61,437.923304924142,0.249687180917049,10.9664574115296,0.0618196900000001,0.043780336,0.0859065194999999,0.037,4.66666666666667e-08,0.0606060606060606,0.121212121212121,0.148833498120448,0.0187658109674778,0.016658783334164,0.387389826338729,1.44
"GRB050319",2.1832698436828,-10.70553377,3.73997,0.863159,0.971,2.01045,-5.882728704,2.02,20.93735437,0.181843588,4.76666721033474,114.60845330061,13.9873756009,0.745043459281,0.942841,4.0419092025,34.6064970048655,4.0804,438.372808014958,0.0330670904967137,10.9553911899328,0.0416499999999997,0.06193,0.034558,0.00899999999999999,8.96969696969697e-08,0.115151515151515,0.127272727272727,0.0311991209237988,0.0297365640854658,0.036364370489667,0.627365856592733,3.24
"GRB050401",1.52244423350632,-9.653647026,3.12435,0.984108,0.9995,1.78711,-5.085128182,1.4,22.12570242,1.029383778,2.31783644413665,93.1929009025986,9.7615629225,0.968468555664,0.99900025,3.1937621521,25.8585286273706,1.96,489.546707578394,1.05963096240955,0.62535750013415,0.0194550000000007,0.02833,0.0260615,0.0174145,1.85454545454545e-07,0.0424242424242424,0.557575757575758,0.00815583518093314,0.0097982829257281,0.022631035007725,0.591064607026499,2.9
"GRB050505",1.7701152947871,-11.04817696,4.270583544,1.462094791,0.973,2.01835,-5.603800653,1.41,22.23063027,0.267171728,3.13330815683923,122.062214139475,18.2378838062836,2.13772117786933,0.946729,4.0737367225,31.4025817585632,1.9881,494.20092220144,0.071380732242506,6.83897067866905,0.0327217700000002,0.030067592,0.035926291,5e-04,1.08484848484848e-07,0.0727272727272727,0.187878787878788,0.0504266082791868,0.018921434167657,0.0441052545503497,0.721810615212547,4.27
"GRB050730",2.19451434188247,-10.09854168,4.05018,2.38763,0.5615,1.6177,-5.623423043,1.53,21.73850309,-0.259637311,4.81589319672784,101.980544062697,16.4039580324,5.7007770169,0.31528225,2.61695329,31.6228867205434,2.3409,472.562516593939,0.0674115332633107,18.0332990692667,0.0266000000000002,0.017795,0.0538000000000001,0.0002104915,9.21212121212121e-08,0.0666666666666667,0.0848484848484849,0.0500432094331858,0.0168099723091123,0.0669985978354264,0.696094159995223,3.967
"GRB050802",1.27875360095283,-10.28650946,3.63973,1.44729,0.8585,1.8557,-5.698970004,1.54,21.25883595,0.439332694,1.63521077194983,105.812276870669,13.2476344729,2.0946483441,0.73702225,3.44362249,32.4782591064918,2.3716,451.938105949012,0.193013216017298,10.1980390271856,0.0274999999999999,0.0326,0.03274,0.0023696055,9.51515151515152e-08,0.0787878787878788,0.266666666666667,0.233102740828459,0.020661888971532,0.0421134042893105,0.433001340945038,1.7102
"GRB050803",1.94398887507377,-10.86012091,4.21721,1.52234,1.218,2.11696,-5.66756154,1.38,21.34755638,-0.017728767,3.77909274641059,117.942226179819,17.7848601841,2.3175190756,1.483524,4.4815196416,32.1212538096872,1.9044,455.718163397279,0.000314309179340289,10.4381272282503,0.0489000000000006,0.04766,0.0486949999999999,0.2248562595,8.18181818181818e-08,0.0666666666666667,0.0666666666666667,0.0515724807353036,0.0165270627330643,0.030159339023807,0.653212513775344,3.5
"GRB050824",1.3541084391474,-12.23882419,5.08558,0.954481,0.86,1.94709,-6.575118363,2.76,20.9708274,-0.301029996,1.83360966497021,149.788817553729,25.8631239364,0.911033979361,0.7396,3.7911594681,43.2321814874598,7.6176,439.775601840591,0.09061905849176,4.07092717497179,0.0685500000000001,0.12722,0.0899785,0.01,3.15151515151515e-08,0.23030303030303,0.0909090909090909,0.0782292570053204,0.0514543473223617,0.0789626331344128,0.261928672990642,0.8278
"GRB050904",2.24104815067164,-11.4544,4.6841,1.36946226,0.848,1.90813,-5.316052869,1.25,22.39388568,-0.207608311,5.0222968136288,131.20327936,21.94079281,1.87542688156431,0.719104,3.6409600969,28.2604181060031,1.5625,501.486115848909,0.0431012107962727,10.7562158769084,0.29485,0.098475,0.624745,0,1.09090909090909e-07,0.0424242424242424,0.103030303030303,0.0268161033381255,0.00980902273641476,0.0721701485906705,0.862727528317975,6.29
"GRB060115",2.14488541828714,-11.29499204,3.69688,0.889919,1,2.10553,-5.76700389,1,21.43355223,-0.060480747,4.60053345758081,127.576845183663,13.6669217344,0.791955826561,1,4.4332565809,33.2583338672751,1,459.397161196138,0.00365792075767801,15.0870791029542,0.0811999999999999,0.123015,0.053884,0.085,9.09090909090909e-08,0.303030303,0.0727272727272727,0.0469357822525134,0.0230884892235729,0.0363046588524029,0.656098202012832,3.53
