"","log10NH","log10PeakFlux","log10T90","log10Fa","log10Ta","Alpha","Beta","log10NHSqr","log10PeakFluxSqr","log10T90Sqr","log10FaSqr","log10TaSqr","AlphaSqr","BetaSqr","Gamma","log10Fluence","PhotonIndex","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","Redshift_crosscheck","log10z"
"050315",21.91683806,0.285557309,1.14674992252982,-11.3757179,4.86356,1.10818,0.856,480.347790548265,0.0815429767233215,1.31503538482214,129.40695774038,23.6542158736,1.2280629124,0.732736,1.99544,-5.492144128,2.11,14.0200616236825,0.0324500000000008,0.04512,0.049165,0.001,8.84848484848485e-08,0.0545454545454545,0.133333333333333,0.434294481903252,0.0119343109944412,0.0300030730163057,1.949,0.469674772551798
"050318",20.92661714,0.499687083,1.04006635637149,-11.15490196,4.132084541,1.874408221,0.95,437.923304924142,0.249687180917049,1.08173802565587,124.431837737212,17.0741226539712,3.51340617895238,0.9025,1.98053,-5.966576245,1.9,10.9664574115296,0.0618196900000001,0.043780336,0.0859065194999999,0.037,4.66666666666667e-08,0.0606060606060606,0.121212121212121,0.434294481903252,0.0187658109674778,0.016658783334164,1.44,0.387389826338729
"050319",20.93735437,0.181843588,1.03962788975578,-10.70553377,3.73997,0.863159,0.971,438.372808014958,0.0330670904967137,1.08082614915805,114.60845330061,13.9873756009,0.745043459281,0.942841,2.01045,-5.882728704,2.02,10.9553911899328,0.0416499999999997,0.06193,0.034558,0.0089999999999999,8.96969696969697e-08,0.115151515151515,0.127272727272727,0.434294481903252,0.0297365640854658,0.036364370489667,3.24,0.627365856592733
"050505",22.23063027,0.267171728,0.834990741747428,-11.04817696,4.270583544,1.462094791,0.973,494.20092220144,0.071380732242506,0.69720953880392,122.062214139475,18.2378838062836,2.13772117786933,0.946729,2.01835,-5.603800653,1.41,6.83897067866905,0.0327217700000002,0.030067592,0.035926291,5e-04,1.08484848484848e-07,0.0727272727272727,0.187878787878788,0.434294481903252,0.018921434167657,0.0441052545503497,4.27,0.721810615212547
"050730",21.73850309,-0.259637311,1.25607518520895,-10.09854168,4.05018,2.38763,0.5615,472.562516593939,0.0674115332633107,1.57772487089769,101.980544062697,16.4039580324,5.7007770169,0.31528225,1.6177,-5.623423043,1.53,18.0332990692667,0.0266000000000002,0.017795,0.0538000000000001,0.0002104915,9.21212121212121e-08,0.0666666666666667,0.0848484848484849,0.434294481903252,0.0168099723091123,0.0669985978354264,3.967,0.696094159995223
"050802",21.25883595,0.439332694,1.00851666964939,-10.28650946,3.63973,1.44729,0.8585,451.938105949012,0.193013216017298,1.0171058729607,105.812276870669,13.2476344729,2.0946483441,0.73702225,1.8557,-5.698970004,1.54,10.1980390271856,0.0274999999999999,0.0326,0.03274,0.0023696055,9.51515151515152e-08,0.0787878787878788,0.266666666666667,0.434294481903252,0.020661888971532,0.0421134042893105,1.7102,0.433001340945038
"050803",21.34755638,-0.017728767,1.0186225860805,-10.86012091,4.21721,1.52234,1.218,455.718163397279,0.000314309179340289,1.03759197287332,117.942226179819,17.7848601841,2.3175190756,1.483524,2.11696,-5.66756154,1.38,10.4381272282503,0.0489000000000006,0.04766,0.0486949999999999,0.2248562595,8.18181818181818e-08,0.0666666666666667,0.0666666666666667,0.434294481903252,0.0165270627330643,0.030159339023807,3.5,0.653212513775344
"050820A",21.61964524,0.389166084,1.35556867326792,-10.01818139,3.750945731,1.136499703,0.9,467.409060303455,0.151450240935895,1.83756642794535,100.363958362942,14.0695938769071,1.29163157491909,0.81,1.96878,-5.463441557,1.25,22.6761161724926,0.266741013,0.238477529,0.0125257010000001,0.0405,1.46666666666667e-07,0.0727272727272727,0.139393939393939,0.434294481903252,0.0185164313807078,0.0247093954042276,2.6147,0.558072259099146
"050824",20.9708274,-0.301029996,0.609693333332289,-12.23882419,5.08558,0.954481,0.86,439.775601840591,0.09061905849176,0.371725960709838,149.788817553729,25.8631239364,0.911033979361,0.7396,1.94709,-6.575118363,2.76,4.07092717497179,0.0685500000000001,0.12722,0.0899785,0.01,3.15151515151515e-08,0.23030303030303,0.0909090909090909,0.434294481903252,0.0514543473223617,0.0789626331344128,0.8278,0.261928672990642
"050826",21.96085591,-0.420216403,0.768273162885104,-12.33348202,4.76235,1.801,1.11,482.279192299782,0.176581825350258,0.590243652809482,152.114778737663,22.6799775225,3.243601,1.2321,2.45742,-6.384049948,1.16,5.86506950125527,0.234050000000001,0.13858,0.23538,0.03,4.36363636363636e-08,0.187878787878788,0.0787878787878788,0.434294481903252,0.0458862758416538,0.0900451078111771,0.297,0.11293997608408
"051109A",21.97057233,0.595496222,0.850621056882249,-10.51999306,3.91123,1.22299,1.06,482.706048507762,0.354615750416273,0.723556182411474,110.670253982448,15.2977201129,1.4957045401,1.1236,2.06584,-5.657577319,1.51,7.08958896788783,0.0481500000000006,0.04637,0.019155,0.0547943805,1.64848484848485e-07,0.121212121212121,0.418181818181818,0.434294481903252,0.0325421760411363,0.0460949380699723,2.346,0.524525936626376
"051109B",21.36742302,-0.259637311,0.577281364372234,-11.57511836,3.65548,1.251,1.06,456.566766515626,0.0674115332633107,0.333253773651469,133.983365048009,13.3625340304,1.565001,1.1236,2.12549,-6.591760035,1.97,3.7781688614362,0.0922000000000001,0.126645,0.12217,0.0099999999999999,2.48484848484848e-08,0.145454545454545,0.0787878787878788,0.434294481903252,0.0421545307074316,0.0622129837043244,0.08,0.0334237554869497
"060115",21.43355223,-0.060480747,1.17860516739278,-11.29499204,3.69688,0.889919,1,459.397161196138,0.00365792075767801,1.38911014060497,127.576845183663,13.6669217344,0.791955826561,1,2.10553,-5.76700389,1,15.0870791029542,0.0811999999999999,0.123015,0.053884,0.085,9.09090909090909e-08,0.303030303,0.0727272727272727,0.434294481903252,0.0230884892235729,0.0363046588524029,3.53,0.656098202012832
"060210",22.3877421,0.434568904,2.0862762493439,-10.66756154,4.15028,1.20511,0.979,501.210996336112,0.188850132323761,4.35254858857645,113.796869209687,17.2248240784,1.4522901121,0.958441,2.08163,-5.11577123,1.53,121.976522977757,0.0292000000000003,0.030365,0.02297,0.083622271,2.47878787878788e-07,0.0545454545454545,0.16969696969697,0.434294481903252,0.0140538367709601,0.027095021154743,3.91,0.691081492122968
"060306",21.61973178,0.775974331,0.546399608851667,-10.70553377,3.61496,1.03794,0.76,467.412802239142,0.602136162370898,0.298552532553255,114.60845330061,13.0679358016,1.0773194436,0.5776,2.28823,-5.671620397,1.8,3.5188407189561,0.0349500000000003,0.04452,0.02498,0.01,7.15151515151515e-08,0.0606060606060606,0.193939393939394,0.434294481903252,0.014581519111212,0.0141083431552143,1.559,0.408070285887185
