"","log10Ta","log10PeakFlux","log10NH","log10Fa","Alpha","PhotonIndex","log10T90","Gamma","Beta","log10Fluence","log10TaSqr","log10PeakFluxSqr","log10NHSqr","log10FaSqr","AlphaSqr","PhotonIndexSqr","log10T90Sqr","GammaSqr","BetaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"000301C",4.52988317180375,0.28780173,20.96124782,-11.2698167681058,2.16783193250824,2.15,2.2417954312952,1.82831,0.859374497647583,-5.583359493,20.5198415501908,0.0828298357909929,439.373910171455,127.008769986678,4.6994952876024,4.6225,5.02564675577603,3.3427174561,0.738524527207036,31.1739032280732,0.0559978453466017,2.20372013701244,0.817229205171161,0.547750312831883,0.242846370016688,0.0079942161609691,0.042424242,0.0202468289563662,"000301C",2.03,0.481442628502305
"000926A",4.24735694181074,0.113943352,20.02880298,-10.8921045148355,1.83496851470875,2.54,2.25285303097989,1.97351,0.926543715170092,-5.619788758,18.0400409911479,0.0129830874649959,401.152948811657,118.637940762099,3.36710944997244,6.4516,5.07534677919529,3.8947417201,0.858483256121197,31.5820256845432,0.0777158546563713,2.13177114533663,0.78567687502136,0.510056324718896,0.25758641763073,0.00464486077306445,0.048484848,0.0358921059636159,"000926A",2.07,0.487138375477186
"010222A",4.0687669074016,0.462397998,20.86974084,-10.7783488351537,1.42194596004257,1.24,1.92427928606188,1.76613,0.88656203807336,-5.113509275,16.5548641467664,0.213811908554408,435.546082728764,116.17280361226,2.02193031328138,1.5376,3.70285077076682,3.1192151769,0.785992247352791,26.147977105511,0.204728382142163,2.11077179999699,0.767520755885681,0.479090608530237,0.249530169067157,0.00533531304621856,0.048484848,0.0267321414553261,"010222A",1.47688,0.393904966375804
"011211A",4.28824889615183,0.28780173,21.33992622,-11.1452520888358,1.75995704027506,1.66,2.26881190373978,1.80565,0.830587690137936,-5.522878745,18.3890785953474,0.0828298357909929,455.392451075043,124.216644123698,3.09744878361377,2.7556,5.14750745455133,3.2603719225,0.689875911008673,30.5021896319728,0.0511462885027281,2.17946714500325,0.790127861371403,0.505749497004075,0.239337495797186,0.00731135491027843,0.018181818,0.0292454197184288,"011211A",2.14,0.496929648073215
"020124A",3.99984300312106,0.204119983,21.29748256,-10.845783555672,1.75131759839538,1.17,1.38560627359831,1.70111,0.976120994770039,-5.619788758,15.9987440496165,0.0416649674599203,453.582763393504,117.631020936486,3.06711333044937,1.3689,1.919904745435,2.8937752321,0.952812196430851,31.5820256845432,0.366834332160994,2.12327657158526,0.761235120240094,0.503516519791233,0.273706364434316,0.00464486077306445,0.14,0.0202468291390677,"020124A",3.198,0.623042434246382
"021004A",4.35144555286079,0.204119983,22.27837171,-10.9041591612164,1.45522292538821,2.37,2.26881190373978,2.04425,0.872168634318537,-5.22184875,18.935078399512,0.0416649674599203,496.325846048928,118.90068701314,2.11767376257543,5.6169,5.14750745455133,4.1789580625,0.760678126689062,27.2677043678766,0.0636907468358741,2.13399076592317,0.796872555861827,0.481154569729778,0.245297471167458,0.00464486077306445,0.036363636,0.0267321414553261,"021004A",2.34,0.523746466811564
"030226A",4.18974965392519,0.72427587,21.03780485,-10.9928605040421,1.82644335749859,1.73,1.1152775913959,2.51,0.856175963479845,-5.443697499,17.5540021625663,0.524575535864257,442.589232906684,120.842982061329,3.33589533815071,2.9929,1.24384410586984,6.3001,0.73303728044064,29.6338424606189,0.0175057628797337,2.1506891167063,0.779729429209907,0.512697989825208,0.242341881428301,0.00731135491027843,0.018181818,0.0438681298090717,"030226A",1.99,0.47567118832443
"030328A",3.97226561260702,0.204119983,21.79039707,-10.8157584210893,1.41771718817137,1.69,1.20951501454263,2.02128,0.82259135471859,-5.974694135,15.7788940971002,0.0416649674599203,474.821404468265,116.980630223365,2.00992202563653,2.8561,1.46292657040406,4.0855728384,0.676656536857765,35.6969700068034,0.0611908230548872,2.11764145528014,0.758289429335775,0.479135853081184,0.247951651449928,0.00464486077306445,0.03030303,0.096509884965017,"030328A",1.52,0.401400540781544
"030329A",4.38862005680724,-0.045757491,21.41342718,-10.438046167819,1.51616974836558,2.06,2.46239799789896,2.07429,0.830587690137936,-5.236572006,19.2599860030108,0.00209374798261508,458.534863593163,108.952807801521,2.29877070585895,4.2436,6.06340390005679,4.3026790041,0.689875911008673,27.4216863740229,0.00197833385893328,2.04990081875183,0.801156916075606,0.484960455921043,0.239679216511618,0.0457754394646476,0.060606061,0.0643399231491616,"030329A",0.17,0.0681858617461616
"030429A",4.37332646588367,-0.468521083,20.86974084,-11.3688255970481,2.25419358066717,1.85,2.85733249643127,1.70111,0.80020161554442,-5.795880017,19.1259843771986,0.219512005215493,435.546082728764,129.250195456097,5.08138869912108,3.4225,8.16434899516215,2.8937752321,0.6403226255199,33.5922251714599,0.00923562857434798,2.24668852153827,0.806211772862026,0.895772399159758,0.238573421167682,0.00533531304621856,0.018181818,0.0438681294132183,"030429A",2.658,0.563243701140398
