"","log10PeakFlux","log10Ta","log10NH","log10Fa","PhotonIndex","log10T90","Alpha","log10PeakFluxSqr","log10TaSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","log10T90Sqr","AlphaSqr","Beta","Gamma","log10Fluence","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","log10T90Err","log10FluenceErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"9",0.285557309,4.86356,21.91683806,-11.3757179,2.11,1.9804578922761,1.10818,0.0815429767233215,23.6542158736,480.347790548265,129.40695774038,4.4521,3.92221346307869,1.2280629124,0.856,1.99544,-5.492144128,14.0200616236825,0.0324500000000008,0.04512,0.049165,0.001,8.84848484848485e-08,0.0545454545454545,0.133333333333333,0.0636907468526031,0.0119343109944412,0.0300030730163057,"050315",1.949,0.469674772551798
"10",0.499687083,4.132084541,20.92661714,-11.15490196,1.9,1.50514997831991,1.874408221,0.249687180917049,17.0741226539712,437.923304924142,124.431837737212,3.61,2.26547645723641,3.51340617895238,0.95,1.98053,-5.966576245,10.9664574115296,0.0618196900000001,0.043780336,0.0859065194999999,0.037,4.66666666666667e-08,0.0606060606060606,0.121212121212121,0.148833498120448,0.0187658109674778,0.016658783334164,"050318",1.44,0.387389826338729
"12",0.688419822,2.99481,21.75162856,-10.5559552,3.08,0.397940008672038,0.842217,0.473921851322512,8.9688869361,473.133345012208,111.428190184407,9.4864,0.158356250501901,0.709329475089,0.9,2.06183,-6.435333936,0.444072089685655,0.0484,0.070765,0.0149485,0.005,2.24242424242424e-08,0.133333333333333,0.290909090909091,0.0771432232470903,0.0265360347448561,0.0258893878930529,"050416A",0.6528,0.218220304175545
"15",0.439332694,3.63973,21.25883595,-10.28650946,1.54,1.27875360095283,1.44729,0.193013216017298,13.2476344729,451.938105949012,105.812276870669,2.3716,1.63521077194983,2.0946483441,0.8585,1.8557,-5.698970004,10.1980390271856,0.0274999999999999,0.0326,0.03274,0.0023696055,9.51515151515152e-08,0.0787878787878788,0.266666666666667,0.233102740828459,0.020661888971532,0.0421134042893105,"050802",1.7102,0.433001340945038
"17",-0.301029996,5.08558,20.9708274,-12.23882419,2.76,1.3541084391474,0.954481,0.09061905849176,25.8631239364,439.775601840591,149.788817553729,7.6176,1.83360966497021,0.911033979361,0.86,1.94709,-6.575118363,4.07092717497179,0.0685500000000001,0.12722,0.0899785,0.01,3.15151515151515e-08,0.23030303030303,0.0909090909090909,0.0782292570053204,0.0514543473223617,0.0789626331344128,"050824",0.8278,0.261928672990642
"20",0.860936621,2.52429,21.44930866,-9.477555766,1.37,0.653212513775344,1.22035,0.741211865378898,6.3720400041,460.072841991951,89.8240632976399,1.8769,0.426686588152704,1.4892541225,1.064,2.2119,-5.790484985,0.450457545832013,0.0319400000000005,0.034305,0.013275,0.013,3.27272727272727e-08,0.0363636363636364,0.193939393939394,0.0434736058858943,0.0087736258877956,0.0116014887814568,"050922C",2.198,0.504878459410216
"21",0.113943352,4.25742,21.71466751,-11.59006688,2.4,0.602059991327962,1.14771,0.0129830874649959,18.1256250564,471.52678506985,134.329650282873,5.76,0.362476233157826,1.3172382441,0.73,1.89482,-6.769551079,0.469570015426604,0.04535,0.058175,0.04854,0.005,1.33333333333333e-08,0.139393939393939,0.096969696969697,0.0509829166417497,0.0340623123358059,0.0323949264119413,"051016B",0.9364,0.286995073968852
"22",0.595496222,3.91123,21.97057233,-10.51999306,1.51,1.5705429398819,1.22299,0.354615750416273,15.2977201129,482.706048507762,110.670253982448,2.2801,2.46660512601287,1.4957045401,1.06,2.06584,-5.657577319,7.08958896788783,0.0481500000000006,0.04637,0.019155,0.0547943805,1.64848484848485e-07,0.121212121212121,0.418181818181818,0.0827679937558025,0.0325421760411363,0.0460949380699723,"051109A",2.346,0.524525936626376
"25",-0.050609993,4.47599,21.9172644,-10.6893,1.84,2.8750612633917,1.3641,0.00256137139146005,20.0344864801,480.366478779507,114.26113449,3.3856,8.26597726825548,1.86076881,0.99,2.00895,-6.336299075,1.30678232181628,0.0444500000000003,0.036665,0.01627,0.076380116,3.21212121212121e-08,0.115151515151515,0.109090909090909,0.000756704468551373,0.0302604450950157,0.0532332357362408,"060124",2.296,0.517987203025078
"27",-0.602059991,5.07614,21.59972155,-11.82390874,2.26,3.32221929473392,1.3185,0.36247623276292,25.7671972996,466.547971037534,139.804817891848,5.1076,11.0371410423023,1.73844225,1.265,1.92624,-5.804100348,19.6469605838771,0.160200000000001,0.14064,0.108235,0.02,9.21212121212121e-08,0.103030303030303,0.0666666666666667,0.0040631269370231,0.0254826332026628,0.115811861753411,"060218",0.0331,0.0141423615450058
"28",0.775974331,3.61496,21.61973178,-10.70553377,1.8,1.78675142214556,1.03794,0.602136162370898,13.0679358016,467.412802239142,114.60845330061,3.24,3.19248064453919,1.0773194436,0.76,2.28823,-5.671620397,3.5188407189561,0.0349500000000003,0.04452,0.02498,0.01,7.15151515151515e-08,0.0606060606060606,0.193939393939394,0.0249708024009658,0.014581519111212,0.0141083431552143,"060306",1.559,0.408070285887185
"29",0.814247596,3.11887,21.65363309,-9.792961075,1.7,2.01325866528352,1.47655,0.662999147591779,9.7273500769,468.879825996343,95.9020866164651,2.89,4.05321045333917,2.1801999025,0.98,1.94118,-5.079354999,45.254833995939,0.0490400000000006,0.057245,0.044705,0.005,1.53333333333333e-07,0.0363636363636364,0.212121212121212,0.1906297253529,0.0079942161609691,0.0141293055003077,"060418",1.489,0.396024896608593
"31",0.227886705,3.3865,21.45692297,-10.55284197,1.46,1.45331834004704,0.897152,0.051932350315757,11.46838225,460.399543340514,111.362473643793,2.1316,2.11213419751708,0.804881711104,0.87,2.02719,-5.63638802,9.82783800045578,0.0567500000000001,0.075085,0.0205255,0.015,6.18181818181818e-08,0.0484848484848485,0.127272727272727,0.150287880726656,0.0116222057308489,0.0327064160367775,"060502A",1.5026,0.398391440229475
"33",-0.468521083,4.45991,21.99003057,-11.76955108,2.01,1.97772360528885,1.21596,0.219512005215493,19.8907972081,483.561444469534,138.522332624729,4.0401,3.91139065891672,1.4785587216,1.02,2.1711,-6.395773947,17,0.0419499999999999,0.04994,0.0469499999999999,0,6.42424242424242e-08,0.254545454545455,0.0787878787878788,0.0777158546563713,0.0694033093482565,0.100638650005198,"060604",2.1357,0.496334505996816
"34",1.06069784,5.03344,20.51216256,-11.78251606,2.02,2.03622954408629,1.9453,1.12507990778067,25.3355182336,420.748812887866,138.827684704158,4.0804,4.14623075620988,3.78419209,0.783,1.89544,-4.690369833,3.31042292001389,0.0429000000000004,0.0289,0.0598299999999999,0.006,2.2e-07,0.0242424242424242,0.448484848484848,0.0132262962918867,0.00468356794668692,0.0169369126150239,"060614",0.125,0.0511525224473813
"36",0.28780173,3.50569,20.79066861,-10.86966623,1.68,1.00860017176192,1.12969,0.0828298357909929,12.2898623761,432.251901250839,118.149643951602,2.8224,1.01727430647817,1.2761994961,1.485,2.20484,-6.306273051,3.60124423553101,0.0611499999999996,0.062725,0.028525,0.3341015195,2.24242424242424e-08,0.0727272727272727,0.0848484848484849,0.153333382301668,0.019714017700399,0.0189944478152724,"060708",1.92,0.465382851448418
"38",0.068185862,5.1057,20.86562801,-11.15058059,1.75,2.0618293072947,1.35481,0.00464931177668304,26.06817249,435.374432251696,124.335447494085,3.0625,4.25114009241934,1.8355101361,1.317,1.92492,-5.583359493,33.90346061055,0.0116000000000005,0.012825,0.0134249999999999,0.077392286,1.27878787878788e-07,0.0848484848484849,0.0787878787878788,0.12770239254628,0.0212785639737521,0.0292454196396911,"060729",0.54,0.187520720836463
