"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"GRB050315",0.3592,0.4697,0.1105,1.28665160291952,1.94917130750827,0.662519704588754,0.224646056640402,0,0,0.392671231246403,0.335171262633999,1.46985371333509,1.1635715530139
"GRB050318",0.3907,0.3874,-0.00329999999999997,1.45866862928973,1.44005715942821,-0.0186114698615261,-0.00762747290144932,0,0,0.413717871141399,0.367915468396069,1.592494663795,1.33300391937661
"GRB050319",0.4303,0.6274,0.1971,1.69339469261079,3.24033335385019,1.54693866123939,0.36481534166053,0,0,0.446634323657331,0.411932930687661,1.79662556676896,1.58186143575736
"GRB050401",0.4795,0.5911,0.1116,2.01647687316222,2.90031784475066,0.883840971588438,0.226607421951003,0,0,0.501145945030469,0.454546434023947,2.17063277787846,1.84804229171112
"GRB050505",0.5771,0.7218,0.1447,2.77659140145266,4.26987118996723,1.49327978851457,0.283361724544136,0,0,0.601315338857573,0.547584922538384,2.99314737381215,2.52845775820268
"GRB050730",0.4808,0.6961,0.2153,2.02551980387231,3.96706679223423,1.94154698836192,0.390884010538662,0,0,0.506796339377542,0.456117816468375,2.21215385896723,1.85836586268141
"GRB050802",0.4211,0.433,0.0119,1.63693849345347,1.71019163189084,0.0732531384373774,0.0270287671083503,0,0,0.437484239508241,0.394007700884709,1.73832025916573,1.47746598752783
"GRB050803",0.4556,0.6532,0.1976,1.85495981690041,3.49987033872151,1.6449105218211,0.365546204224286,0,0,0.474308493019632,0.433196704187116,1.98063291487278,1.71141943194746
"GRB050824",0.266,0.2619,-0.00409999999999999,0.845015419179474,0.82767932897041,-0.0173360902090638,-0.00948530189857198,0,0,0.3165069581594,0.207257676737031,1.07255926535149,0.611601551211211
"GRB050904",0.6723,0.8627,0.1904,3.70218812091843,6.28953792855699,2.58734980763856,0.354940166715168,0,0,0.699762053003175,0.657698315947277,4.00912711757327,3.54672110987177
"GRB060115",0.591,0.6561,0.0651,2.89941986676543,3.5300187543224,0.63059888755697,0.13920447613054,0,0,0.6172362808609,0.562546976412922,3.14224975435681,2.65213629249727
"GRB060124",0.4198,0.518,0.0982,1.62905698758709,2.29609712177458,0.667040134187491,0.202372718261519,0,0,0.462114533147564,0.383994954266356,1.89810778263219,1.42100091882468
"GRB060206",0.5786,0.7031,0.1245,2.78965783799471,4.04777513500947,1.25811729701476,0.249241945880063,0,0,0.678718971612459,0.529389256312728,3.77220368347796,2.38367978125186
"GRB060210",0.6642,0.6911,0.0269,3.61530068079129,3.91020924883086,0.294908568039573,0.0600602852332193,0,0,0.696885887657727,0.63200253336031,3.97606320058595,3.28551020247252
"GRB060218",0.368,0.0141,-0.3539,1.333458062281,0.0329992352432302,-1.30045882703777,-1.25891557580056,0,0,0.52277962804474,0.290885170196176,2.33257266724132,0.953822786188695
"GRB060306",0.4119,0.4081,-0.00379999999999997,1.58166567170163,1.55917509090989,-0.0224905807917324,-0.00878821494926947,0,0,0.429964673591138,0.372157090866013,1.69131587783892,1.35590129483435
"GRB060418",0.3897,0.396,0.00630000000000003,1.45301384836088,1.48885731828239,0.0358434699215135,0.0144015768434045,0,0,0.413950683035128,0.36422498424068,1.59388479289439,1.31326285490842
"GRB060526",0.5653,0.6254,0.0600999999999999,2.6753609777148,3.22085079179884,0.545489814084049,0.129236933734768,0,0,0.59256305421749,0.540855812764737,2.91347941910421,2.47420797415133
"GRB060604",0.5538,0.4963,-0.0574999999999999,2.57931565565039,2.13545086914429,-0.443864786506097,-0.141563304618846,0,0,0.578286359305102,0.521898916554111,2.78692199427659,2.32582134716667
"GRB060605",0.5644,0.6794,0.115,2.66775231599495,3.7796929697961,1.11194065380115,0.232638510638181,0,0,0.577413286879616,0.542195459008159,2.77931670291131,2.48494123359833
"GRB060614",0.1495,0.0512,-0.0983,0.410912236458096,0.125122992965767,-0.285789243492329,-0.254007113248129,0,0,0.231830320387301,0.11084194783036,0.705415949831532,0.290749447526835
