"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000301C",0.3915,0.4814,0.0899,1.46320183823516,2.02970260266142,0.566500764426261,0.186982301143559,0,0,0.413413720652533,0.352230883523866,1.59067969144873,1.25025058627823
"000926A",0.4261,0.4871,0.061,1.66747280212458,2.06972873818367,0.40225593605909,0.131039570713698,0,0,0.486760684230319,0.384448472483356,2.06733128527294,1.42353040411597
"021004A",0.4506,0.5237,0.0731,1.82227936211811,2.33964265986625,0.517363297748147,0.154915765080347,0,0,0.462964762410155,0.434404712651547,1.90378703874253,1.71897185857035
"030226A",0.3904,0.4757,0.0853,1.45697082763684,1.99019836717057,0.533227539533731,0.178325139023566,0,0,0.401262295805768,0.375569012150228,1.5191979591925,1.37448271313441
"030328A",0.4727,0.4014,-0.0713,1.96961398639916,1.51999686210924,-0.449617124289926,-0.178419715933137,0,0,0.489105107896465,0.457967470750944,2.08393423331741,1.8705655646961
"030329A",0.3702,0.0682,-0.302,1.34530862120028,0.170038089423047,-1.17527053177723,-1.00447202736516,0,0,0.41387150913023,0.342202669982537,1.5934119587281,1.19888577615782
"030429A",0.5128,0.5632,0.0504,2.2568668220167,2.65763193009452,0.400765108077823,0.109569556406258,0,0,0.551686752523375,0.48145614633114,2.56194125418215,2.03009431309981
"040924A",0.5058,0.2695,-0.2363,2.2047931228494,0.859944563222576,-1.34484855962683,-0.723058410567202,0,0,0.537110986231712,0.44475738044028,2.44437942438901,1.78456513064352
"041006A",0.4498,0.2355,-0.2143,1.81708531676939,0.719887341238241,-1.09719797553115,-0.637947584834956,0,0,0.471137073613954,0.428912566257059,1.95894623262454,1.684803876775
"050315A",0.3812,0.4697,0.0885,1.4054703049881,1.94917130750827,0.543701002520179,0.184357212867213,0,0,0.412163547681605,0.358958725989712,1.58323280763692,1.28538159742439
"050318A",0.4353,0.3874,-0.0479,1.72458273325773,1.44005715942821,-0.284525573829524,-0.116606110119239,0,0,0.456284360193519,0.416169457519207,1.85946220216264,1.6071706444019
"050319A",0.4107,0.6274,0.2167,1.57454211192645,3.24033335385019,1.66579124192373,0.392844407011351,0,0,0.429558603153646,0.387295778804476,1.68880064197842,1.43947166922874
"050408A",0.5298,0.3502,-0.1796,2.38688148563477,1.23975234517842,-1.14712914045635,-0.512167848791767,0,0,0.548191777444591,0.511229897250505,2.53339164228001,2.24511354565873
"050416A",0.2733,0.2182,-0.0551,0.876290155837901,0.65272272994873,-0.223567425889171,-0.135272191661638,0,0,0.329848244325489,0.207872516407589,1.13721515116172,0.61388474462366
"050502A",0.5032,0.6803,0.1771,2.18566423657311,3.78960832497788,1.60394408840477,0.334880010968784,0,0,0.521516945066534,0.481709358003995,2.32289750059381,2.03186149872197
"050505A",0.5442,0.7218,0.1776,2.5010635984652,4.26987118996723,1.76880759150204,0.335645318023994,0,0,0.579096332155587,0.510587309343629,2.79399131294946,2.2403155828222
"050525A",0.4307,0.2068,-0.2239,1.69587654355744,0.609904076215706,-1.08597246734174,-0.674557250575117,0,0,0.456731191221278,0.408002096097213,1.86240572091059,1.55859823580234
