"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"GRB050315",0.4233,0.4697,0.0464,1.65033028972711,1.94917130750827,0.298841017781161,0.101330504952474,0,0,0.45592342271663,0.400353011041247,1.85708672110993,1.51392901818896
"GRB050318",0.3991,0.3874,-0.0117,1.50668637245364,1.44005715942821,-0.0666292130254296,-0.0273064148386766,0,0,0.422832584286253,0.376613925291348,1.64747936789117,1.38020260018814
"GRB050319",0.4084,0.6274,0.219,1.56094351715677,3.24033335385019,1.67938983669342,0.39605137062362,0,0,0.428833689542884,0.38804922920506,1.68431630604303,1.44370754207928
"GRB050401",0.4199,0.5911,0.1712,1.62966242003022,2.90031784475066,1.27065542472043,0.325782532423756,0,0,0.428177843127315,0.411849540282428,1.68026566605634,1.58136573108879
"GRB050505",0.6359,0.7218,0.0859,3.32414252509865,4.26987118996723,0.945728664868587,0.179459540997712,0,0,0.642253532004015,0.628267802617264,3.38786777532643,3.24881481384341
"GRB050730",0.4324,0.6961,0.2637,1.70644994903848,3.96706679223423,2.26061684319575,0.45512108810981,0,0,0.457308044890477,0.415672807088025,1.86621025077979,1.60419084065768
"GRB050802",0.4511,0.433,-0.0181,1.82553050245956,1.71019163189084,-0.115338870568715,-0.042557459484238,0,0,0.458256288569355,0.444253412276974,1.87247520494497,1.78133571301627
"GRB050803",0.5066,0.6532,0.1466,2.21070201056191,3.49987033872151,1.2891683281596,0.286490105518435,0,0,0.51272981402115,0.500555054209725,2.25634052494046,2.16632182311896
"GRB050824",0.1412,0.2619,0.1207,0.384203681568742,0.82767932897041,0.443475647401668,0.242644122725562,0,0,0.185124597752538,0.087726185565251,0.53152678898851,0.223844345320607
"GRB050904",0.6477,0.8627,0.215,3.44324233128716,6.28953792855699,2.84629559726983,0.390463102759831,0,0,0.660314354790753,0.633126973117638,3.57419162913954,3.29662027146808
"GRB060115",0.5503,0.6561,0.1058,2.55058570312624,3.5300187543224,0.979433051196165,0.216209491464383,0,0,0.574867525346663,0.526607401920607,2.75722778524065,2.36207503575635
"GRB060124",0.4968,0.518,0.0212,2.13906276913766,2.29609712177458,0.157034352636919,0.0476425138080803,0,0,0.517534970680068,0.471367920902495,2.29256965013595,1.96051946533961
"GRB060206",0.6279,0.7031,0.0751999999999999,3.24521802934084,4.04777513500947,0.802557105668635,0.158992245930767,0,0,0.638937205253229,0.614973650501271,3.35448907468078,3.12072517090375
"GRB060210",0.6084,0.6911,0.0827,3.05882194661918,3.91020924883086,0.851387302211677,0.173391246496144,0,0,0.628583836092292,0.579865121713002,3.25190777598512,2.80071339714736
"GRB060306",0.3918,0.4081,0.0163,1.46490394560466,1.55917509090989,0.0942711453052349,0.0368365359760194,0,0,0.409566325647832,0.379978338266269,1.56783033836183,1.39871327305059
"GRB060418",0.3835,0.396,0.0125,1.41824333793041,1.48885731828239,0.0706139803519816,0.0283720484228938,0,0,0.393953172119894,0.366849352667623,1.47715494355835,1.32728383337012
"GRB060526",0.4595,0.6254,0.1659,1.88071304977504,3.22085079179884,1.3401377420238,0.31750417347794,0,0,0.465667634909472,0.453788639433621,1.92191538333062,1.84307711418276
"GRB060604",0.5492,0.4963,-0.0529,2.54160400426462,2.13545086914429,-0.406153135120327,-0.129535799497688,0,0,0.570943363636586,0.52865908123781,2.72343145801436,2.37799561315809
