"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"GRB050315",0.4183,0.4697,0.0514,1.61999220977276,1.94917130750827,0.329179097735515,0.111617489596979,0,0,0.432084260326606,0.410123654567974,1.70448302773648,1.57112774333082
"GRB050318",0.4297,0.3874,-0.0423,1.68967619956499,1.44005715942821,-0.24961904013678,-0.102300488811202,0,0,0.451313590287225,0.419472076414598,1.82692046785429,1.62707260964448
"GRB050319",0.408,0.6274,0.2194,1.55858588690565,3.24033335385019,1.68174746694454,0.396607371780695,0,0,0.42343145525847,0.38987639017028,1.65113263145869,1.454010350571
"GRB050401",0.4201,0.5911,0.171,1.63087370321467,2.90031784475066,1.26944414153599,0.325471972302078,0,0,0.425320188980476,0.410890245238803,1.66268743557534,1.57567015221621
"GRB050505",0.627,0.7218,0.0948,3.23642966049541,4.26987118996723,1.03344152947182,0.196103755142874,0,0,0.647757469913603,0.620112297215096,3.44383034163409,3.16977188947126
"GRB050730",0.5008,0.6961,0.1953,2.16810815932805,3.96706679223423,1.79895863290618,0.362177258360762,0,0,0.524797424683354,0.490463178062612,2.34809231999684,2.09359301205584
"GRB050802",0.4808,0.433,-0.0478,2.02551980387231,1.71019163189084,-0.315328171981464,-0.116349031659236,0,0,0.49327789313618,0.472592004948376,2.11370807626844,1.96887563084067
"GRB050803",0.497,0.6532,0.1562,2.14050869387622,3.49987033872151,1.35936164484529,0.302089069800066,0,0,0.507225393208569,0.48402804819781,2.2153288196883,2.04809183929047
"GRB050824",0.1175,0.2619,0.1444,0.310690042366077,0.82767932897041,0.516989286604333,0.282866517342279,0,0,0.142300616387003,0.101021090970439,0.387716066358707,0.26188881516081
"GRB050904",0.6331,0.8627,0.2296,3.2963534256987,6.28953792855699,2.99318450285829,0.410613749759419,0,0,0.64029318365696,0.625376787351134,3.36810614976834,3.22062519715493
"GRB060115",0.5753,0.6561,0.0808,2.76097113259769,3.5300187543224,0.769047621724712,0.169766984075046,0,0,0.583688654623589,0.572102181426243,2.83432264644874,2.73337986958045
"GRB060124",0.4686,0.518,0.0494,1.94171096975272,2.29609712177458,0.354386152021859,0.107516902241965,0,0,0.477936444786197,0.463036278092909,2.00563642173778,1.90426524747082
"GRB060206",0.6387,0.7031,0.0643999999999999,3.35211136623977,4.04777513500947,0.695663768769698,0.137815918927298,0,0,0.64608451777645,0.634362360547084,3.42674512589467,3.30885977155833
"GRB060210",0.5907,0.6911,0.1004,2.896727173079,3.91020924883086,1.01348207575186,0.206403031804231,0,0,0.605137227069754,0.580934005086517,3.02844303753944,2.81007921448368
