"","Fbest","T_abest","F_min","F_max","T_amin","T_amax","logT90","logPeakFlux","errorlogPeakFlux","photon_index","errorphotonindex","logNH","T90_err","Gamma","Alpha","AlphaErr"
"GRB050128",-9.55803,2.89188,-9.63398,-9.48207,2.81994,2.96382,1.28330122870355,"0.8704039052790271",0.0427270851468159,"0.7","-0.3",21.0284541237804,9.05538513813742,1.9874,1.144,1.144035
"GRB050607",-11.5579,3.86029,-11.6181,-11.4977,3.77922,3.94135,1.42160392686983,"-0.022276394711152253",0.0640012920699529,"1.92","0.16",21.3651509014936,35.7770876399966,2.32143,1.06876,1.068755
"GRB050712",-11.5943,4.37043,-11.6532,-11.5354,4.28876,4.45211,1.71264970162721,"-0.2596373105057561",0.142132739531973,"1.50","0.18",21.2692583637097,7.60321327139796,2.12609,1.05095,1.050955
"GRB050726",-10.4166,3.47822,-10.4579,-10.3752,3.44173,3.51471,1.69810054562339,"0.13987908640123647",0.119588335596548,"0.90","0.21",20.8995972811555,14.3682227284407,2.0163,1.62475,1.62475
"GRB050814",-11.2842,3.70038,-11.3554,-11.2131,3.57617,3.8246,2.17868923977559,"-0.14874165128092473",0.152920592219455,"1.80","0.17",20.6450251308765,42.786277159289,1.97267,0.874744,0.874744
"GRB050822",-11.399,4.40868,-11.437,-11.3609,4.36072,4.45664,2.01452053875792,"0.35024801833416286",0.0426539223297837,"2.37","0.14",20.9321260884913,16.3472248307154,2.1128,1.01745,1.0174525
"GRB050922B",-11.4892,5.27032,-11.5873,-11.3912,5.14832,5.39231,2.17868923977559,"0.004321373782642578",0.154798033153634,"2.17","0.26",21.2649712151637,93.6613105076492,2.61464,1.39422,1.39422
"GRB051016A",-11.125,3.3379,-11.1878,-11.0622,3.2291,3.44669,1.36172783601759,"0.14301480025409505",0.118727987858443,"1.89","0.27",21.6708032110514,6.08276253029822,3.23262,0.932183,0.9321825
"GRB060105",-8.89733,2.92025,-8.90787,-8.88679,2.9099,2.93059,1.73559889969818,"0.8715729355458788",0.0210142491243509,"1.07","0.04",21.5320418575274,1.58020250506331,2.05166,1.53134,1.531335
"GRB060108",-11.5749,4.05409,-11.6456,-11.5041,3.95692,4.15126,1.15533603746506,"-0.11350927482751812",0.0676822569199873,"2.03","0.17",20.8823508992935,2.08302088658982,2.00568,1.13879,1.13879
"GRB060109",-11.3666,4.15565,-11.4254,-11.3077,4.09875,4.21255,2.06220580881971,"-0.3279021420642826",0.110883697507213,"1.93","0.24",21.5069715468501,10.9745261292203,2.26511,1.53216,1.532155
"GRB060219",-11.4924,3.90781,-11.6133,-11.3714,3.75205,4.06358,1.79309160017658,"-0.25181197299379954",0.131839396292059,"2.56","0.34",21.5804014551,6.30087866724245,3.21868,1.06824,1.068242
"GRB060312",-11.3551,3.66183,-11.4747,-11.2355,3.52387,3.79979,1.7041505168398,"0.1846914308175988",0.0397393643571603,"1.88","0.09",21.1217597115228,12.3476775316329,1.85164,0.9863,0.9863
"GRB060413",-10.4853,4.54121,-10.5993,-10.3713,4.42835,4.65407,2.16938049531195,"-0.03151705144606486",0.0560379976649357,"1.68","0.08",22.3248851093962,26.8067693610075,1.31375,1.1418,1.141835
"GRB060421",-10.5758,3.24342,-10.682,-10.4697,3.11085,3.37599,1.08635983067475,"0.46834733041215726",0.0265894580757093,"1.55","0.08",22.0952432972889,3.32943478934868,1.55318,1.42445,1.42445
"GRB060510A",-9.89639,4.09985,-9.92544,-9.86735,4.07175,4.12796,1.3096301674259,"1.167317334748176",0.0333845418061683,"1.57","0.07",21.5889179043502,1.13971924174702,1.88675,1.4927,1.492795
"GRB060719",-11.0124,3.78765,-11.0634,-10.9614,3.73221,3.84308,1.82542611776782,"0.3344537511509309",0.0402124520280789,"1.91","0.11",21.523873875843,11.5260985515568,2.57067,1.15629,1.15629
"GRB060805A",-12.0257,3.86318,-12.1342,-11.9172,3.74597,3.98038,0.724275869600789,"-0.46852108295774486",0.140507038262817,"2.20","0.42",20.9841932506923,1.73462734396577,2.29321,1.43902,1.439025
"GRB060807",-11.3182,4.29504,-11.3624,-11.2741,4.25608,4.33399,1.73239375982297,"-0.08092190762392612",0.0837194181982172,"1.58","0.21",21.1668680360146,11.6963052412946,2.11164,1.75608,1.75608
"GRB060813",-9.43514,2.80308,-9.4576,-9.41267,2.76869,2.83747,1.20682587603185,"0.9464522650130731",0.0191600506722023,"1.0","-0.2/0.2",21.6081557627479,3.37232025553383,1.91821,1.08339,1.083385
"GRB060923A",-11.0023,3.72998,-11.0757,-10.9289,3.64733,3.81264,1.71349054309394,"0.12057393120584989",0.085542852496095,"1.70","0.23",21.2185460079791,4.31663248830958,1.95494,1.15018,1.15018
"GRB060923C",-11.3585,3.98473,-11.4606,-11.2563,3.79913,4.17033,1.87966920563205,"-0.017728766960431602",0.162860430713719,"2.27","0.24",21.194356135527,11.1502351458394,2.23639,0.816344,0.816344
"GRB061019",-11.1221,4.18079,-11.1832,-11.061,4.09033,4.27125,2.26434550705009,"0.32633586092875144",0.0901365905836938,"1.92","0.26",22.072744953761,6.405797365844,2.08231,1.02077,1.0207685
"GRB061202",-11.0231,4.68769,-11.0914,-10.9547,4.60119,4.77419,1.95999483832842,"0.3996737214810381",0.0294143673002202,"1.58","0.07",21.8427939002985,36.2314643358444,2.21627,1.47495,1.474955
"GRB070103",-10.9987,3.53314,-11.0682,-10.9293,3.46645,3.59984,1.26951294421792,"0.01703333929878037",0.0626386271975844,"1.95","0.21",21.5213303341844,2.00141552168192,2.31333,1.4608,1.460885
"GRB070107",-9.99381,3.36646,-10.1004,-9.88717,3.2478,3.48513,2.54070478331076,"0.2944662261615929",0.050704431897334,"1.33","0.1",21.5918972083864,32.9090465269772,2.07615,1.07545,1.075445
"GRB070129",-11.6028,4.49461,-11.6383,-11.5673,4.44778,4.54144,2.66332393362821,"-0.2596373105057561",0.0947551596879822,"2.01","0.15",21.2135586610946,24.2660876097569,2.27617,1.08993,1.089925
"GRB070224",-12.3077,4.34243,-12.4451,-12.1703,4.07022,4.61465,1.53781909507327,"-0.46852108295774486",0.140507038262817,"2.42","0.3",20.783454051921,20.2237484161567,2.18172,0.732455,0.732455
"GRB070328",-9.2568,3.02881,-9.26794,-9.24566,3.01584,3.04179,1.8767949762007,"0.6253124509616739",0.0246992122409432,"1.24","0.04",21.3970043998704,9.12248740228675,2.14125,1.41933,1.419335
"GRB070420",-10.1688,3.73139,-10.1957,-10.1419,3.70192,3.76086,1.88366143515362,"0.8524799936368563",0.0463572761582123,"1.2","-0.2/0.2",21.6101158896311,5.60807597683475,1.97643,1.36588,1.365885
"GRB070517",-11.5013,3.81016,-11.6312,-11.3715,3.66311,3.9572,0.880813592280791,"-0.022276394711152253",0.0777158546563714,"1.94","0.25",21.1991710643245,3.16227766016838,2.1231,1.1757,1.175705
"GRB070621",-10.6032,3.27723,-10.6756,-10.5307,3.17351,3.38095,1.52244423350632,"0.3979400086720376",0.0521153378283902,"1.57","0.06",21.6530628976851,2.77631123696316,2.67361,1.08208,1.08208
"GRB070628",-10.3432,3.97958,-10.4665,-10.2199,3.88113,4.07804,1.59217675739587,"0.7075701760979364",0.025546734229603,"1.91","0.09",21.8755826826928,4.03407337007759,2.03993,1.2331,1.233115
"GRB080129",-11.0339,3.99429,-11.106,-10.9617,3.90781,4.08077,1.68124123737559,"-0.6989700043360187",0.217147240951626,"1.34","0.26",21.9206001619667,35.7770876399966,2.00581,1.08095,1.08095
"GRB080205",-9.73889,2.81358,-9.92239,-9.55539,2.68249,2.94466,2.02734960777476,"0.146128035678238",0.0620420688433217,"2.08","0.12",21.3315932887924,4.95726093935357,1.82123,1.56547,1.56547
"GRB080212",-11.2568,4.19497,-11.3078,-11.2059,4.14746,4.24248,2.0899051114394,"0.07918124604762482",0.108573620475813,"0.31","0.64",21.2333880683653,13.2866805477133,2.15526,1.48484,1.484835
"GRB080218B",-11.3313,3.70035,-11.4156,-11.2471,3.56995,3.83074,0.792391689498254,"0.4913616938342727",0.0840569964974036,"0.11","2.44",21.643760521623,0.92329843911248,2.2987,1.18194,1.181945
"GRB080229A",-9.54636,3.68741,-9.56703,-9.52569,3.66398,3.71084,1.80617997398389,"0.7558748556724915",0.0152384028737983,"1.91","0.06",21.4152739093529,16,1.80704,1.27632,1.27632
"GRB080328",-9.62397,3.21924,-9.66289,-9.58505,3.16983,3.26866,1.95712819767681,"0.7403626894942439",0.0236887899219956,"1.52","0.04",21.672850290861,1.42857690277162,1.95126,1.14608,1.14608
"GRB080409",-11.4191,3.60854,-11.5586,-11.2796,3.4457,3.77137,1.30535136944662,"0.568201724066995",0.0352130661002637,"2.10","0.2",21.7301828910411,10.2328170104824,2.07321,1.2996,1.29963
"GRB080605",-8.99918,2.73047,-9.015,-8.98337,2.71291,2.74803,1.30102999566398,"1.2988530764097066",0.0130943059870327,"1.11","0.14",21.7380841782878,0.939105951293475,1.7467,1.29386,1.293855
"GRB080707",-11.568,4.01305,-11.6534,-11.4827,3.8997,4.12641,1.43296929087441,"0.",0.0434294481903252,"1.77","0.19",21.5584229460035,6.13460347783576,2.07126,1.04373,1.0437345
"GRB081126",-9.95186,3.42034,-9.99333,-9.91038,3.36829,3.47239,1.73239375982297,"0.568201724066995",0.0234753774001758,"1.27","0.06",21.6934587288331,5.85040066050243,2.05246,1.41484,1.414845
"GRB081222",-10.7863,4.05592,-10.8488,-10.7238,4.00316,4.10869,1.38021124171161,"0.8864907251724818",0.0112803761533312,"1.08","0.15",21.472879262713,4,1.99296,1.36844,1.36844
"GRB090113",-10.0724,3.04433,-10.1413,-10.0035,2.94916,3.1395,0.959041392321094,"0.3979400086720376",0.0347435585522601,"1.60","0.1",21.4966792341692,0.900222182982103,2.25448,1.27448,1.274485
"GRB090404",-11.1402,4.3431,-11.1753,-11.1051,4.28894,4.39726,1.92427928606188,"0.2787536009528289",0.0457152086213949,"2.32","0.08",21.5865164166267,13.6181431809718,2.57252,0.979951,0.97995
"GRB090407",-11.7256,4.89641,-11.7699,-11.6814,4.85239,4.94043,2.49136169383427,"-0.2218487496163564",0.072382413650542,"1.73","0.29",21.4704149015271,48.109316858525,2.34527,1.44641,1.44641
"GRB090518",-11.0436,3.67955,-11.1011,-10.9861,3.59791,3.76118,0.838849090737255,"0.38021124171160603",0.036191206825271,"1.54","0.14",21.8471393823925,24.4210112852475,2.58544,1.07718,1.077185
"GRB090727",-12.3566,5.35407,-12.4559,-12.2573,5.21857,5.48957,2.48000694295715,"-0.3010299956639812",0.0868588963806504,"1.24","0.24",21.4201277808955,22.9451398031511,1.59799,1.21998,1.21998
"GRB090728",-11.0749,3.64639,-11.1369,-11.0129,3.59735,3.69543,1.77085201164214,"0.",0.130288344570976,"2.05","0.26",20.9836731865922,17.8473098301119,1.87788,1.87025,1.87025
"GRB090807",-11.2763,4.08802,-11.4878,-11.0648,3.96241,4.21363,2.14860265480609,"-0.1549019599857432",0.124084137686643,"2.25","0.14",21.5072971338106,9.19314047743804,2.35238,2.054,2.054065
"GRB090813",-9.61111,3.00808,-9.64409,-9.57812,2.97521,3.04095,0.851258348719075,"0.9294189257142927",0.0306560810755237,"1.69","0.12",21.3222399749312,0.565416659857746,1.89556,1.2342,1.234215
"GRB090904A",-11.7199,4.37117,-11.7883,-11.6514,4.29275,4.44959,2.08635983067475,"0.2787536009528289",0.0457152086213949,"2.01","0.1",21.0032700556617,9.36861675253685,1.56773,1.26809,1.26809
"GRB100302A",-12.0003,4.23746,-12.079,-11.9216,4.11072,4.3642,1.25285303097989,"-0.3010299956639812",0.0868588963806504,"1.72","0.19",16.7286215820148,1.67630069013583,1.9307,0.842899,0.8428985
