dataset,scheme,n,r_all,r_xray,std_xray
ot_baseline (exp08),w=1,296,0.4122085269137411,0.4288194934408591,0.009408894427469418
ot_baseline (exp08),w=0.3,296,0.4043157775967807,0.4355756131328031,0.009228374740390812
ot_baseline (exp08),invvar,296,0.3941282741258772,0.4361189452791964,0.00896345840075719
deming,w=1,229,0.4477654870869749,0.4427937464231094,0.011703820970326784
deming,w=0.3,229,0.44708612472233183,0.4434273436779395,0.011888357579476918
deming,invvar,229,0.4435065777940893,0.44259191313174717,0.01245468242716551
ot_boot_mi,w=1,296,0.4019844404287964,0.4265615830528898,0.009210415276475164
ot_boot_mi,w=0.3,296,0.39630854975072516,0.43552681669442633,0.009180488742750516
ot_boot_mi,invvar,296,0.38916787386632523,0.43610898582061514,0.008960364803723248
bayes_full (emceev2),w=1,296,0.41184872882921103,0.4357224017159672,0.008541490290069207
bayes_full (emceev2),w=0.3,296,0.4099101033536533,0.44093413228528744,0.007835785459448293
bayes_full (emceev2),invvar,296,0.4046659062108299,0.4375130068082952,0.007619164949375928
pseudolabel (on exp08),w=0.3,296,,0.4376436185848018,0.012569219721882612
