experiment,n,mean_r,std,min,max
exp01_xray_only,223,0.4367460147524338,0.0125816475049036,0.4181182161186993,0.4598976099420292
exp12_photonindex_relation,296,0.4132590038351083,0.0094779843291385,0.3941643465885484,0.4275089112195243
exp08_ot_baseline,296,0.4122085269137456,0.0093069564888213,0.3928984614252041,0.4228891383288303
exp13_quantile_mapping,296,0.4109184772267884,0.0087382565585479,0.3972185336646289,0.4235208889184447
exp15_gmm_softcluster,296,0.4106894652596288,0.0092448976784782,0.3917393379727,0.4222271729311677
exp21_cca_ot,296,0.4102066593705949,0.009216047552230754,0.3924644658505123,0.42174317782416026
exp14_kmeans_cluster,296,0.409833717106979,0.0091850529786814,0.3921756556932905,0.4223641317310896
exp20_stacked_ensemble,296,0.4086902964331554,0.0086912924203032,0.390350627563815,0.4202757961466179
exp18_svd_matrix_completion,296,0.4083033522867006,0.0096698638973628,0.382018317675714,0.4176989241607292
exp16_copula,296,0.4044629576359814,0.0089910016826207,0.3863548132766909,0.4158931240545458
exp11_iterative_mice,296,0.4013749723159769,0.0128679143284512,0.3724834039906042,0.418232817301255
exp19_regression_residual_hybrid,296,0.398422618890491,0.0093137227326333,0.3770434266021328,0.4117714468747629
exp17_mlp_multitask,296,0.3975476535549458,0.0087546796457958,0.3766307094881343,0.4080498318176491
