"","PhotonIndex","log10PeakFlux","log10NH","Beta_opt","log10Ta_opt","Alpha_opt","log10Ta","log10Fluence","log10T90","Gamma","log10Fa","log10Fa_opt","Beta","Alpha","PhotonIndexSqr","log10PeakFluxSqr","log10NHSqr","Beta_optSqr","log10Ta_optSqr","Alpha_optSqr","log10TaSqr","log10FluenceSqr","log10T90Sqr","GammaSqr","log10FaSqr","log10Fa_optSqr","BetaSqr","AlphaSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","PhotonIndex_opt","log10PeakFlux_opt","log10NH_opt","Beta_opt_opt","log10Ta_opt_opt","Alpha_opt_opt","log10Ta_opt","log10Fluence_opt","log10T90_opt","Gamma_opt","log10Fa_opt","log10Fa_opt_opt","Beta_opt","Alpha_opt","Redshift_crosscheck","log10z"
"000926A",1.68528474322361,0.49787317309306,21.1545856750033,1.01,5.12,2.14,0,-5.73555346213348,1.397940009,1.99215342891529,0,-12.89,0,0,2.84018466574227,0.247877696485752,447.516495081055,1.0201,26.2144,4.5796,0,32.8965735169914,1.95423626876292,3.96867528433895,0,166.1521,0,0,0.0207895824764161,0,0,0,0,0.03,0.02,0.04,0.16,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",1,0.421321185805902,0.124468293273265,5.28864641875083,0.2525,1.28,0.535,0,-1.43388836553337,0.34948500225,0.498038357228823,0,-3.2225,0,0,2.04,0.482873583608754
"011211A",1.73074257586597,0.0099540052549258,20.9997109050585,0.41,5.23,1.98,0,-5.54501519311092,2.431363764,1.91703135792151,0,-13.52,0,0,2.99546986391517,9.90822206150904e-05,440.987858096033,0.1681,27.3529,3.9204,0,30.7471934918309,5.91152975289225,3.67500922725439,0,182.7904,0,0,0.132471980179598,0,0,0,0,0.06,0.04,0.11,0.15,0.040345966847899,0.171421395586027,0.0900586582057859,"011211A",1,0.432685643966493,0.00248850131373145,5.24992772626462,0.1025,1.3075,0.495,0,-1.38625379827773,0.607840941,0.479257839480377,0,-3.38,0,0,2.14,0.496929648073215
"020124A",1.66001947418774,0.286068555062632,21.1181965423643,1.32,4.454184,1.961572,0,-5.79045330113306,1.661907293,2.02236215224452,0,-12.7747,0,0,2.75566465468254,0.0818352181956221,445.978225201927,1.7424,19.839755105856,3.847764711184,0,33.5293494326027,2.76193585052659,4.08994867483109,0,163.19296009,0,0,0.0761271870594219,0,0,0,0,0.05493,0.065307,0.072088,0.25,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",1,0.415004868546935,0.071517138765658,5.27954913559107,0.33,1.113546,0.490393,0,-1.44761332528327,0.41547682325,0.50559053806113,0,-3.193675,0,0,3.198,0.623042434246382
"021004A",1.67186887883644,0.355429318153098,21.0810752717726,0.67,5.4,1.33,0,-5.46547580308238,2,1.96438080403683,0,-12.92,0,0,2.79514554802181,0.126330000202776,444.411734614142,0.4489,29.16,1.7689,0,29.871425754079,4,3.85879194326838,0,166.9264,0,0,0.201804932759115,0,0,0,0,0.02,0.02,0.03,0.14,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",1,0.41796721970911,0.0888573295382745,5.27026881794315,0.1675,1.35,0.3325,0,-1.3663689507706,0.5,0.491095201009208,0,-3.23,0,0,2.34,0.523746466811564
"030226A",1.69364237204975,0.320464469437468,21.0511868725117,0.57,4.965035,2.121816,0,-5.88907181132459,1.344195716,1.94602716780256,0,-13.1407,0,0,2.8684244844023,0.102697476171838,443.152468741409,0.3249,24.651572551225,4.502103137856,0,34.6811667989379,1.80686212291275,3.78702173782565,0,172.67799649,0,0,0.0711120769415451,0,0,0,0,0.064136,0.032442,0.132162,0.12,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1,0.423410593012437,0.080116117359367,5.26279671812792,0.1425,1.24125875,0.530454,0,-1.47226795283115,0.336048929,0.48650679195064,0,-3.285175,0,0,1.99,0.47567118832443
"030329A",1.63361744707194,0.780376798107853,21.2067839200846,0.41,5.5,1.46,0,-5.15361554086595,1.798650645,1.94924493372129,0,-11.76,0,0,2.66870596337784,0.608987947025065,449.727684233159,0.1681,30.25,2.1316,0,26.559753143055,3.23514414275892,3.79955581163812,0,138.2976,0,0,0.0515724807527089,0,0,0,0,0.09,0.05,0.03,0.17,0.0273643578404255,0.164558266578791,0.0358944155859398,"030329A",1,0.408404361767985,0.195094199526963,5.30169598002115,0.1025,1.375,0.365,0,-1.28840388521649,0.44966266125,0.487311233430323,0,-2.94,0,0,0.17,0.0681858617461616
"050315A",2.11,0.285557309,21.91683806,0,0,0,4.86356,-5.492144128,1.980457892,1.99544,-11.3757179,0,0.856,1.10818,4.4521,0.0815429767233215,480.347790548265,0,0,0,23.6542158736,30.1636471227249,3.92221346198508,3.9817807936,129.40695774038,0,0.732736,1.2280629124,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0,0,0,0,0.019691613,0.09,0.04950507,"050315A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.949,0.469674772551798
"050318A",1.9,0.499687083,20.92661714,0,0,0,4.132084541,-5.966576245,1.505149978,1.98053,-11.15490196,0,0.95,1.874408221,3.61,0.249687180917049,437.923304924142,0,0,0,17.0741226539712,35.6000320873983,2.2654764562734,3.9224990809,124.431837737212,0,0.9025,3.51340617895238,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0,0,0,0,0.030963588,0.1,0.027486993,"050318A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"050319A",2.02,0.181843588,20.93735437,0,0,0,3.73997,-5.882728704,2.183383742,2.01045,-10.70553377,0,0.971,0.863159,4.0804,0.0330670904967137,438.372808014958,0,0,0,13.9873756009,34.6064970048655,4.76716456482992,4.0419092025,114.60845330061,0,0.942841,0.745043459281,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0,0,0,0,0.049065331,0.19,0.060001211,"050319A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0.627365856592733
"050401A",1.4,1.029383778,22.12570242,0,0,0,3.12435,-5.085128182,1.506369717,1.78711,-9.653647026,0,0.9995,0.984108,1.96,1.05963096240955,489.546707578394,0,0,0,9.7615629225,25.8585286273706,2.26914972429466,3.1937621521,93.1929009025986,0,0.99900025,0.968468555664,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0,0,0,0,0.016167167,0.07,0.037341208,"050401A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.591064607026499
