"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3761,0.4829,0.1068,1.37738763733978,2.04018491662944,0.662797279289663,0.218012159610504,0,0,0.404731669881091,0.34334639758436,1.539403243012,1.20468423995715
"011211A",0.3372,0.4969,0.1597,1.17370197515712,2.13978564827282,0.966083673115703,0.307690964078118,0,0,0.372607419222002,0.294634856061337,1.35834544146841,0.970765069368716
"030329A",0.2204,0.0682,-0.1522,0.661116147600014,0.170038089423047,-0.491078058176966,-0.41971117232527,0,0,0.290970629151197,0.169988550235533,0.954207290458699,0.479069393384415
"050315A",0.4501,0.4697,0.0196,1.81903196263647,1.94917130750827,0.130139344871802,0.0441274281153087,0,0,0.475844310101234,0.422342155547539,1.99119213418442,1.64449137889867
"050318A",0.4236,0.3874,-0.0362,1.65216170550788,1.44005715942821,-0.212104546079673,-0.0869260563262283,0,0,0.440136726697806,0.389164252510965,1.75509593950018,1.44998966592494
"050319A",0.4651,0.6274,0.1623,1.91809885374184,3.24033335385019,1.32223450010835,0.311823243544701,0,0,0.476886495475605,0.446579718142101,1.99837877881015,1.79627395838741
"050401A",0.4638,0.5911,0.1273,1.90937699189655,2.90031784475066,0.990940852854109,0.254066692074286,0,0,0.494984242251419,0.424829984147989,2.12596594390282,1.65968365374069
"050416A",0.2127,0.2182,0.0055,0.631924265105621,0.65272272994873,0.0207984648431094,0.0125843642531344,0,0,0.298070092427554,0.138086760124682,0.986415486589418,0.374316498329021
"050502A",0.4451,0.6803,0.2352,1.78676277060111,3.78960832497788,2.00284555437678,0.418164788951928,0,0,0.463301562239932,0.414314818539033,1.90603982882334,1.59606055534666
"050502B",0.462,0.6806,0.2186,1.89734358770132,3.79291801219085,1.89557442448953,0.395494857134654,0,0,0.509347423315885,0.441712724080236,2.23107785911964,1.765111981667
"050505A",0.6146,0.7218,0.1072,3.11718137993871,4.26987118996723,1.15268981002852,0.218732065448395,0,0,0.633245349964614,0.588905178179471,3.29779157275306,2.88065628310942
