"","log10NH","PhotonIndex","log10PeakFlux","Beta","Beta_opt","log10Fluence","Alpha_opt","log10Ta_opt","Gamma","log10Ta","log10Fa","log10T90","Alpha","log10Fa_opt","log10NHSqr","PhotonIndexSqr","log10PeakFluxSqr","BetaSqr","Beta_optSqr","log10FluenceSqr","Alpha_optSqr","log10Ta_optSqr","GammaSqr","log10TaSqr","log10FaSqr","log10T90Sqr","AlphaSqr","log10Fa_optSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","PhotonIndex_opt","log10PeakFlux_opt","Beta_opt","Beta_opt_opt","log10Fluence_opt","Alpha_opt_opt","log10Ta_opt_opt","Gamma_opt","log10Ta_opt","log10Fa_opt","log10T90_opt","Alpha_opt","log10Fa_opt_opt","Redshift_crosscheck","log10z"
"000926A",21.1545856750033,1.68528474322361,0.49787317309306,0,1.01,-5.73555346213348,2.14,5.12,1.99215342891529,0,0,1.397940009,0,-12.89,447.516495081055,2.84018466574227,0.247877696485752,0,1.0201,32.8965735169914,4.5796,26.2144,3.96867528433895,0,0,1.95423626876292,0,166.1521,0.0093822306004846,0,0,0,0,0.03,0.02,0.04,0.16,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",1,5.28864641875083,0.421321185805902,0.124468293273265,0,0.2525,-1.43388836553337,0.535,1.28,0.498038357228823,0,0,0.34948500225,0,-3.2225,2.04,0.482873583608754
"011211A",20.9997109050585,1.73074257586597,0.0099540052549258,0,0.41,-5.54501519311092,1.98,5.23,1.91703135792151,0,0,2.431363764,0,-13.52,440.987858096033,2.99546986391517,9.90822206150904e-05,0,0.1681,30.7471934918309,3.9204,27.3529,3.67500922725439,0,0,5.91152975289225,0,182.7904,0.0777158547080599,0,0,0,0,0.06,0.04,0.11,0.15,0.040345966847899,0.171421395586027,0.0900586582057859,"011211A",1,5.24992772626462,0.432685643966493,0.00248850131373145,0,0.1025,-1.38625379827773,0.495,1.3075,0.479257839480377,0,0,0.607840941,0,-3.38,2.14,0.496929648073215
"020124A",21.1181965423643,1.66001947418774,0.286068555062632,0,1.32,-5.79045330113306,1.961572,4.454184,2.02236215224452,0,0,1.661907293,0,-12.7747,445.978225201927,2.75566465468254,0.0818352181956221,0,1.7424,33.5293494326027,3.847764711184,19.839755105856,4.08994867483109,0,0,2.76193585052659,0,163.19296009,0.0202577864729536,0,0,0,0,0.05493,0.065307,0.072088,0.25,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",1,5.27954913559107,0.415004868546935,0.071517138765658,0,0.33,-1.44761332528327,0.490393,1.113546,0.50559053806113,0,0,0.41547682325,0,-3.193675,3.198,0.623042434246382
"021004A",21.0810752717726,1.67186887883644,0.355429318153098,0,0.67,-5.46547580308238,1.33,5.4,1.96438080403683,0,0,2,0,-12.92,444.411734614142,2.79514554802181,0.126330000202776,0,0.4489,29.871425754079,1.7689,29.16,3.85879194326838,0,0,4,0,166.9264,0.0143797213110485,0,0,0,0,0.02,0.02,0.03,0.14,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",1,5.27026881794315,0.41796721970911,0.0888573295382745,0,0.1675,-1.3663689507706,0.3325,1.35,0.491095201009208,0,0,0.5,0,-3.23,2.34,0.523746466811564
"030226A",21.0511868725117,1.69364237204975,0.320464469437468,0,0.57,-5.88907181132459,2.121816,4.965035,1.94602716780256,0,0,1.344195716,0,-13.1407,443.152468741409,2.8684244844023,0.102697476171838,0,0.3249,34.6811667989379,4.502103137856,24.651572551225,3.78702173782565,0,0,1.80686212291275,0,172.67799649,0.0692396240032236,0,0,0,0,0.064136,0.032442,0.132162,0.12,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1,5.26279671812792,0.423410593012437,0.080116117359367,0,0.1425,-1.47226795283115,0.530454,1.24125875,0.48650679195064,0,0,0.336048929,0,-3.285175,1.99,0.47567118832443
"030329A",21.2067839200846,1.63361744707194,0.780376798107853,0,0.41,-5.15361554086595,1.46,5.5,1.94924493372129,0,0,1.798650645,0,-11.76,449.727684233159,2.66870596337784,0.608987947025065,0,0.1681,26.559753143055,2.1316,30.25,3.79955581163812,0,0,3.23514414275892,0,138.2976,0.0285379269708387,0,0,0,0,0.09,0.05,0.03,0.17,0.0273643578404255,0.164558266578791,0.0358944155859398,"030329A",1,5.30169598002115,0.408404361767985,0.195094199526963,0,0.1025,-1.28840388521649,0.365,1.375,0.487311233430323,0,0,0.44966266125,0,-2.94,0.17,0.0681858617461616
"050315A",21.91683806,2.11,0.285557309,0.856,0,-5.492144128,0,0,1.99544,4.86356,-11.3757179,1.980457892,1.10818,0,480.347790548265,4.4521,0.0815429767233215,0.732736,0,30.1636471227249,0,0,3.9817807936,23.6542158736,129.40695774038,3.92221346198508,1.2280629124,0,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0,0,0,0,0.019691613,0.09,0.04950507,"050315A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.949,0.469674772551798
"050318A",20.92661714,1.9,0.499687083,0.95,0,-5.966576245,0,0,1.98053,4.132084541,-11.15490196,1.505149978,1.874408221,0,437.923304924142,3.61,0.249687180917049,0.9025,0,35.6000320873983,0,0,3.9224990809,17.0741226539712,124.431837737212,2.2654764562734,3.51340617895238,0,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0,0,0,0,0.030963588,0.1,0.027486993,"050318A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"050319A",20.93735437,2.02,0.181843588,0.971,0,-5.882728704,0,0,2.01045,3.73997,-10.70553377,2.183383742,0.863159,0,438.372808014958,4.0804,0.0330670904967137,0.942841,0,34.6064970048655,0,0,4.0419092025,13.9873756009,114.60845330061,4.76716456482992,0.745043459281,0,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0,0,0,0.01,0.049065331,0.19,0.060001211,"050319A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0.627365856592733
"050401A",22.12570242,1.4,1.029383778,0.9995,0,-5.085128182,0,0,1.78711,3.12435,-9.653647026,1.506369717,0.984108,0,489.546707578394,1.96,1.05963096240955,0.99900025,0,25.8585286273706,0,0,3.1937621521,9.7615629225,93.1929009025986,2.26914972429466,0.968468555664,0,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0,0,0.033612,0,0.016167167,0.07,0.037341208,"050401A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.591064607026499
