"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4061,0.4829,0.0768,1.54741674944279,2.04018491662944,0.492768167186648,0.16208493256159,0,0,0.420636950313258,0.38357269133905,1.63412845813042,1.41864813252447
"011211A",0.345,0.4969,0.1519,1.21309470960564,2.13978564827282,0.926690938667182,0.295144650774791,0,0,0.37208496414052,0.31704432702114,1.35551006412898,1.07512530791766
"030329A",0.246,0.0682,-0.1778,0.761976046411629,0.170038089423047,-0.591937956988582,-0.505913407725444,0,0,0.306722390828113,0.193181151201582,1.02638700089437,0.560203152905455
"050315A",0.4218,0.4697,0.0479,1.64119216327174,1.94917130750827,0.307979144236536,0.104429045356726,0,0,0.448892823352383,0.393830514435093,1.81120698570717,1.47645542007845
"050318A",0.3649,0.3874,0.0225,1.31686111155916,1.44005715942821,0.123196047869053,0.0504890007978018,0,0,0.402387038506201,0.320402708476187,1.52573067342061,1.09123437209128
"050319A",0.4355,0.6274,0.1919,1.72583773892853,3.24033335385019,1.51449561492165,0.357164281328614,0,0,0.450750693258044,0.406616079693836,1.82325881795819,1.55044568843027
"050401A",0.5102,0.5911,0.0809,2.23742711634235,2.90031784475066,0.662890728408308,0.169958130284299,0,0,0.550020658275557,0.481491808568259,2.54830267198655,2.03034314052729
"050416A",0.2915,0.2182,-0.0733,0.956590767934937,0.65272272994873,-0.303868037986207,-0.18385905420181,0,0,0.330921955809928,0.235082869588693,1.14250555101596,0.718236219885466
"050502A",0.4517,0.6803,0.2286,1.82943681487211,3.78960832497788,1.96017151010578,0.409255074132774,0,0,0.482134272611709,0.427197764442115,2.03482932983118,1.67422389131958
"050502B",0.4813,0.6806,0.1993,2.02900506816622,3.79291801219085,1.76391294402464,0.368024852404756,0,0,0.505002840415209,0.465750741327802,2.1989160314862,1.92247457339103
"050505A",0.611,0.7218,0.1108,3.08319386332692,4.26987118996723,1.18667732664031,0.22518146722438,0,0,0.621586006750244,0.602484200875114,3.18394538406974,3.00390902313254
"050525A",0.1436,0.2068,0.0632,0.391874248839297,0.609904076215706,0.218029827376409,0.135430321966087,0,0,0.235889252711242,0.0509558619811499,0.721429545773014,0.124490684434573
"050603A",0.2981,0.5821,0.284,0.986552285266775,2.82032226884411,1.83376998357733,0.480004003466484,0,0,0.330917061076332,0.260301944935037,1.14248140395621,0.820966452643886
"050730A",0.4823,0.6961,0.2138,2.0359876459875,3.96706679223423,1.93107914624672,0.388776561101589,0,0,0.525669851803286,0.444492889905539,2.35482485402895,1.78286981345513
"050801A",0.3978,0.4082,0.0104,1.49919417519583,1.559764430599,0.0605702554031704,0.0236624334173581,0,0,0.424934277663565,0.358806868929534,1.66032243935596,1.28458262189821
"050802A",0.4265,0.433,0.00650000000000001,1.66993076712959,1.71019163189084,0.0402608647612541,0.0148553571959651,0,0,0.435278139690605,0.417171604514787,1.72444559423101,1.61319371210403
"050820A",0.5023,0.5581,0.0558000000000001,2.17906933564336,2.61493089917358,0.435861563530212,0.120572585116317,0,0,0.520005056873608,0.485957850632187,2.31134977156673,2.06166627688628
"050824A",0.2155,0.2619,0.0464,0.64247965967464,0.82767932897041,0.18519966929577,0.101330504952474,0,0,0.264345916273628,0.18669780439327,0.838001731896777,0.537084716755102
"050904A",0.7245,0.863,0.1385,4.30273592629214,6.29457510254569,1.99183917625354,0.27305760078588,0,0,0.756250069851263,0.678873256294098,4.70492671461797,3.77389932722867
"050922C",0.3779,0.5049,0.127,1.38726153234149,2.19815862166661,0.810897089325119,0.253551241589934,0,0,0.404569749072972,0.359190096040025,1.53845663742513,1.28659945708606
"051016B",0.3808,0.287,-0.0938,1.40325580493324,0.936421963946607,-0.466833840986637,-0.241080637215654,0,0,0.422214939333545,0.333234351405206,1.64371685164455,1.1539437194831
"051109A",0.5299,0.5245,-0.00540000000000007,2.38766143370822,2.34580017853301,-0.041861255175208,-0.0125115825636552,0,0,0.547016481318673,0.509439789307342,2.52384243643469,2.23176511963294
"051111A",0.4462,0.4065,-0.0397,1.79383015136253,1.54976408779928,-0.244066063563248,-0.0957210373818947,0,0,0.479336397407386,0.416529567527586,2.01534075351144,1.60933336494425
"060115A",0.5917,0.6561,0.0644,2.90571005693756,3.5300187543224,0.624308697384839,0.137815918927299,0,0,0.623731994362881,0.569133459480646,3.20467075642206,2.70794650143854
"060124A",0.5017,0.518,0.0163,2.17468032156787,2.29609712177458,0.121416800206703,0.0368365359760194,0,0,0.545958956647529,0.47780311532096,2.51527217593457,2.00471382565209
"060206A",0.621,0.7031,0.0821,3.17830366646622,4.04777513500947,0.869471468543254,0.172248455069428,0,0,0.646885725721235,0.58556037653392,3.43491934207503,2.85088346750793
"060210A",0.6257,0.6911,0.0654,3.22376745949809,3.91020924883086,0.686441789332775,0.139798887286976,0,0,0.641110764406246,0.604948693999238,3.37633706983071,3.02669461581795
