"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4176,0.4829,0.0653,1.61577268271911,2.04018491662944,0.424412233910335,0.139600795855822,0,0,0.436497319157654,0.401355851447221,1.73210457890654,1.51974070283373
"011211A",0.4401,0.4969,0.0568,1.75486296095247,2.13978564827282,0.384922687320349,0.122595212043247,0,0,0.465211378911274,0.42236914388928,1.91884732365561,1.64465572050942
"030329A",0.2743,0.0682,-0.2061,0.880615451350327,0.170038089423047,-0.71057736192728,-0.607311307512792,0,0,0.318170764716184,0.238082194130051,1.08051458523231,0.730143773474455
"050315A",0.3673,0.4697,0.1024,1.32970000170905,1.94917130750827,0.61947130579922,0.210049278664184,0,0,0.444146629775125,0.327682156535816,1.78065193394706,1.12658211248697
"050318A",0.4383,0.3874,-0.0509,1.74346863852402,1.44005715942821,-0.30341147909581,-0.124346053912487,0,0,0.461423238413281,0.423362870153648,1.89349834578566,1.65071398959166
"050319A",0.4117,0.6274,0.2157,1.58047704443602,3.24033335385019,1.65985630941416,0.391444768819184,0,0,0.430846400939955,0.37184248285878,1.6967854784096,1.3541952703611
"050401A",0.4358,0.5911,0.1553,1.72772133142651,2.90031784475066,1.17259651332415,0.300641270788307,0,0,0.45180700354637,0.412012693463306,1.83013403090133,1.58233566546874
"050416A",0.2744,0.2182,-0.0562,0.881048528918704,0.65272272994873,-0.228325798969974,-0.138151303199574,0,0,0.311576084754332,0.230932524249965,1.04916101435287,0.701894066858409
"050502A",0.4838,0.6803,0.1965,2.04649170525733,3.78960832497788,1.74311661972056,0.36393719516274,0,0,0.498824031061834,0.469137086327836,2.15372652665372,1.94535119583091
"050502B",0.4901,0.6806,0.1905,2.09100708126162,3.79291801219085,1.70191093092923,0.355088680131894,0,0,0.517344062502734,0.467127933748658,2.29112261278896,1.93175675010337
"050505A",0.5934,0.7218,0.1284,2.92102850919461,4.26987118996723,1.34884268077263,0.25595363380808,0,0,0.6181264255591,0.58185222043696,3.15074855666958,2.81814326855666
"050525A",0.3313,0.2068,-0.1245,1.14437136888646,0.609904076215706,-0.534467292670756,-0.331987042313162,0,0,0.354042222493866,0.304229927226082,1.25965544524441,1.01479065212353
"050603A",0.366,0.5821,0.2161,1.32273679635711,2.82032226884411,1.497585472487,0.392005010860018,0,0,0.381647631124985,0.343320946011389,1.40795092247013,1.20455503951838
"050730A",0.4685,0.6961,0.2276,1.94103369374731,3.96706679223423,2.02603309848692,0.407893266435339,0,0,0.51204178596379,0.422653375767011,2.25118577404237,1.64638712978755
"050801A",0.4363,0.4082,-0.0281,1.73086354512083,1.559764430599,-0.171099114521827,-0.0668417423402469,0,0,0.462593328538829,0.395399149497257,1.9013046130797,1.48541634162123
