"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4021,0.4829,0.0808,1.52406189230282,2.04018491662944,0.516123024326626,0.169766984075046,0,0,0.438906654160737,0.371125402670034,1.7473035931656,1.35031137603582
"011211A",0.4102,0.4969,0.0867,1.57157976637274,2.13978564827282,0.568205881900081,0.180969641100388,0,0,0.438444080303563,0.367810984098524,1.74437895487946,1.33244270350686
"030329A",0.2602,0.0682,-0.192,0.820539054811126,0.170038089423047,-0.650500965388079,-0.555965631605075,0,0,0.303837300965121,0.214181882676257,1.01296999291613,0.637502164305615
"050315A",0.4,0.4697,0.0697,1.51188643150958,1.94917130750827,0.437284875998694,0.148273813354082,0,0,0.440221690521286,0.373394286016629,1.7556349893706,1.36262223041934
"050318A",0.4409,0.3874,-0.0535,1.75994228285426,1.44005715942821,-0.319885123426056,-0.131097389333706,0,0,0.464299700854767,0.415010667189313,1.91272645852689,1.60022342935767
"050319A",0.4224,0.6274,0.205,1.64484362685436,3.24033335385019,1.59548972699583,0.376265164517581,0,0,0.449735187162836,0.406928915225707,1.81666493457229,1.55228351391678
"050401A",0.4394,0.5911,0.1517,1.75042622303032,2.90031784475066,1.14989162172034,0.294819978137923,0,0,0.46158718794078,0.43004786310206,1.89459087000635,1.69183145126988
"050416A",0.2782,0.2182,-0.06,0.897579587720849,0.65272272994873,-0.244856857772119,-0.148153621496883,0,0,0.325403986767829,0.23063194792293,1.11545595142123,0.700716589115662
"050502A",0.4955,0.6803,0.1848,2.12968047156367,3.78960832497788,1.65992785341422,0.346568600350401,0,0,0.54528538511341,0.469500691010517,2.50982437000285,1.94781816690727
"050502B",0.4979,0.6806,0.1827,2.14702360170566,3.79291801219085,1.64589441048519,0.343401328021643,0,0,0.519190647904231,0.477489933082984,2.30514599493183,2.00254782119713
"050505A",0.6007,0.7218,0.1211,2.98749360904173,4.26987118996723,1.2823775809255,0.243341352131507,0,0,0.616717562600671,0.593495454000223,3.13730523395948,2.9218904105225
"050525A",0.304,0.2068,-0.0972,1.01372424986239,0.609904076215706,-0.403820173646683,-0.250834928374066,0,0,0.327665890370107,0.286328232201358,1.12650246448155,0.933429016920464
"050603A",0.344,0.5821,0.2381,1.2080047330189,2.82032226884411,1.61231753582521,0.422037048804534,0,0,0.373823112776397,0.327402063183522,1.36495625961519,1.12521103939542
"050730A",0.481,0.6961,0.2151,2.02691342810131,3.96706679223423,1.94015336413292,0.39060343765988,0,0,0.522265474279169,0.436754360463656,2.32862962630349,1.73372207951982
"050801A",0.4213,0.4082,-0.0131,1.63815312816521,1.559764430599,-0.0783886975662131,-0.0306234029308196,0,0,0.448696714558658,0.36436218706711,1.80993785155904,1.31399377909693
"050802A",0.4475,0.433,-0.0145,1.80220562166675,1.71019163189084,-0.092013989775904,-0.0339511009823714,0,0,0.469275918108945,0.431891569006657,1.94629289261682,1.70328334679761
"050820A",0.438,0.5581,0.1201,1.74157417192788,2.61493089917358,0.873356727245693,0.241597073804469,0,0,0.455785227583072,0.418120305661596,1.85617772344912,1.61890838209175
"050824A",0.2056,0.2619,0.0563,0.605461886800972,0.82767932897041,0.222217442169438,0.121584480738544,0,0,0.275761897442151,0.160002940402342,0.886956538889377,0.445449557167474
"050904A",0.6898,0.863,0.1732,3.89553319813954,6.29457510254569,2.39904190440614,0.328880280301579,0,0,0.762546492726651,0.645988346626724,4.78823950138649,3.42576496599685
"050922C",0.3671,0.5049,0.1378,1.32862738220876,2.19815862166661,0.869531239457846,0.271884963293259,0,0,0.384486262056923,0.353140202685079,1.42374129365974,1.25496706254904
"051016B",0.4039,0.287,-0.1169,1.53454496275838,0.936421963946607,-0.59812299881177,-0.308880507424498,0,0,0.417421981947371,0.388220007800141,1.6147006927326,1.44466867564961
"051109A",0.4944,0.5245,0.0301,2.12176351084817,2.34580017853301,0.224036667684843,0.0669605642089104,0,0,0.516279291028243,0.472794017562758,2.28306356219955,1.97025692823654
"051111A",0.4812,0.4065,-0.0747,2.02830769426578,1.54976408779928,-0.478543606466497,-0.187681522677469,0,0,0.505199416713388,0.452525126013565,2.20036429627977,1.83481763650828
"060115A",0.5721,0.6561,0.084,2.73336111716081,3.5300187543224,0.796657637161589,0.175861884986998,0,0,0.590964188189455,0.547458084994669,2.89909833486963,2.52742740762939
"060124A",0.4331,0.518,0.0849,1.71081574842723,2.29609712177458,0.585281373347346,0.177567999887163,0,0,0.463746077218303,0.408223322625517,1.90901578085659,1.55990189960395
"060206A",0.5798,0.7031,0.1233,2.80014352941586,4.04777513500947,1.24763160559361,0.247164656155245,0,0,0.598207498964073,0.55836132620701,2.96467414806171,2.61710675103194
"060210A",0.5775,0.6911,0.1136,2.78007137301811,3.91020924883086,1.13013787581275,0.230160838070565,0,0,0.613400830529715,0.541217513220059,3.1058287415362,2.47710265987824
"060223A",0.7472,0.7332,-0.014,4.5872743899402,4.41003406863468,-0.177240321305525,-0.0327614057613975,0,0,0.781463018959025,0.708558861125957,5.04592866864814,4.11162353582883
"060306A",0.4081,0.4081,0,1.55917509090989,1.55917509090989,0,0,0,0,0.426826063464694,0.391365163907823,1.67193607412859,1.46243720278375
"060502A",0.5018,0.3984,-0.1034,2.17541140289184,1.50264932573108,-0.672762077160759,-0.268819954215611,0,0,0.517154130521638,0.483226109363638,2.28968360585418,2.04246863225042
"060510B",0.5761,0.7709,0.1948,2.76790548226103,4.90065196995666,2.13274648769564,0.36144251492116,0,0,0.6195238396095,0.557074870428782,3.16412578420816,2.6064081052762
"060512A",0.3489,0.1584,-0.1905,1.23305798302641,0.44012437117557,-0.792933611850837,-0.550600786794245,0,0,0.370311318558621,0.310650166099988,1.3459098488202,1.04479684364277
"060526A",0.476,0.6254,0.1494,1.99226463660819,3.22085079179884,1.22858615519066,0.291075476436602,0,0,0.500470716575597,0.459663287300391,2.16570700028472,1.88179635227123
"060614A",0.329,0.0512,-0.2778,1.13304491314658,0.125122992965767,-1.00792192018081,-0.895832656947112,0,0,0.356372442295285,0.28805493969412,1.27181227767599,0.941131421632123
"060707A",0.5598,0.6459,0.0861000000000001,2.62910889640948,3.42486474355665,0.795755847147173,0.179837326848448,0,0,0.578217894672882,0.545778656837096,2.78632504958341,2.51381309370322
"060708A",0.4802,0.4654,-0.0148,2.0213427798433,1.92011530139416,-0.10122747844914,-0.0346655758424372,0,0,0.503558875215877,0.466575307254921,2.18829776860697,1.92802855149245
"060714A",0.5747,0.5695,-0.00519999999999998,2.75577874655772,2.71107729492926,-0.0447014516284656,-0.0120454110965419,0,0,0.602968978865337,0.559081575114093,3.00838085220405,2.62311046228895
"060729A",0.3408,0.1875,-0.1533,1.19179534384413,0.539926526059492,-0.651868817784638,-0.423311636466644,0,0,0.362425467085289,0.314975424557073,1.30369758528486,1.06526328535011
"060904B",0.4792,0.2304,-0.2488,2.01439388427947,0.699808513203497,-1.31458537107597,-0.773372624542558,0,0,0.523939619501428,0.461735165690288,2.34148579706454,1.89557731593744
"060906A",0.692,0.6708,-0.0212,3.92039535681451,3.68597535308626,-0.23442000372825,-0.0500258721108844,0,0,0.726392041518254,0.657652857068224,4.32588815026232,3.54624521612537
"060908A",0.5294,0.4599,-0.0695,2.38376348861765,1.88336750678026,-0.500395981837388,-0.17354568249129,0,0,0.540715703779127,0.511632005244716,2.4730873307515,2.24811954833392
"060912A",0.3724,0.2871,-0.0853,1.35721936365101,0.9368678929189,-0.420351470732107,-0.217026402404053,0,0,0.404065308384349,0.351229189317861,1.53550988702127,1.24506639540534
"060926A",0.6347,0.6232,-0.0115000000000001,3.31221096940127,3.19952334664066,-0.112687622760617,-0.0268334316680866,0,0,0.658511291455471,0.606089563091892,3.55524029425657,3.03728643984852
"060927A",0.6601,0.8109,0.1508,3.57193450178139,5.46993622808681,1.89800172630542,0.293357099574792,0,0,0.682381250625805,0.637051072581696,3.81261644377182,3.33561861816003
"061007A",0.4165,0.3541,-0.0624,1.60915572301414,1.25995608443438,-0.34919963857976,-0.15451611692143,0,0,0.46214467176303,0.386269142888872,1.89830890880459,1.43371177240387
"061121A",0.3501,0.3644,0.0143,1.23923668251236,1.31419526151125,0.0749585789988969,0.032390775422272,0,0,0.364272306110649,0.333895561748191,1.31351492785145,1.15722558156097
"061222A",0.5418,0.4897,-0.0520999999999999,2.48176936705534,2.08816146918451,-0.39360789787083,-0.127457032865179,0,0,0.560146505183868,0.506566376276325,2.63200556419209,2.21045344286702
"070110A",0.4686,0.5253,0.0567,1.94171096975272,2.35196905022163,0.41025808046891,0.12239315886338,0,0,0.486683996163983,0.452596811610642,2.06678970128383,1.83528559632788
"070125A",0.3792,0.4065,0.0273,1.39441817286338,1.54976408779928,0.155345914935902,0.0609256031486357,0,0,0.400109088979088,0.351833880157985,1.51251746311526,1.24819449555089
"070208A",0.5803,0.3355,-0.2448,2.80452112580041,1.16520987930793,-1.63931124649248,-0.757114246595095,0,0,0.589562017554147,0.563037283554551,2.88652993909778,2.65626178745654
"070223A",0.5302,0.4199,-0.1103,2.39000235575617,1.62966242003022,-0.760339935725951,-0.289139750385607,0,0,0.561229632839392,0.494512257709879,2.64107506774129,2.122570537722
"070306A",0.5981,0.3972,-0.2009,2.9636929115081,1.49574379483157,-1.46794911667653,-0.588181014299827,0,0,0.615885378163822,0.570769411447992,3.12938502180296,2.72194037447334
"070411A",0.6762,0.5966,-0.0796,3.74460432060765,2.95002641597884,-0.794577904628814,-0.201157617937579,0,0,0.696256771202958,0.639157202989584,3.96886012286929,3.35669545873262
"070508A",0.3985,0.2601,-0.1384,1.50322564838317,0.820119908460103,-0.683105739923069,-0.375308097421452,0,0,0.421769730097604,0.37734115058153,1.64100808116566,1.38419158379002
"070521A",0.5534,0.4895,-0.0639,2.57602050180902,2.08673964568386,-0.489280856125165,-0.158510568524728,0,0,0.578284696916247,0.524740814362993,2.78690749875539,2.34765592433856
"070612A",0.4029,0.223,-0.1799,1.52871567110516,0.671090614310708,-0.857625056794456,-0.513212778200068,0,0,0.468421277263656,0.296939987209879,1.94050063323866,0.98125322829072
"070721B",0.5804,0.6652,0.0848,2.80539725002709,3.6259400476616,0.820542797634514,0.17737860611689,0,0,0.602403699432927,0.554444440119722,3.0031669216481,2.58463086675694
"070802A",0.6172,0.5378,-0.0794,3.14190372622101,2.44984831362751,-0.692055412593502,-0.200604591761256,0,0,0.638971742619012,0.601566958283035,3.35483538016795,2.99546157445404
"070810A",0.5289,0.5011,-0.0278,2.37987002861989,2.17029736695272,-0.209572661667167,-0.0661050486467797,0,0,0.543483872366724,0.510463499274987,2.49529529491842,2.23939195488883
"071003A",0.3803,0.4157,0.0354,1.40049054655382,1.60435390455169,0.203863357997871,0.0782779013411249,0,0,0.418092396314956,0.340961744648974,1.61874008689951,1.19261178800109
"071010B",0.3234,0.2894,-0.034,1.10571698391175,0.9471526498539,-0.158564334057854,-0.081433951297938,0,0,0.373430762140992,0.274042682392018,1.3628206739296,0.879501524834959
"071020A",0.3677,0.4976,0.1299,1.33184672315709,2.14485046547696,0.813003742319867,0.258519046054727,0,0,0.385843441411422,0.340175062507693,1.43132738315091,1.18864368037533
"071112C",0.4805,0.2601,-0.2204,2.02343057051134,0.820119908460103,-1.20331066205123,-0.661116147600013,0,0,0.497452477307296,0.44572749084401,2.1437823929105,1.79079213797057
"071117A",0.489,0.3675,-0.1215,2.08318795024935,1.33077311528264,-0.752414834966716,-0.322817708009935,0,0,0.521243070327777,0.45230693322338,2.32080267592328,1.8333937606756
"080310A",0.3843,0.534,0.1497,1.42270201210924,2.41979442513709,0.99709241302785,0.291565015048494,0,0,0.407048467851145,0.35875847535947,1.55298620347405,1.28432806432449
"080319B",0.2048,0.2871,0.0823,0.602507238881419,0.9368678929189,0.334360654037481,0.172629560983425,0,0,0.269316537836423,0.0853625447360006,0.859159019302377,0.217201684567591
"080319C",0.5676,0.4698,-0.0978,2.69487712253932,1.94985045748424,-0.745026665055082,-0.25256421496379,0,0,0.595024942938278,0.514867299325424,2.93572678959959,2.2724068970465
"080330A",0.381,0.3997,0.0187,1.40436280000693,1.51015188099533,0.105789080988397,0.0421444940401173,0,0,0.402860135433616,0.364503118926165,1.52848356701105,1.31474480951043
"080411A",0.1802,0.3075,0.1273,0.514258429669395,1.03001851985968,0.515760090190289,0.254066692074286,0,0,0.203481056343811,0.147911432617462,0.597647839129979,0.405760812561965
"080413B",0.3447,0.3222,-0.0225,1.21156648582988,1.09990670376243,-0.111659782067457,-0.053173687129716,0,0,0.36836125841754,0.318212110262192,1.33539990613859,1.08071266305702
"080516A",0.528,0.6232,0.0952,2.37287308658869,3.19952334664066,0.826650260051969,0.196843830077343,0,0,0.548644017039769,0.485440864754925,2.53707295057368,2.05802382560675
"080603A",0.4256,0.4298,0.00420000000000004,1.6644035277249,1.69029559170462,0.0258920639797195,0.00962424503075289,0,0,0.441395599976991,0.405163678561869,1.76309361942784,1.5419305375248
"080603B",0.4275,0.5669,0.1394,1.67608559319933,2.68892648118996,1.01284088799063,0.274562502981602,0,0,0.441686754568551,0.418077774295845,1.76494664118035,1.61865191948178
"080710A",0.5053,0.266,-0.2393,2.20110559153497,0.845015419179474,-1.3560901723555,-0.73500208088157,0,0,0.525837267093968,0.48169719196807,2.35611834789061,2.03177656736592
"080810A",0.4795,0.6385,0.159,2.01647687316222,3.35010760630697,1.33363073314475,0.306574193983431,0,0,0.50512187279836,0.463080474310004,2.19979291756496,1.90456081666208
"080928A",0.4876,0.4301,-0.0575,2.07326492920429,1.69215462407529,-0.381110305129004,-0.141563304618846,0,0,0.502749621180976,0.473840254260654,2.18236230190161,1.97742104868541
"081007A",0.3713,0.1845,-0.1868,1.35125645041772,0.529325746418779,-0.821930703998941,-0.537446456991688,0,0,0.394857292286731,0.346894584127945,1.48231729011206,1.22277029432086
"081008A",0.481,0.4725,-0.00850000000000001,2.02691342810131,1.96824674346324,-0.0586666846380637,-0.019764760044717,0,0,0.497436938511188,0.464383006079198,2.14366991227412,1.91328522363841
"081028A",0.4648,0.6062,0.1414,1.91608379852123,3.03831321348852,1.12222941496728,0.277895585517954,0,0,0.480362902679511,0.416110838266925,2.02247628988132,1.60681876316376
"081029A",0.5418,0.6856,0.1438,2.48176936705534,3.84841738708446,1.36664802002912,0.281875076116526,0,0,0.579727610415736,0.505819340643936,2.79951016220428,2.20493584661273
"081203A",0.498,0.4914,-0.0066,2.14774831410132,2.10027344199819,-0.0474748721031246,-0.0153131241457612,0,0,0.535451996079502,0.466574373259483,2.43124711058287,1.92802225446938
"081228A",0.447,0.6474,0.2004,1.79898131963436,3.44017410806895,1.64119278843458,0.369623521170513,0,0,0.466564010682122,0.426395966723941,1.92795239059497,1.66929127390434
"081230A",0.4651,0.4914,0.0263,1.91809885374184,2.10027344199819,0.18217458825635,0.0587608130910333,0,0,0.481256591547744,0.449130269662688,2.02870232922631,1.81274440620148
"090102A",0.4382,0.406,-0.0322,1.74283700424738,1.54683025258504,-0.196006751662334,-0.0769610583443427,0,0,0.475416165858067,0.410484132911454,1.98824475472106,1.57326274772672
"090205A",0.5147,0.752,0.2373,2.27114654018266,4.64936974812302,2.37822320794036,0.420971420525363,0,0,0.541328414399304,0.499602698218622,2.47799068411244,2.15938606450164
"090418A",0.5676,0.4163,-0.1513,2.69487712253932,1.6079544390266,-1.08692268351272,-0.416772113518365,0,0,0.585901839632448,0.55562790693024,2.85391240691069,2.59441242577328
"090423A",0.8205,0.9666,0.1461,5.6145453748406,8.25976574561247,2.64522037077186,0.285668173843949,0,0,0.871381721718031,0.781040827253234,6.43672499236784,5.04005408183624
"090424A",0.3305,0.1886,-0.1419,1.14042492677163,0.54383186282482,-0.59659306394681,-0.38643655330134,0,0,0.384405055172448,0.316296010334851,1.42328813091674,1.0715528152959
"090519A",0.818,0.6857,-0.1323,5.5765783735542,3.84953390498341,-1.72704446857079,-0.356125867435645,0,0,0.86367582897865,0.793963041849613,6.30593541971979,5.22247330112374
"090726A",0.5391,0.5694,0.0303,2.46019042482949,2.71022288617465,0.250032461345164,0.0673901458257014,0,0,0.567261268730598,0.511409235097765,2.69199639871921,2.24645386168408
"090809A",0.5532,0.5725,0.0193,2.57437406264481,2.73680125382116,0.162427191176349,0.0434669066250861,0,0,0.583517661822018,0.496317186927503,2.83281327309886,2.13557495507065
"090927A",0.3621,0.3747,0.0126,1.30197180498536,1.36973618438321,0.0677643793978535,0.0285957482712326,0,0,0.391041288743731,0.336258948870394,1.46060152449612,1.16899698771675
"091018A",0.3065,0.2947,-0.0118,1.02534960682497,0.971060705241034,-0.0542889015839383,-0.0275429881178112,0,0,0.327884681437005,0.282095611870742,1.12757403452789,0.914677403409891
"091020A",0.4631,0.433,-0.0301,1.90469140738191,1.71019163189084,-0.194499775491067,-0.0717660600831272,0,0,0.477266742252964,0.444974309356305,2.0010051606299,1.78595636080424
"091029A",0.4538,0.5743,0.1205,1.84315148627376,2.7523211390275,0.90916965275374,0.242295267134138,0,0,0.463375928995126,0.442072983885024,1.90653748943317,1.76740667347112
"091109A",0.639,0.6102,-0.0288,3.35511873685569,3.07567926559489,-0.279439471260792,-0.0685626745999613,0,0,0.655969044955098,0.615280209446128,3.52865300043093,3.12363492722472
"091127A",0.1622,0.1732,0.011,0.452780493703143,0.490047111787099,0.0372666180839565,0.025010362282613,0,0,0.204960229180086,0.131104542273611,0.603098579098104,0.352398069871556
"100219A",0.5871,0.7536,0.1665,2.86455951581426,4.67022118160543,1.80566166579117,0.318446425273296,0,0,0.625655448339357,0.542681752433422,3.22333419080427,2.48884561931209
"100316B",0.4366,0.3385,-0.0981,1.73275061052209,1.18021839718595,-0.55253221333614,-0.253429754582984,0,0,0.467053749343282,0.406617985479527,1.93125600218714,1.5504568804066
"100418A",0.2064,0.2105,0.00409999999999999,0.608421982399086,0.623678350482441,0.0152563680833551,0.00939617632939552,0,0,0.257677137111834,0.173775336725055,0.809994007898775,0.49202237732042
"100425A",0.463,0.4401,-0.0229,1.90402265446445,1.75486296095247,-0.14915969351198,-0.0541441427853855,0,0,0.49737519216639,0.44380299230998,2.14322298896251,1.77845260080937
"100513A",0.6668,0.7613,0.0945,3.64301407281803,4.77165017190231,1.12863609908428,0.195548251447868,0,0,0.684275040667203,0.650384800893453,3.83364822264092,3.47079545640805
"100728A",0.4027,0.4094,0.00669999999999998,1.52755142260212,1.56684710166787,0.0392956790657446,0.0153089286230611,0,0,0.426949450084225,0.373618380820776,1.67269530089873,1.36384165182421
"100814A",0.301,0.3874,0.0864,0.999861869632744,1.44005715942821,0.440195289795464,0.180403679518154,0,0,0.342048286754101,0.273528192364971,1.19810425401398,0.877276278408751
"100901A",0.4207,0.3817,-0.039,1.63451090146603,1.40824129982783,-0.226269601638207,-0.0939563662720938,0,0,0.432140875333596,0.39601121273467,1.70483560948088,1.48892157711634
"100906A",0.4071,0.4357,0.0286,1.55328915153389,1.7270933226839,0.173804171150012,0.0637323885120882,0,0,0.459068141721697,0.354455601821779,1.87784992004585,1.26180730207017
"101219B",0.4704,0.1903,-0.2801,1.95392864296028,0.549886873140185,-1.4040417698201,-0.905899517024364,0,0,0.502942095054398,0.436510245717,2.18377299758256,1.73218589985131
"101225A",0.3906,0.1239,-0.2667,1.45810256508934,0.330148104794079,-1.12795446029526,-0.847991630578524,0,0,0.419862774328293,0.359465049529957,1.62943702744806,1.28804757026246
"110213A",0.4219,0.3909,-0.031,1.64180039026406,1.45980114878885,-0.181999241475206,-0.0739894123412447,0,0,0.4459283110427,0.378116046736672,1.79208291428019,1.38844940921528
"110422A",0.4084,0.4425,0.0341,1.56094351715677,1.77012903916373,0.209185522006965,0.0755147211734641,0,0,0.44743609273457,0.382175664659419,1.80179330207605,1.41088039120964
"110503A",0.4376,0.4171,-0.0205,1.73905025128686,1.6127628960311,-0.126287355255763,-0.0483347935810015,0,0,0.476390578789763,0.417662691380392,1.99495691303205,1.61615030261431
"110715A",0.3887,0.2601,-0.1286,1.44737207306725,0.820119908460103,-0.627252164607151,-0.344621341534489,0,0,0.441274513831249,0.34879468462289,1.76232334549224,1.2325165374383
"110731A",0.4253,0.5832,0.1579,1.66256365851297,2.83001081226449,1.16744715375151,0.304815628721754,0,0,0.459834773202501,0.356042870595443,1.8829344856076,1.27008892855277
"110801A",0.4491,0.4561,0.00700000000000001,1.81254836904023,1.85824860367274,0.0457002346325108,0.0159888942388664,0,0,0.471243597126851,0.430376220924614,1.95967209035284,1.69386743877365
"110818A",0.6293,0.6395,0.0102,3.25892507667207,3.36013564000399,0.101210563331919,0.0232127098073092,0,0,0.645642610042179,0.614229840351687,3.42224307008942,3.11367370212445
"111107A",0.4742,0.5903,0.1161,1.97988840281942,2.89313980701564,0.913251404196222,0.234579657928157,0,0,0.492817960095388,0.459503913171798,2.11041229603081,1.88073900630067
"111209A",0.4461,0.2245,-0.2216,1.79318692225397,0.676872335748593,-1.11631458650538,-0.66571232806881,0,0,0.477444261899852,0.399820185159905,2.00223208450933,1.51084662791242
"111228A",0.2619,0.234,-0.0279,0.82767932897041,0.713957307508425,-0.113722021461985,-0.0663505566701086,0,0,0.281222685587184,0.232219150129798,0.910832791732521,0.706943515594978
"120118B",0.4421,0.5958,0.1537,1.76757883062595,2.94275689595591,1.17517806532996,0.29805998603042,0,0,0.462670055746727,0.428376377329642,1.90181723453111,1.68149120788321
"120327A",0.5508,0.5813,0.0305000000000001,2.5546758199907,2.81329145276777,0.258615632777077,0.067819529658392,0,0,0.580865766829493,0.530797635512517,2.80948060512761,2.39467057169185
"120404A",0.5365,0.5884,0.0519000000000001,2.4395371138064,2.87614486700241,0.436607753196014,0.112639689221332,0,0,0.564305141148336,0.497184806183812,2.6669512908983,2.14184536508648
"120729A",0.5169,0.2553,-0.2616,2.28775918706697,0.800113960418011,-1.48764522664896,-0.826417248774354,0,0,0.539259895385539,0.493900862640667,2.4614646071338,2.11817770954274
"120802A",0.626,0.6809,0.0549,3.22668614265603,3.79622998644458,0.569543843788552,0.118748234633918,0,0,0.677503703223743,0.5930924023123,3.75886848852864,2.91825234617157
