"","PhotonIndex","log10PeakFlux","log10Ta","log10NH","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","PhotonIndexSqr","log10PeakFluxSqr","log10TaSqr","log10NHSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","PhotonIndex_opt","log10PeakFlux_opt","log10Ta_opt","log10NH_opt","log10Fa_opt","Alpha_opt","log10T90_opt","Beta_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"000926A",1.68528474322361,0.49787317309306,3.90799741592681,21.1545856750033,-10.7464169549318,1.55996736072362,1.397940009,0.893104059798203,1.99215342891529,-5.73555346213348,2.84018466574227,0.247877696485752,15.2724438028906,447.516495081055,115.485477369246,2.43349816652302,1.95423626876292,0.797634861628032,3.96867528433895,32.8965735169914,0.15117163716416,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",1,0.421321185805902,0.124468293273265,0.976999353981702,5.28864641875083,-2.68660423873295,0.389991840180905,0.34948500225,0.223276014949551,0.498038357228823,-1.43388836553337,2.04,0.482873583608754
"011211A",1.73074257586597,0.0099540052549258,3.95793560240018,20.9997109050585,-10.9970932823433,1.52936871912788,2.431363764,0.767844692191276,1.91703135792151,-5.54501519311092,2.99546986391517,9.90822206150904e-05,15.6652542327469,440.987858096033,120.93606066056,2.33896867904685,5.91152975289225,0.589585471326315,3.67500922725439,30.7471934918309,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.040345966847899,0.171421395586027,0.0900586582057859,"011211A",1,0.432685643966493,0.00248850131373145,0.989483900600045,5.24992772626462,-2.74927332058583,0.38234217978197,0.607840941,0.191961173047819,0.479257839480377,-1.38625379827773,2.14,0.496929648073215
"020124A",1.66001947418774,0.286068555062632,3.63469002637735,21.1181965423643,-10.709151383949,1.51865881617508,1.661907293,0.926734114971567,2.02236215224452,-5.79045330113306,2.75566465468254,0.0818352181956221,13.210971587847,445.978225201927,114.685923364337,2.3063245999463,2.76193585052659,0.858836119852134,4.08994867483109,33.5293494326027,0.0711120769415451,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",1,0.415004868546935,0.071517138765658,0.908672506594338,5.27954913559107,-2.67728784598725,0.37966470404377,0.41547682325,0.231683528742892,0.50559053806113,-1.44761332528327,3.198,0.623042434246382
"021004A",1.67186887883644,0.355429318153098,4.31114281672062,21.0810752717726,-10.8079836345293,1.13770741864959,2,0.923658837577518,1.96438080403683,-5.46547580308238,2.79514554802181,0.126330000202776,18.5859523861618,444.411734614142,116.812510244253,1.29437817045031,4,0.853145648235052,3.85879194326838,29.871425754079,0.0937486856135703,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",1,0.41796721970911,0.0888573295382745,1.07778570418016,5.27026881794315,-2.70199590863233,0.284426854662397,0.5,0.23091470939438,0.491095201009208,-1.3663689507706,2.34,0.523746466811564
"030226A",1.69364237204975,0.320464469437468,3.83509710015788,21.0511868725117,-10.8430824760775,1.6342065708526,1.344195716,0.790045290376858,1.94602716780256,-5.88907181132459,2.8684244844023,0.102697476171838,14.7079697676394,443.152468741409,117.572437583019,2.67063111621781,1.80686212291275,0.624171560846654,3.78702173782565,34.6811667989379,0.0226602223323686,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1,0.423410593012437,0.080116117359367,0.95877427503947,5.26279671812792,-2.71077061901937,0.40855164271315,0.336048929,0.197511322594215,0.48650679195064,-1.47226795283115,1.99,0.47567118832443
"030329A",1.63361744707194,0.780376798107853,4.52703806327568,21.2067839200846,-10.361404687603,1.27999772221432,1.798650645,0.948093777746705,1.94924493372129,-5.15361554086595,2.66870596337784,0.608987947025065,20.4940736263468,449.727684233159,107.358707100281,1.63839416887385,3.23514414275892,0.898881811402019,3.79955581163812,26.559753143055,0.0664439832683159,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.0273643578404255,0.164558266578791,0.0358944155859398,"030329A",1,0.408404361767985,0.195094199526963,1.13175951581892,5.30169598002115,-2.59035117190075,0.31999943055358,0.44966266125,0.237023444436676,0.487311233430323,-1.28840388521649,0.17,0.0681858617461616
"050315A",2.11,0.285557309,4.86356,21.91683806,-11.3757179,1.10818,1.980457892,0.856,1.99544,-5.492144128,4.4521,0.0815429767233215,23.6542158736,480.347790548265,129.40695774038,1.2280629124,3.92221346198508,0.732736,3.9817807936,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0.019691613,0.09,0.04950507,"050315A",0,0,0,0,0,0,0,0,0,0,0,1.949,0.469674772551798
"050318A",1.9,0.499687083,4.132084541,20.92661714,-11.15490196,1.874408221,1.505149978,0.95,1.98053,-5.966576245,3.61,0.249687180917049,17.0741226539712,437.923304924142,124.431837737212,3.51340617895238,2.2654764562734,0.9025,3.9224990809,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0.030963588,0.1,0.027486993,"050318A",0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"050319A",2.02,0.181843588,3.73997,20.93735437,-10.70553377,0.863159,2.183383742,0.971,2.01045,-5.882728704,4.0804,0.0330670904967137,13.9873756009,438.372808014958,114.60845330061,0.745043459281,4.76716456482992,0.942841,4.0419092025,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0.049065331,0.19,0.060001211,"050319A",0,0,0,0,0,0,0,0,0,0,0,3.24,0.627365856592733
"050401A",1.4,1.029383778,3.12435,22.12570242,-9.653647026,0.984108,1.506369717,0.9995,1.78711,-5.085128182,1.96,1.05963096240955,9.7615629225,489.546707578394,93.1929009025986,0.968468555664,2.26914972429466,0.99900025,3.1937621521,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0.016167167,0.07,0.037341208,"050401A",0,0,0,0,0,0,0,0,0,0,0,2.9,0.591064607026499
