"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4481,0.4829,0.0348,1.80607968729545,2.04018491662944,0.23410522933399,0.0770036151595462,0,0,0.468460675061526,0.42407018502306,1.94076739809363,1.65503459945113
"011211A",0.4944,0.4969,0.0025,2.12176351084817,2.13978564827282,0.0180221374246541,0.00573992604704336,0,0,0.509309804719974,0.47294149212306,2.23079799521787,1.97126571774208
"030329A",0.2413,0.0682,-0.1731,0.743010486619499,0.170038089423047,-0.572972397196451,-0.489704055257712,0,0,0.271990939228958,0.227981054155048,0.870643112364154,0.690367188746314
"050315A",0.3926,0.4697,0.0771,1.46944865101258,1.94917130750827,0.479722656495694,0.162663543916344,0,0,0.431629616023761,0.371579330627997,1.7016533016399,1.3527692239564
"050318A",0.4509,0.3874,-0.0635,1.82422959714411,1.44005715942821,-0.384172437715907,-0.157444032092237,0,0,0.463147044248961,0.408398384808025,1.90500607043389,1.560933992726
"050319A",0.4215,0.6274,0.2059,1.63936832236573,3.24033335385019,1.60096503148446,0.377556408396711,0,0,0.446435891835889,0.383924032107113,1.79534806320884,1.42060559122849
"050401A",0.4269,0.5911,0.1642,1.6723909970469,2.90031784475066,1.22792684770375,0.314827379865051,0,0,0.436820306583075,0.411689442815807,1.73413721730822,1.5804143168595
"050416A",0.2297,0.2182,-0.0115,0.697070952389103,0.65272272994873,-0.0443482224403724,-0.0268334316680864,0,0,0.289793912278787,0.133740589364523,0.948919550698342,0.360631713874107
"050502A",0.5041,0.6803,0.1762,2.19227281846219,3.78960832497788,1.5973355065157,0.333500235955739,0,0,0.525481613695945,0.482561726899461,2.35337107308326,2.03781783068184
"050502B",0.5025,0.6806,0.1781,2.18053368832952,3.79291801219085,1.61238432386133,0.3364097444939,0,0,0.513445667921424,0.49019854645441,2.26171242438193,2.09170854619669
"050505A",0.5935,0.7218,0.1283,2.9219314633265,4.26987118996723,1.34793972664073,0.255782291075147,0,0,0.60913660722091,0.579301674632073,3.06571195922153,2.79578560648129
"050525A",0.3111,0.2068,-0.1043,1.04691590227046,0.609904076215706,-0.437011826054753,-0.271452089917064,0,0,0.323294887261486,0.288350904340585,1.10520739674267,0.942454722069322
"050603A",0.3467,0.5821,0.2354,1.2217746129152,2.82032226884411,1.59854765592891,0.418432672281485,0,0,0.368118881125666,0.329317425183067,1.33409689630635,1.13460452235124
"050730A",0.4714,0.6961,0.2247,1.96073815174743,3.96706679223423,2.0063286404868,0.403926245490316,0,0,0.50240668585265,0.439613557849622,2.17985038029934,1.75177903678775
"050801A",0.4418,0.4082,-0.0336,1.76566771505015,1.559764430599,-0.205903284451152,-0.0804383723712302,0,0,0.468333098487777,0.426737765358742,1.93990365714085,1.67139288759867
"050802A",0.4486,0.433,-0.0156,1.80931216633177,1.71019163189084,-0.099120534440932,-0.036573256767005,0,0,0.457822191380971,0.436245196959874,1.86960546911776,1.73051896284221
"050820A",0.4192,0.5581,0.1389,1.6254273189937,2.61493089917358,0.989503580179876,0.273726831239316,0,0,0.433855659628525,0.404366507749172,1.71553659399593,1.53726896728965
"050824A",0.2375,0.2619,0.0244,0.727825980507863,0.82767932897041,0.0998533484625466,0.0546339540420349,0,0,0.277002456593233,0.142517756106547,0.892354322745233,0.388410073839877
"050904A",0.7527,0.863,0.1103,4.65848279859785,6.29457510254569,1.63609230394783,0.224288910724473,0,0,0.784489217798403,0.709400053971525,5.08820430427494,4.1215339267186
"050922C",0.3526,0.5049,0.1523,1.2521639369563,2.19815862166661,0.945994684710304,0.295793547668793,0,0,0.386146723675765,0.337057859913865,1.43302585281318,1.17299066142186
"051016B",0.3945,0.287,-0.1075,1.48027593769296,0.936421963946607,-0.543853973746351,-0.280855094536279,0,0,0.441957807777411,0.3485320520895,1.76667284681525,1.2311668674632
"051109A",0.4987,0.5245,0.0258,2.15282597595519,2.34580017853301,0.192974202577822,0.057676547396932,0,0,0.526151078541745,0.484798306871765,2.3585442800596,2.0535026896175
"051111A",0.5094,0.4065,-0.1029,2.23146904447989,1.54976408779928,-0.681704956680603,-0.267360011831129,0,0,0.529657264968178,0.493907867380573,2.38576853756823,2.11822800306681
"060115A",0.5762,0.6561,0.0799,2.76877317445347,3.5300187543224,0.761245579868929,0.168044686159979,0,0,0.586825827325324,0.553430085584799,2.86212056648098,2.57626823784789
"060124A",0.4313,0.518,0.0867,1.69960360861501,2.29609712177458,0.596493513159567,0.180969641100388,0,0,0.458253008080419,0.406117483133895,1.87245350748407,1.54751930134348
"060206A",0.5469,0.7031,0.1562,2.52289743991456,4.04777513500947,1.52487769509491,0.302089069800066,0,0,0.570162870740484,0.517728370063481,2.7167458975815,2.29403621895721
"060210A",0.5391,0.6911,0.152,2.46019042482949,3.91020924883086,1.45001882400137,0.295306931032853,0,0,0.555004772695606,0.524209841658634,2.58925879052831,2.34356554826167
"060223A",0.7518,0.7332,-0.0186000000000001,4.64676871616537,4.41003406863468,-0.23673464753069,-0.0437584393235502,0,0,0.798379575194934,0.728037296638277,5.28607524399226,4.34610269051606
"060306A",0.4084,0.4081,-0.000299999999999967,1.56094351715677,1.55917509090989,-0.00176842624687445,-0.00069101416825908,0,0,0.436058913936625,0.377859393600691,1.72934800563205,1.38703833456353
"060502A",0.505,0.3984,-0.1066,2.1988951096914,1.50264932573108,-0.696245783960319,-0.278203492915225,0,0,0.524222998391699,0.488132524751218,2.34366684143387,2.0770356274286
"060510B",0.5247,0.7709,0.2462,2.34734133129236,4.90065196995666,2.55331063866431,0.432716698369021,0,0,0.567787396674868,0.456538422332617,2.69647179418035,1.86113547606106
"060512A",0.4399,0.1584,-0.2815,1.75359459175026,0.44012437117557,-1.31347022057469,-0.912053324604533,0,0,0.483180923788684,0.345053976628203,2.04215209923269,1.21336978290016
"060526A",0.4585,0.6254,0.1669,1.87408759361502,3.22085079179884,1.34676319818382,0.319073870320315,0,0,0.473450648993766,0.422660502782617,1.97475120414417,1.64643055883839
"060707A",0.5489,0.6459,0.097,2.5391583956695,3.42486474355665,0.885706347887151,0.200165744992972,0,0,0.571437395654825,0.529950567172794,2.72766946031605,2.3880558997711
"060708A",0.4875,0.4654,-0.0221,2.07255736526745,1.92011530139416,-0.15244206387329,-0.0522041248852431,0,0,0.496819269869736,0.478456707992445,2.13920205405876,2.00923918233355
"060714A",0.5732,0.5695,-0.00370000000000004,2.74282912240805,2.71107729492926,-0.0317518274787947,-0.00855595961910568,0,0,0.58688188219459,0.557092164849273,2.86261908682699,2.60655172206782
"060729A",0.3378,0.1875,-0.1503,1.17670713082588,0.539926526059492,-0.636780604766392,-0.413513628079286,0,0,0.362055251738858,0.320282811195973,1.30173462967441,1.09065711698743
"060814A",0.4351,0.4658,0.0307,1.72332830540534,1.92280606593193,0.199477760526587,0.0682487157980439,0,0,0.449609780454754,0.420626643763464,1.81585171290415,1.63406594650499
"060906A",0.6664,0.6708,0.00439999999999996,3.63873966756031,3.68597535308626,0.0472356855259486,0.0100802249194158,0,0,0.686333978465959,0.635722340788328,3.85661837266031,3.3223739862964
"060908A",0.5215,0.4599,-0.0616,2.32276785211076,1.88336750678026,-0.439400345330495,-0.152391377199487,0,0,0.536475201445943,0.504027697888796,2.43934071915847,2.1917414074903
"060912A",0.3582,0.2871,-0.0711,1.28139245017275,0.9368678929189,-0.34452455725385,-0.177877158536943,0,0,0.382430097056594,0.340098058654578,1.41229322471447,1.18825565090873
"060926A",0.6102,0.6232,0.013,3.07567926559489,3.19952334664066,0.123844081045764,0.0294900327545104,0,0,0.658571596774378,0.555113391471501,3.55587287031613,2.59015659068325
"060927A",0.6741,0.8109,0.1368,3.72171750310879,5.46993622808681,1.74821872497803,0.270206484785551,0,0,0.690527135812834,0.65787298451422,3.90373661615886,3.54855011995186
"061007A",0.4298,0.3541,-0.0757,1.69029559170462,1.25995608443438,-0.43033950727024,-0.190419411347963,0,0,0.445113109744881,0.412705017116011,1.78684689393655,1.58645553781023
