"","log10NH","log10PeakFlux","PhotonIndex","log10T90","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10T90Sqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","PhotonIndex_opt","log10T90_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"000926A",21.1545856750033,0.49787317309306,1.68528474322361,1.397940009,1.99215342891529,-5.73555346213348,447.516495081055,0.247877696485752,2.84018466574227,1.95423626876292,3.96867528433895,32.8965735169914,0.0141299769251024,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",1,5.28864641875083,0.124468293273265,0.421321185805902,0.34948500225,0.498038357228823,-1.43388836553337,2.04,0.482873583608754
"011211A",20.9997109050585,0.0099540052549258,1.73074257586597,2.431363764,1.91703135792151,-5.54501519311092,440.987858096033,9.90822206150904e-05,2.99546986391517,5.91152975289225,3.67500922725439,30.7471934918309,0.0885407574117407,0.040345966847899,0.171421395586027,0.0900586582057859,"011211A",1,5.24992772626462,0.00248850131373145,0.432685643966493,0.607840941,0.479257839480377,-1.38625379827773,2.14,0.496929648073215
"020124A",21.1181965423643,0.286068555062632,1.66001947418774,1.661907293,2.02236215224452,-5.79045330113306,445.978225201927,0.0818352181956221,2.75566465468254,2.76193585052659,4.08994867483109,33.5293494326027,0.0359770577590371,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",1,5.27954913559107,0.071517138765658,0.415004868546935,0.41547682325,0.50559053806113,-1.44761332528327,3.198,0.623042434246382
"021004A",21.0810752717726,0.355429318153098,1.67186887883644,2,1.96438080403683,-5.46547580308238,444.411734614142,0.126330000202776,2.79514554802181,4,3.85879194326838,29.871425754079,0.042104904450281,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",1,5.27026881794315,0.0888573295382745,0.41796721970911,0.5,0.491095201009208,-1.3663689507706,2.34,0.523746466811564
"030226A",21.0511868725117,0.320464469437468,1.69364237204975,1.344195716,1.94602716780256,-5.88907181132459,443.152468741409,0.102697476171838,2.8684244844023,1.80686212291275,3.78702173782565,34.6811667989379,0.140327919478768,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1,5.26279671812792,0.080116117359367,0.423410593012437,0.336048929,0.48650679195064,-1.47226795283115,1.99,0.47567118832443
"050315A",21.91683806,0.285557309,2.11,1.980457892,1.99544,-5.492144128,480.347790548265,0.0815429767233215,4.4521,3.92221346198508,3.9817807936,30.1636471227249,0.0636907468763651,0.019691613,0.09,0.04950507,"050315A",0,0,0,0,0,0,0,1.949,0.469674772551798
"050318A",20.92661714,0.499687083,1.9,1.505149978,1.98053,-5.966576245,437.923304924142,0.249687180917049,3.61,2.2654764562734,3.9224990809,35.6000320873983,0.148833498209321,0.030963588,0.1,0.027486993,"050318A",0,0,0,0,0,0,0,1.44,0.387389826338729
"050319A",20.93735437,0.181843588,2.02,2.183383742,2.01045,-5.882728704,438.372808014958,0.0330670904967137,4.0804,4.76716456482992,4.0419092025,34.6064970048655,0.0311909396976911,0.049065331,0.19,0.060001211,"050319A",0,0,0,0,0,0,0,3.24,0.627365856592733
"050401A",22.12570242,1.029383778,1.4,1.506369717,1.78711,-5.085128182,489.546707578394,1.05963096240955,1.96,2.26914972429466,3.1937621521,25.8585286273706,0.00846336277739286,0.016167167,0.07,0.037341208,"050401A",0,0,0,0,0,0,0,2.9,0.591064607026499
"050416A",21.75162856,0.688419822,3.08,0.397940009,2.06183,-6.435333936,473.133345012208,0.473921851322512,9.4864,0.15835625076292,4.2511429489,41.4135228678333,0.0771432232434421,0.043784457,0.22,0.04271749,"050416A",0,0,0,0,0,0,0,0.6528,0.218220304175545
"050502A",21.0181637594417,0.330571846807332,1.5837013438142,1.301029996,1.96705146522392,-5.95905698874291,441.763207818708,0.10927774590161,2.5081099463989,1.69267905049176,3.86929146683957,35.5103601950857,0.0343795484387942,0.0347486663233463,0.18713159391256,0.0657749268162652,"050502A",1,5.25454093986042,0.082642961701833,0.39592533595355,0.325257499,0.49176286630598,-1.48976424718573,3.79,0.680335513414563
