"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4303,0.4829,0.0526,1.69339469261079,2.04018491662944,0.346790224018651,0.114068793026947,0,0,0.447217580077996,0.40582009202296,1.80038395120999,1.54577543792274
"011211A",0.4264,0.4969,0.0705,1.66931606362429,2.13978564827282,0.47046958464853,0.149841306812563,0,0,0.452755662604219,0.408778005048891,1.83632284255503,1.5631735040246
"050315A",0.4988,0.4697,-0.0291,2.15355202455072,1.94917130750827,-0.204380717042442,-0.0693010665477826,0,0,0.528851401601777,0.485270237855829,2.37949183574275,2.05682261615457
"050318A",0.4206,0.3874,-0.0332,1.63390435274731,1.44005715942821,-0.193847193319103,-0.0794437099844532,0,0,0.444054795862825,0.400607989595154,1.78006401224887,1.51540540395331
"050319A",0.4212,0.6274,0.2062,1.63754574088934,3.24033335385019,1.60278761296084,0.377986228725514,0,0,0.450173280450249,0.390491673510377,1.81950767064027,1.45748951466636
"050401A",0.47,0.5911,0.1211,1.95120922666639,2.90031784475066,0.949108618084271,0.243341352131507,0,0,0.502933915602477,0.441303231365807,2.1837130353357,1.76250600896653
"050416A",0.2186,0.2182,-0.000399999999999984,0.654245645057731,0.65272272994873,-0.0015229151090006,-0.000921458319295846,0,0,0.287885714963283,0.173810266534144,0.940375198686491,0.492142383801833
"050502A",0.4747,0.6803,0.2056,1.98332110176817,3.78960832497788,1.80628722320971,0.377126291055971,0,0,0.5097268823483,0.456040880552008,2.23390220414996,1.85785954374693
"050502B",0.4857,0.6806,0.1949,2.059849034655,3.79291801219085,1.73306897753586,0.361589531289242,0,0,0.518735435376634,0.471054091746773,2.30168346962937,1.95838091246255
"050505A",0.619,0.7218,0.1028,3.15910610494022,4.26987118996723,1.11076508502701,0.210776515210027,0,0,0.63123486436617,0.601850997949989,3.27794172636836,2.99807556293416
"050525A",0.3174,0.2068,-0.1106,1.07682546377739,0.609904076215706,-0.466921387561683,-0.29003056421799,0,0,0.342285310716719,0.292648884856249,1.19930423605742,0.961773595533155
"050603A",0.3493,0.5821,0.2328,1.23511565288234,2.82032226884411,1.58520661596177,0.414940548049994,0,0,0.370402091615821,0.332692389850995,1.34640022498997,1.15125746244072
"050730A",0.5439,0.6961,0.1522,2.49864598452017,3.96706679223423,1.46842080771406,0.295631379471253,0,0,0.572656488106844,0.512092990974213,2.73814796750103,2.25156912410301
"050801A",0.4383,0.4082,-0.0301,1.74346863852402,1.559764430599,-0.18370420792502,-0.0717660600831272,0,0,0.470704727674504,0.422808537606952,1.95600202799163,1.64733278227356
