"","log10NH","log10PeakFlux","log10Ta","PhotonIndex","log10Fa","Alpha","log10T90","log10Ta_opt","Beta","log10Fa_opt","Alpha_opt","Beta_opt","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","log10TaSqr","PhotonIndexSqr","log10FaSqr","AlphaSqr","log10T90Sqr","log10Ta_optSqr","BetaSqr","log10Fa_optSqr","Alpha_optSqr","Beta_optSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FaErr_opt","log10TaErr_opt","AlphaErr_opt","BetaErr_opt","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","log10PeakFlux_opt","log10Ta_opt","PhotonIndex_opt","log10Fa_opt","Alpha_opt","log10T90_opt","log10Ta_opt_opt","Beta_opt","log10Fa_opt_opt","Alpha_opt_opt","Beta_opt_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"000926A",21.1545856750033,0.49787317309306,3.90799741592681,1.68528474322361,-10.7464169549318,1.55996736072362,1.397940009,5.12,0.893104059798203,-12.89,2.14,1.01,1.99215342891529,-5.73555346213348,447.516495081055,0.247877696485752,15.2724438028906,2.84018466574227,115.485477369246,2.43349816652302,1.95423626876292,26.2144,0.797634861628032,166.1521,4.5796,1.0201,3.96867528433895,32.8965735169914,0.199990220376636,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.03,0.02,0.04,0.16,0.0315728375171381,0.179660088857786,0.0584643654542467,"000926A",1,5.28864641875083,0.124468293273265,0.976999353981702,0.421321185805902,-2.68660423873295,0.389991840180905,0.34948500225,1.28,0.223276014949551,-3.2225,0.535,0.2525,0.498038357228823,-1.43388836553337,2.04,0.482873583608754
"011211A",20.9997109050585,0.0099540052549258,3.95793560240018,1.73074257586597,-10.9970932823433,1.52936871912788,2.431363764,5.23,0.767844692191276,-13.52,1.98,0.41,1.91703135792151,-5.54501519311092,440.987858096033,9.90822206150904e-05,15.6652542327469,2.99546986391517,120.93606066056,2.33896867904685,5.91152975289225,27.3529,0.589585471326315,182.7904,3.9204,0.1681,3.67500922725439,30.7471934918309,0.0563106258915239,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.06,0.04,0.11,0.15,0.040345966847899,0.171421395586027,0.0900586582057859,"011211A",1,5.24992772626462,0.00248850131373145,0.989483900600045,0.432685643966493,-2.74927332058583,0.38234217978197,0.607840941,1.3075,0.191961173047819,-3.38,0.495,0.1025,0.479257839480377,-1.38625379827773,2.14,0.496929648073215
"020124A",21.1181965423643,0.286068555062632,3.63469002637735,1.66001947418774,-10.709151383949,1.51865881617508,1.661907293,4.454184,0.926734114971567,-12.7747,1.961572,1.32,2.02236215224452,-5.79045330113306,445.978225201927,0.0818352181956221,13.210971587847,2.75566465468254,114.685923364337,2.3063245999463,2.76193585052659,19.839755105856,0.858836119852134,163.19296009,3.847764711184,1.7424,4.08994867483109,33.5293494326027,0.0563106258915239,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.05493,0.065307,0.072088,0.25,0.0323124845604323,0.162788614352911,0.0687137148382266,"020124A",1,5.27954913559107,0.071517138765658,0.908672506594338,0.415004868546935,-2.67728784598725,0.37966470404377,0.41547682325,1.113546,0.231683528742892,-3.193675,0.490393,0.33,0.50559053806113,-1.44761332528327,3.198,0.623042434246382
"021004A",21.0810752717726,0.355429318153098,4.31114281672062,1.67186887883644,-10.8079836345293,1.13770741864959,2,5.4,0.923658837577518,-12.92,1.33,0.67,1.96438080403683,-5.46547580308238,444.411734614142,0.126330000202776,18.5859523861618,2.79514554802181,116.812510244253,1.29437817045031,4,29.16,0.853145648235052,166.9264,1.7689,0.4489,3.85879194326838,29.871425754079,0.204728382319217,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.02,0.02,0.03,0.14,0.036356115947561,0.193819704191375,0.062431543050404,"021004A",1,5.27026881794315,0.0888573295382745,1.07778570418016,0.41796721970911,-2.70199590863233,0.284426854662397,0.5,1.35,0.23091470939438,-3.23,0.3325,0.1675,0.491095201009208,-1.3663689507706,2.34,0.523746466811564
"030226A",21.0511868725117,0.320464469437468,3.83509710015788,1.69364237204975,-10.8430824760775,1.6342065708526,1.344195716,4.965035,0.790045290376858,-13.1407,2.121816,0.57,1.94602716780256,-5.88907181132459,443.152468741409,0.102697476171838,14.7079697676394,2.8684244844023,117.572437583019,2.67063111621781,1.80686212291275,24.651572551225,0.624171560846654,172.67799649,4.502103137856,0.3249,3.78702173782565,34.6811667989379,0.378773543191014,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.064136,0.032442,0.132162,0.12,0.0369501006956046,0.199398651948698,0.0723940497319666,"030226A",1,5.26279671812792,0.080116117359367,0.95877427503947,0.423410593012437,-2.71077061901937,0.40855164271315,0.336048929,1.24125875,0.197511322594215,-3.285175,0.530454,0.1425,0.48650679195064,-1.47226795283115,1.99,0.47567118832443
"030329A",21.2067839200846,0.780376798107853,4.52703806327568,1.63361744707194,-10.361404687603,1.27999772221432,1.798650645,5.5,0.948093777746705,-11.76,1.46,0.41,1.94924493372129,-5.15361554086595,449.727684233159,0.608987947025065,20.4940736263468,2.66870596337784,107.358707100281,1.63839416887385,3.23514414275892,30.25,0.898881811402019,138.2976,2.1316,0.1681,3.79955581163812,26.559753143055,0.0692396240032236,0.833297516464585,0.470992604341124,0.244784839849413,0.17402687165464,0.09,0.05,0.03,0.17,0.0273643578404255,0.164558266578791,0.0358944155859398,"030329A",1,5.30169598002115,0.195094199526963,1.13175951581892,0.408404361767985,-2.59035117190075,0.31999943055358,0.44966266125,1.375,0.237023444436676,-2.94,0.365,0.1025,0.487311233430323,-1.28840388521649,0.17,0.0681858617461616
"050315A",21.91683806,0.285557309,4.86356,2.11,-11.3757179,1.10818,1.980457892,0,0.856,0,0,0,1.99544,-5.492144128,480.347790548265,0.0815429767233215,23.6542158736,4.4521,129.40695774038,1.2280629124,3.92221346198508,0,0.732736,0,0,0,3.9817807936,30.1636471227249,0.0636907468763651,0.03245,0.04512,0.049165,0.001,0,0,0,0,0.019691613,0.09,0.04950507,"050315A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.949,0.469674772551798
"050318A",20.92661714,0.499687083,4.132084541,1.9,-11.15490196,1.874408221,1.505149978,0,0.95,0,0,0,1.98053,-5.966576245,437.923304924142,0.249687180917049,17.0741226539712,3.61,124.431837737212,3.51340617895238,2.2654764562734,0,0.9025,0,0,0,3.9224990809,35.6000320873983,0.148833498209321,0.06181969,0.043780336,0.085906519,0.037,0,0,0,0,0.030963588,0.1,0.027486993,"050318A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0.387389826338729
"050319A",20.93735437,0.181843588,3.73997,2.02,-10.70553377,0.863159,2.183383742,0,0.971,0,0,0,2.01045,-5.882728704,438.372808014958,0.0330670904967137,13.9873756009,4.0804,114.60845330061,0.745043459281,4.76716456482992,0,0.942841,0,0,0,4.0419092025,34.6064970048655,0.0311909396976911,0.04165,0.06193,0.034558,0.009,0,0,0,0,0.049065331,0.19,0.060001211,"050319A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0.627365856592733
"050401A",22.12570242,1.029383778,3.12435,1.4,-9.653647026,0.984108,1.506369717,0,0.9995,0,0,0,1.78711,-5.085128182,489.546707578394,1.05963096240955,9.7615629225,1.96,93.1929009025986,0.968468555664,2.26914972429466,0,0.99900025,0,0,0,3.1937621521,25.8585286273706,0.00846336277739286,0.019455,0.02833,0.0260615,0.0174145,0,0,0,0,0.016167167,0.07,0.037341208,"050401A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.591064607026499
