"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4249,0.4829,0.058,1.66011247574194,2.04018491662944,0.380072440887505,0.125016224772564,0,0,0.494574527452887,0.400262101444863,2.12301828829986,1.51340283983824
"011211A",0.4817,0.4969,0.0152,2.03179617008547,2.13978564827282,0.107989478187351,0.0343939014584502,0,0,0.515731592131556,0.456298960780641,2.27892582384431,1.85955833630789
"030329A",0.2155,0.0682,-0.1473,0.64247965967464,0.170038089423047,-0.472441570251592,-0.403783068707238,0,0,0.241210115033496,0.177352370836069,0.742649776930599,0.504362056020674
"050315A",0.4122,0.4697,0.0575,1.58344963925848,1.94917130750827,0.365721668249795,0.124008282366883,0,0,0.471202201879603,0.362550039441257,1.95938999945749,1.30435846910806
"050318A",0.4334,0.3874,-0.046,1.71268896051693,1.44005715942821,-0.272631801088727,-0.111731727281591,0,0,0.454878084970929,0.40476662711048,1.85021804275446,1.53960765287243
"050319A",0.4456,0.6274,0.1818,1.78997299740827,3.24033335385019,1.45036035644192,0.342039230270659,0,0,0.47454178334629,0.427824546914322,1.98223445403668,1.67808617105189
"050401A",0.4183,0.5911,0.1728,1.61999220977276,2.90031784475066,1.2803256349779,0.328261871452619,0,0,0.43845610666358,0.383905437542419,1.74445495249789,1.42050195384513
"050416A",0.2615,0.2182,-0.0433,0.825996749074968,0.65272272994873,-0.173274019126237,-0.104841553871297,0,0,0.313584963568122,0.199901144879044,1.058661599151,0.584532476438275
"050502A",0.5227,0.6803,0.1576,2.33196169489308,3.78960832497788,1.4576466300848,0.304335246471648,0,0,0.561302404948391,0.50254335208571,2.6416852318663,2.18085119098473
"050502B",0.4986,0.6806,0.182,2.15210009451928,3.79291801219085,1.64081791767158,0.34234216264458,0,0,0.51524606078998,0.481898686175618,2.27526210779388,2.03318350937587
"050505A",0.5891,0.7218,0.1327,2.88239751205764,4.26987118996723,1.3874736779096,0.263284172970122,0,0,0.604556281584275,0.559729058465351,3.02305788689764,2.628516133805
"050525A",0.3177,0.2068,-0.1109,1.07826057959786,0.609904076215706,-0.468356503382154,-0.290921993615351,0,0,0.334426787648612,0.29413902207794,1.15986589892458,0.968516330946214
"050603A",0.3269,0.5821,0.2552,1.12275562317733,2.82032226884411,1.69756664566678,0.444351687162874,0,0,0.350611008700123,0.302537871989031,1.24187301093787,1.00695609593804
"050801A",0.4258,0.4082,-0.0176,1.66563081346512,1.559764430599,-0.105866382866126,-0.0413578615284346,0,0,0.435686822045635,0.403234964060179,1.7270105747614,1.53066677948237
"050802A",0.4201,0.433,0.0129,1.63087370321467,1.71019163189084,0.0793179286761729,0.0292665388464928,0,0,0.433538580862431,0.401921755037092,1.71355470202583,1.52302616879135
"050820A",0.4435,0.5581,0.1146,1.77651484610551,2.61493089917358,0.838416053068066,0.231931419009901,0,0,0.470911487448651,0.417628106420781,1.9574096623197,1.61594197427084
"050824A",0.2394,0.2619,0.0225,0.735401625871897,0.82767932897041,0.0922777030985129,0.0504890007978018,0,0,0.281768709996926,0.159274461302783,0.913236730898067,0.443027013932498
"050904A",0.7308,0.863,0.1322,4.38021957189112,6.29457510254569,1.91435553065456,0.262435509093118,0,0,0.761091165996912,0.68116537524002,4.76887549455013,3.79916161391846
"050922C",0.359,0.5049,0.1459,1.28559880337543,2.19815862166661,0.912559818291177,0.285339136123157,0,0,0.377075386178077,0.324800787450004,1.38273303562623,1.11251979659625
"051016B",0.3998,0.287,-0.1128,1.51072993137352,0.936421963946607,-0.574307967426912,-0.296582035382629,0,0,0.416861997847155,0.378236992569853,1.61133144143097,1.38911465651503
"051109A",0.5161,0.5245,0.00839999999999996,2.28170848544526,2.34580017853301,0.064091693087748,0.0191558639690938,0,0,0.533697171423316,0.502685881127716,2.41741067276321,2.18189527073633
"051111A",0.4975,0.4065,-0.091,2.1441264202588,1.54976408779928,-0.594362332459514,-0.233104833228909,0,0,0.514552956737339,0.469720272437894,2.27003918408967,1.94930897512801
"060115A",0.5984,0.6561,0.0577,2.96643187946858,3.5300187543224,0.56358687485382,0.124411598586885,0,0,0.617670226170164,0.580626160529589,3.14639074222828,2.80737944142143
"060124A",0.4297,0.518,0.0883,1.68967619956499,2.29609712177458,0.60642092220959,0.183981508980263,0,0,0.462314807987446,0.394010246790279,1.89944455283478,1.47748051088285
"060206A",0.544,0.7031,0.1591,2.49945167028357,4.04777513500947,1.5483234647259,0.30673384279488,0,0,0.590178383014397,0.465288108864249,2.8920497502459,1.91936306312035
"060210A",0.5596,0.6911,0.1315,2.62743801476458,3.91020924883086,1.28277123406628,0.261245737006364,0,0,0.584768122306893,0.52574762200521,2.84386496332049,2.35542566472095
"060223A",0.7106,0.7332,0.0226,4.13570417848355,4.41003406863468,0.274329890151122,0.0507076086159204,0,0,0.737547227147174,0.681607222690037,4.46445969658454,3.80404672405331
