"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.44,0.4829,0.0429,1.75422870333817,2.04018491662944,0.285956213291276,0.0940588224509404,0,0,0.459921959351739,0.413784281692398,1.88351330297315,1.59289112787784
"011211A",0.4936,0.4969,0.00330000000000003,2.11601830310546,2.13978564827282,0.0237673451673577,0.00756973495322268,0,0,0.516084051923403,0.470167188593599,2.28158797740398,1.95234556048023
"030329A",0.2624,0.0682,-0.1942,0.829784734295414,0.170038089423047,-0.659746644872367,-0.563867664511411,0,0,0.295361274860721,0.233004400497292,0.974064210389946,0.710032641941538
"050315A",0.4221,0.4697,0.0476,1.64301726447765,1.94917130750827,0.306154043030621,0.103810193138386,0,0,0.462932670380328,0.405549602014706,1.90357247240296,1.5441903557925
"050318A",0.4512,0.3874,-0.0638,1.82618117981016,1.44005715942821,-0.38612402038195,-0.158243842317379,0,0,0.470019003203386,0.428060238999008,1.95133836405705,1.67953996576352
"050319A",0.4323,0.6274,0.1951,1.70582683764883,3.24033335385019,1.53450651620136,0.36188346248958,0,0,0.465709542777193,0.408654832581434,1.92219735134247,1.56244665242506
"050401A",0.418,0.5911,0.1731,1.61818300821899,2.90031784475066,1.28213483653167,0.328725731482952,0,0,0.445427800453837,0.402636049863284,1.78886698093807,1.52717926645979
"050416A",0.2374,0.2182,-0.0192,0.727428179673534,0.65272272994873,-0.0747054497248039,-0.0452014414584359,0,0,0.279706440597884,0.203809284847894,0.904173165566025,0.598855756323507
"050502A",0.5262,0.6803,0.1541,2.35892262734495,3.78960832497788,1.43068569763293,0.298706199037588,0,0,0.556509090439508,0.500151467224954,2.6017128924495,2.16338074799853
"050502B",0.5262,0.6806,0.1544,2.35892262734495,3.79291801219085,1.4339953848459,0.299190468353207,0,0,0.547560308917901,0.511232752544895,2.52825778868255,2.24513488091706
"050505A",0.6212,0.7218,0.1006,3.18022828954033,4.26987118996723,1.08964290042691,0.206768412575504,0,0,0.675541219979657,0.591436243667977,3.73741270014234,2.90333875578829
"050525A",0.2848,0.2068,-0.078,0.926637459524081,0.609904076215706,-0.316733383308375,-0.196740531307244,0,0,0.304199146544048,0.251757424975919,1.0146478586151,0.78549001149055
"050603A",0.3335,0.5821,0.2486,1.15526164356616,2.82032226884411,1.66506062527795,0.435842975567016,0,0,0.349120027068704,0.314400012096777,1.23418960616711,1.06252875529596
"050730A",0.4858,0.6961,0.2103,2.06055367205366,3.96706679223423,1.90651312018056,0.383830779799721,0,0,0.523810012282657,0.446460664866802,2.34048874072903,1.79550752003356
"050801A",0.4408,0.4082,-0.0326,1.75930685581751,1.559764430599,-0.199542425218512,-0.0779534330711118,0,0,0.466152600976612,0.41137402106943,1.92518003749263,1.57854087999356
"050802A",0.467,0.433,-0.034,1.93089324525032,1.71019163189084,-0.220701613359478,-0.0814339512979381,0,0,0.480706612102205,0.451363120499913,2.02486928545765,1.82724288953477
"050820A",0.4484,0.5581,0.1097,1.80801872811664,2.61493089917358,0.806912171056939,0.223216485615648,0,0,0.489419900162883,0.427571586451332,2.08617039013537,1.67652673916978
"050824A",0.186,0.2619,0.0759,0.534616982799294,0.82767932897041,0.293062346171115,0.160346698420125,0,0,0.232465062997575,0.13300945955618,0.707910320968457,0.358343032922762
"050904A",0.7451,0.863,0.1179,4.56032273693866,6.29457510254569,1.73425236560703,0.237745494593894,0,0,0.785548540377565,0.683770797676803,5.10307265868747,3.82803931224647
"050922C",0.345,0.5049,0.1599,1.21309470960564,2.19815862166661,0.985063912060969,0.308009710771518,0,0,0.380418076939355,0.295981583844088,1.40114328593571,0.97688580895417
"051016B",0.3694,0.287,-0.0824,1.3409923796904,0.936421963946607,-0.404570415743789,-0.2089267852133,0,0,0.391296326095025,0.355085560764519,1.46204692529929,1.26509051125102
"051109A",0.5083,0.5245,0.0162,2.22329459545515,2.34580017853301,0.122505583077861,0.0366147338576491,0,0,0.532075762231041,0.489868769167521,2.40467578743802,2.08936177852089
"051111A",0.5071,0.4065,-0.1006,2.21440059652438,1.54976408779928,-0.6646365087251,-0.260665883524445,0,0,0.526778005386876,0.493244716978795,2.36339601576731,2.11347022631185
"060115A",0.5853,0.6561,0.0708,2.84857540415743,3.5300187543224,0.681443350164975,0.150428372843879,0,0,0.602379469650524,0.575139736721466,3.00294358664899,2.75958351569157
"060124A",0.4659,0.518,0.0521,1.92347914438769,2.29609712177458,0.372617977386888,0.113048239666638,0,0,0.476172484732072,0.451670568290119,1.99345328276999,1.82924507321925
"060206A",0.5598,0.7031,0.1433,2.62910889640948,4.04777513500947,1.4186662386,0.281047828133361,0,0,0.608865603710735,0.518335172818303,3.06317571122296,2.29864191252198
"060210A",0.5511,0.6911,0.14,2.55713215134588,3.91020924883086,1.35307709748498,0.27556403992501,0,0,0.579263310424208,0.528445833201037,2.79545031353522,2.37633735099336
"060223A",0.7265,0.7332,0.00669999999999993,4.32721224322962,4.41003406863468,0.0828218254050563,0.015308928623061,0,0,0.778772473735696,0.689950194915104,5.00858865900791,3.89722654535547
"060306A",0.3736,0.4081,0.0345,1.36374160811629,1.55917509090989,0.1954334827936,0.0763658115803696,0,0,0.399799268731325,0.33886478479559,1.51072570378906,1.18205043664029
"060502A",0.5044,0.3984,-0.106,2.19447872420869,1.50264932573108,-0.691829398477612,-0.276438808811344,0,0,0.53127177179416,0.493954796061927,2.39837869018327,2.11856496851531
"060510B",0.5514,0.7709,0.2195,2.55959018006083,4.90065196995666,2.34106178989583,0.396746292073387,0,0,0.596460082620632,0.516817533403337,2.94875403433769,2.28713494572439
"060512A",0.394,0.1584,-0.2356,1.47742205763329,0.44012437117557,-1.03729768645772,-0.720283405530434,0,0,0.42027567772477,0.371785926303883,1.63193814086767,1.35388871222954
"060526A",0.579,0.6254,0.0464,2.79314984973682,3.22085079179884,0.427700942062026,0.101330504952474,0,0,0.607910782379717,0.559697294280466,3.05425239914587,2.62825075478844
"060707A",0.5336,0.6459,0.1123,2.41664612813823,3.42486474355665,1.00821861541842,0.227852979435487,0,0,0.565458321118956,0.506432663019991,2.67670106689984,2.20946514086433
"060708A",0.4921,0.4654,-0.0267,2.10527452169776,1.92011530139416,-0.185159220303603,-0.0634081880996965,0,0,0.504612657485242,0.481939794030983,2.19604332193811,2.03347062693203
"060714A",0.5838,0.5695,-0.0143,2.83530582456859,2.71107729492926,-0.124228529639334,-0.0334750585252097,0,0,0.602802764534299,0.568511978490562,3.00684704762819,2.70264417705042
"060729A",0.347,0.1875,-0.1595,1.2233098906514,0.539926526059492,-0.683383364591911,-0.443776604290736,0,0,0.384763128871606,0.314390803934124,1.4252869441492,1.06248502483262
"060814A",0.4446,0.4658,0.0212,1.78355623757743,1.92280606593193,0.139249828354503,0.0476425138080804,0,0,0.470788741926404,0.421653156789367,1.95657392179223,1.64029927701028
"060906A",0.6785,0.6708,-0.00770000000000004,3.76979814119221,3.68597535308626,-0.0838227881059552,-0.0178880130154223,0,0,0.704631750624724,0.655225288231507,4.06561000119735,3.52090403339949
"060908A",0.5478,0.4599,-0.0879,2.5302056037666,1.88336750678026,-0.646838096986343,-0.224334253426002,0,0,0.576136715567756,0.515539388494398,2.76822403716484,2.27747500634816
"060912A",0.3467,0.2871,-0.0596,1.2217746129152,0.9368678929189,-0.2849067199963,-0.147096619773556,0,0,0.366603979730639,0.329369713371528,1.32596930785,1.13486153994544
"060926A",0.6524,0.6232,-0.0292,3.49158890105932,3.19952334664066,-0.292065554418659,-0.0695473105661605,0,0,0.691462584915097,0.608117171561953,3.9143104089509,3.05617955394132
"060927A",0.6751,0.8109,0.1358,3.73260218609004,5.46993622808681,1.73733404199677,0.268524136985275,0,0,0.709875630485455,0.638745997558315,4.12714536191352,3.35257233709315
"061007A",0.436,0.3541,-0.0819,1.72897778280804,1.25995608443438,-0.469021698373666,-0.207535757709669,0,0,0.478479599435167,0.410703565234554,2.00939780199083,1.57456324708832
"061021A",0.3995,0.1291,-0.2704,1.5089961794654,0.346170285535609,-1.16282589392979,-0.863802972346199,0,0,0.41804802431018,0.37737640585603,1.61847254306311,1.384385136193
"061121A",0.3423,0.3644,0.0221,1.19937862509677,1.31419526151125,0.114816636414486,0.0496140659883239,0,0,0.360773184380089,0.315296298214671,1.29494976940982,1.06678974604039
"061222A",0.5005,0.4897,-0.0107999999999999,2.16592046343224,2.08816146918451,-0.0777589942477253,-0.0251797048255573,0,0,0.539327333282577,0.472391439008048,2.46200215027198,1.96750486081721
"070110A",0.5103,0.5253,0.015,2.23817264731325,2.35196905022163,0.113796402908374,0.0339491210101866,0,0,0.523780202070157,0.499609320871872,2.34025945561074,2.15943424305051
"070125A",0.4185,0.4065,-0.012,1.62119903863524,1.54976408779928,-0.0714349508359606,-0.0280162981264736,0,0,0.447874027855764,0.398097177392037,1.80462000744122,1.50090489960854
"070208A",0.6066,0.3355,-0.2711,3.04203435079501,1.16520987930793,-1.87682447148708,-0.866809490120641,0,0,0.62206723039495,0.591691987415744,3.18858400931798,2.90563799859115
"070223A",0.5183,0.4199,-0.0984,2.29837477158568,1.62966242003022,-0.668712351555458,-0.254295892302318,0,0,0.543910278366632,0.478873995893806,2.49872878730302,2.01213197195404
"070306A",0.6029,0.3972,-0.2057,3.00774425280431,1.49574379483157,-1.51200045797274,-0.605831600625007,0,0,0.635456328840653,0.56796917350091,3.31972727742363,2.69801930072005
"070411A",0.652,0.5966,-0.0554,3.48745389933132,2.95002641597884,-0.537427483352485,-0.136056680830907,0,0,0.714320350305491,0.594882865042471,4.17988777115094,2.93443944115938
"070508A",0.4121,0.2601,-0.152,1.58285484647637,0.820119908460103,-0.762734938016268,-0.419057521689092,0,0,0.442902259367502,0.398337344720417,1.77269602220964,1.50228829677658
"070521A",0.5275,0.4895,-0.038,2.36899215741491,2.08673964568386,-0.282252511731047,-0.0914403364487565,0,0,0.541783633198232,0.513242704405787,2.48163815572836,2.26018844933615
"070612A",0.5157,0.223,-0.2927,2.27868731174548,0.671090614310708,-1.60759669743478,-0.962004503925646,0,0,0.543962499681304,0.499370902761211,2.49914951381417,2.15770025920113
"070721B",0.5964,0.6652,0.0688,2.94820778037883,3.6259400476616,0.677732267282775,0.146506928386451,0,0,0.656602281012616,0.518015797976818,3.5352609546658,2.29621702339706
"070802A",0.6296,0.5378,-0.0918000000000001,3.2618680542416,2.44984831362751,-0.812019740614099,-0.235378389654548,0,0,0.661301667007368,0.607466316761707,3.58460229011756,3.05010531899926
"070810A",0.5597,0.5011,-0.0586,2.62827335940335,2.17029736695272,-0.457975992450625,-0.144458370758712,0,0,0.58576871378988,0.529341114277142,2.85273123438509,2.38330471730126
"071003A",0.4406,0.4157,-0.0249,1.75803644059724,1.60435390455169,-0.153682536045546,-0.0590098510716811,0,0,0.463029542719711,0.413561810404442,1.90422020623857,1.59156323601814
"071010B",0.3524,0.2894,-0.063,1.25112701591288,0.9471526498539,-0.303974366058979,-0.156112242192099,0,0,0.368735019707905,0.334761658330702,1.3374106565286,1.16153194515845
"071020A",0.2775,0.4976,0.2201,0.894523514356592,2.14485046547696,1.25032695112037,0.397579142425374,0,0,0.325748026977652,0.250709563004037,1.11713244120318,0.781187189617792
"071025A",0.4977,0.7782,0.2805,2.14557467743189,5.00067353864116,2.85509886120927,0.475796398991537,0,0,0.51808669723244,0.47457494214745,2.29675517992447,1.98246215919657
"071112C",0.4464,0.2601,-0.1863,1.79511705399184,0.820119908460103,-0.974997145531741,-0.53567742487726,0,0,0.468792047975344,0.413765714602219,1.94301210202595,1.5927802781749
"071117A",0.4439,0.3675,-0.0764,1.7790732888091,1.33077311528264,-0.448300173526464,-0.192339687885966,0,0,0.471238618861124,0.423879280778331,1.95963816417994,1.65386777368682
"080310A",0.4235,0.534,0.1105,1.65155109300921,2.41979442513709,0.768243332127879,0.224646056640402,0,0,0.455367557122026,0.374746889385939,1.85343219556098,1.36999205103075
"080319B",0.3635,0.2871,-0.0764,1.30940445891927,0.9368678929189,-0.372536566000371,-0.192339687885966,0,0,0.411645596188705,0.291598875523964,1.58015380985846,0.957036274312355
"080319C",0.5378,0.4698,-0.068,2.44984831362751,1.94985045748424,-0.499997856143266,-0.169499391019871,0,0,0.560254008791743,0.506899942733356,2.63290472834901,2.21292022748133
"080330A",0.4269,0.3997,-0.0272,1.6723909970469,1.51015188099533,-0.162239116051574,-0.0646331870513121,0,0,0.454169081142038,0.401017614490223,1.84556873921926,1.5177790439423
"080411A",0.1656,0.3075,0.1419,0.464198642935277,1.03001851985968,0.565819876924407,0.27872646056624,0,0,0.18216684164298,0.154778877644309,0.521131786255894,0.428166617987905
"080413B",0.3618,0.3222,-0.0396,1.30038220828702,1.09990670376243,-0.200475504524594,-0.0954687673339963,0,0,0.380976504160067,0.331126011385137,1.40423272468312,1.14351245519039
"080516A",0.4964,0.6232,0.1268,2.13617291651299,3.19952334664066,1.06335043012767,0.253207410069117,0,0,0.557186162147902,0.429208747416444,2.60733239698475,1.68663549005109
"080603A",0.4733,0.4298,-0.0435,1.97371949506929,1.69029559170462,-0.283423903364675,-0.105350469382843,0,0,0.488722043898931,0.441745330673354,2.08121528711157,1.76531959256184
"080603B",0.4422,0.5669,0.1247,1.76821616257459,2.68892648118996,0.92071031861537,0.2495876031442,0,0,0.458747320926555,0.416565483649149,1.8757247878997,1.60954916554395
"080710A",0.5373,0.266,-0.2713,2.44587881444335,0.845015419179474,-1.60086339526388,-0.867669385644388,0,0,0.556564561251549,0.509212843436038,2.60217295516492,2.23007676258038
"080810A",0.474,0.6385,0.1645,1.97851642942919,3.35010760630697,1.37159117687778,0.315300516908867,0,0,0.488934957029617,0.45196556084996,2.0827262250962,1.83116747793955
"080928A",0.5204,0.4301,-0.0903,2.31436245009259,1.69215462407529,-0.622207826017302,-0.23111890396378,0,0,0.534744936167984,0.503724090389983,2.42566536011637,2.18951089794715
