"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.4527,0.4829,0.0302,1.83595934035676,2.04018491662944,0.204225576272679,0.0671753797460115,0,0,0.491077915386105,0.428878938367054,2.09797504717262,1.68459599756423
"011211A",0.4891,0.4969,0.00780000000000003,2.08389796225068,2.13978564827282,0.0558876860221358,0.0177998412257472,0,0,0.5236705994197,0.461567694318621,2.33941658260107,1.89446094711593
"030329A",0.2278,0.0682,-0.1596,0.689662634048705,0.170038089423047,-0.519624544625658,-0.444109084416122,0,0,0.261536336977525,0.192408764369581,0.826149534757134,0.557430818818349
"050315A",0.4028,0.4697,0.0669,1.52813347983411,1.94917130750827,0.421037827674162,0.142764791791594,0,0,0.437326470589953,0.373359431279603,1.73732567281694,1.36243262342323
"050318A",0.453,0.3874,-0.0656,1.83791902844156,1.44005715942821,-0.397861869013348,-0.163054323328467,0,0,0.473448293877877,0.43099927623785,1.97473507254424,1.69773493660133
"050319A",0.4282,0.6274,0.1992,1.68040241156547,3.24033335385019,1.55993094228472,0.367879317994732,0,0,0.458865376722372,0.39854552108851,1.87650661253692,1.5034880406841
"050401A",0.4196,0.5911,0.1715,1.62784654083849,2.90031784475066,1.27247130391216,0.326248104529417,0,0,0.457966711694753,0.387378899068742,1.87056054755048,1.43993860800803
"050416A",0.226,0.2182,-0.0078,0.682674061070467,0.65272272994873,-0.0299513311217372,-0.0181224173776967,0,0,0.25713441628304,0.168259918014164,0.807733541878063,0.473193920674547
"050502A",0.5415,0.6803,0.1388,2.47936507649094,3.78960832497788,1.31024324848694,0.273559581407524,0,0,0.57207321542918,0.502266813928329,2.73313087386764,2.1788264203026
"050502B",0.5425,0.6806,0.1381,2.48738584135218,3.79291801219085,1.30553217083867,0.272387753664476,0,0,0.560053980299904,0.51475118667907,2.63123186083479,2.27153210574437
"050505A",0.6049,0.7218,0.1169,3.0262431597647,4.26987118996723,1.24362803020253,0.235988316482981,0,0,0.625349490295205,0.577410626314519,3.22035992318479,2.77929355021716
"050525A",0.2759,0.2068,-0.0691,0.887556673068528,0.609904076215706,-0.277652596852822,-0.172465304582296,0,0,0.322311917707994,0.251133193068395,1.1004479195494,0.78292548612558
"050603A",0.3227,0.5821,0.2594,1.10232570291946,2.82032226884411,1.71799656592465,0.449699382676543,0,0,0.342632355996131,0.289197055253581,1.20106240528698,0.946242962759247
"050730A",0.5021,0.6961,0.194,2.17760565716129,3.96706679223423,1.78946113507294,0.360265164517352,0,0,0.539883146076779,0.464924989593727,2.46643567870029,1.91692316581235
"050801A",0.4558,0.4082,-0.0476,1.8562748772641,1.559764430599,-0.296510446665107,-0.115835052288668,0,0,0.486261957780182,0.409742039931177,2.06381090616175,1.56886948524668
"050802A",0.4759,0.433,-0.0429,1.99157572153086,1.71019163189084,-0.281384089640015,-0.10382442567122,0,0,0.486699239610595,0.458134201654357,2.06689734544571,1.87166782110064
"050820A",0.4447,0.5581,0.1134,1.78419724888356,2.61493089917358,0.830733650290012,0.229806232390204,0,0,0.475012988616543,0.41993997337111,1.98547190526982,1.6299044707905
"050824A",0.1697,0.2619,0.0922,0.478087009102998,0.82767932897041,0.349592319867412,0.191276617471156,0,0,0.190640588462083,0.138641316515319,0.551102823724028,0.376072502208069
"050904A",0.7763,0.863,0.0867,4.97447846425817,6.29457510254569,1.32009663828752,0.180969641100388,0,0,0.834367169118978,0.739603611399087,5.82915813222938,4.49039526573889
"050922C",0.3461,0.5049,0.1588,1.21870723720895,2.19815862166661,0.979451384457661,0.306254786057877,0,0,0.378791592705364,0.291146031306003,1.39216753826149,0.954996711951314
"051016B",0.3634,0.287,-0.0764,1.30887276010763,0.936421963946607,-0.37245079616102,-0.192339687885966,0,0,0.382474840934306,0.344469962433066,1.41254176785247,1.2103953711079
"051109A",0.5136,0.5245,0.0109,2.26287172143085,2.34580017853301,0.0829284571021591,0.0247858367735875,0,0,0.550680152631465,0.500822927128846,2.55369501138179,2.16827541344779
"051111A",0.4969,0.4065,-0.0904,2.13978564827282,1.54976408779928,-0.590021560473537,-0.231402412206217,0,0,0.520238434361372,0.473691937538689,2.31312967483302,1.97640439765533
