"","InvZphot","InvZspec","Dlogz","Zphot","Zspec","Dz","normDz","SD","z_SD","pred_max","pred_min","linpred_max","linpred_min"
"000926A",0.3987,0.4829,0.0842,1.50437869187334,2.04018491662944,0.535806224756099,0.176241327238124,0,0,0.4137036160975,0.374763783732975,1.59240957056846,1.37008424710655
"011211A",0.4345,0.4969,0.0624,1.71956848609892,2.13978564827282,0.420217162173898,0.133836258027696,0,0,0.466783605048828,0.412904775927115,1.92943323932106,1.58764548183791
"030329A",0.286,0.0682,-0.2178,0.931968317016924,0.170038089423047,-0.761930227593877,-0.651201216850632,0,0,0.318379719216758,0.247686105179809,1.08151583554449,0.76883003972832
"050315A",0.4032,0.4697,0.0665,1.5304630494614,1.94917130750827,0.418708258046878,0.141974885277397,0,0,0.425372885403733,0.38346949997175,1.66301054034184,1.41807351329911
"050318A",0.4324,0.3874,-0.045,1.70644994903848,1.44005715942821,-0.266392789610274,-0.109174815262401,0,0,0.468422520966145,0.403934079203535,1.94050905405298,1.53474385697944
"050319A",0.4342,0.6274,0.1932,1.71769052344228,3.24033335385019,1.52264283040791,0.359085643355224,0,0,0.458655713163571,0.423028795651996,1.87511826181308,1.64867575174456
"050401A",0.4133,0.5911,0.1778,1.59000140694793,2.90031784475066,1.31031643780272,0.335951194225426,0,0,0.431023348319979,0.377863893027301,1.69788447084467,1.38706306515507
"050416A",0.2422,0.2182,-0.024,0.746626318885215,0.65272272994873,-0.0939035889364845,-0.0568175092136583,0,0,0.335052882154834,0.17369992527804,1.16298188461233,0.491763323146277
"050502A",0.5062,0.6803,0.1741,2.20774620613407,3.78960832497788,1.58186211884381,0.330269619458104,0,0,0.523819657589921,0.48223680498474,2.34056293093741,2.0355459057965
"050502B",0.4949,0.6806,0.1857,2.12535964361334,3.79291801219085,1.66755836857751,0.347921321486421,0,0,0.504282730524614,0.487906365124353,2.19361625810107,2.07543367277827
"050505A",0.5794,0.7218,0.1424,2.7966450792222,4.26987118996723,1.47322611074504,0.279556379584716,0,0,0.609756923627452,0.535149597368542,3.07152329217936,2.42885876905692
"050525A",0.3146,0.2068,-0.1078,1.0634787461532,0.609904076215706,-0.45357466993749,-0.28174018355409,0,0,0.357350250346165,0.283636676690865,1.27693299421131,0.921483576148851
"050603A",0.3428,0.5821,0.2393,1.20191221148448,2.82032226884411,1.61841005735963,0.423631815189587,0,0,0.362534695355748,0.323354189687464,1.30427705511306,1.10549488008646
"050730A",0.4517,0.6961,0.2444,1.82943681487211,3.96706679223423,2.13762997736212,0.430360626658816,0,0,0.481961023683132,0.424039821826484,2.03361891594547,1.65484898226551
"050801A",0.406,0.4082,0.00219999999999998,1.54683025258504,1.559764430599,0.0129341780139569,0.00505287824900756,0,0,0.426572218044607,0.385459972212098,1.67037478200837,1.42918154038547
"050802A",0.4463,0.433,-0.0133,1.79447352859712,1.71019163189084,-0.0842818967062744,-0.0310981318496186,0,0,0.464681001217698,0.419041745343919,1.91528488695627,1.62447080118505
"050820A",0.4464,0.5581,0.1117,1.79511705399184,2.61493089917358,0.819813845181731,0.226785481672458,0,0,0.464113762757464,0.423190518023475,1.91147967571536,1.64966224801843
"050824A",0.2522,0.2619,0.00970000000000004,0.78731047224837,0.82767932897041,0.0403688567220397,0.0220874942787588,0,0,0.312843699070517,0.211704323885817,1.05515082192,0.628187153787342
"050904A",0.6861,0.863,0.1769,3.85400254834487,6.29457510254569,2.44057255420082,0.334573641355628,0,0,0.731562603047468,0.643093942173096,4.38967531320509,3.39636702901381
"050922C",0.3613,0.5049,0.1436,1.29773531936064,2.19815862166661,0.90042330230597,0.281544291207403,0,0,0.371209967797474,0.343781461511603,1.35076906946998,1.20689393688679
